movie_id,preprocessed_keywords
2,+country+ +jail+ +frame+ +helsinki+ +escape+ independent+film +crime+ +start+ +leave+ falling+in+love +commit+ +prison+ +life+ +father+ factory+worker +underdog+ +miner+ +dream+ committed+suicide +thing+ +plan+
5,+evening+ +ted+ +hotel+ hotel+room +place+ +episode+ +guest+ +room+ +predicament+ +unusual+ +witch+ +hoodlum+ +bet+ new+year's+eve +serve+ +night+ los+angeles +service+ +job+ +happen+ woman+director +sperm+
6,+bargain+ +henchman+ +savage+ +vicious+ +directly+ +mouse+ +drama+ one+night +stalk+ +lord+ +jungle+ +escape+ +unwilling+ +drug+ +race+ +chicago+ +land+ +crack+ boxing+match +cat+ +wise+ drug+deal +urban+ +wrong+ +suspense+ +prey+ +turn+ +path+ +game+
11,+galaxy+ +evil+ +stormtrooper+ +totalitarian+ +effort+ held+hostage rescue+mission +rescue+ +empire+ space+opera the+force +smuggler+ beautiful+princess +jedi+ +capture+ +lightsaber+ +rebellion+ death+star +hermit+ +planet+ +justice+ galactic+war restore+peace +android+
12,+hungry+ +loss+ +underwater+ +hypnotic+ +rowboat+ father+son+reunion +short+ +term+ protective+father +memory+ great+barrier+reef +harbor+ +duringcreditsstinger+ +tank+ +aquarium+ father+son+relationship +friendly+ +office+ +fish+ +unexpectedly+ missing+child +bring+ +surfer+ +forget+ +young+ +dude+ +dentist+ +aftercreditsstinger+
13,+hippy+ +love+ family+relationships mother+son+relationship based+on+novel +flashback+ +challenge+ vietnam+war +case+ +true+ +historic+ +wound+ +shrimp+ mentally+disabled +judiciary+ +military+ +soldier+ +accomplish+ +friendship+ +ability+ +determine+ +prove+ +event+ +imagine+ +great+ +bully+ +courage+ +life+ +low+ +vietnam+ +rose+ +fondling+ vietnam+veteran +park+ +thing+
14,+attract+ first+time dark+comedy coming+of+age film+maker +camcorder+ +depressed+ +decide+ +suburbia+ male+nudity +lonelier+ parent+child+relationship estate+agent +bittersweet+ +adultery+ life+crisis +satire+ midlife+crisis +daughter+ +nudity+ +develop+ +friend+ coming+out female+nudity +virgin+ +life+ +exercise+ +infatuated+ +mid+ +marijuana+ +father+ +turn+ +affair+ +suburban+
15,+capitalist+ media+tycoon +rest+ +collector+ +power+ +result+ +ward+ +newspaper+ +meaning+ +sleigh+ +wound+ +banker+ +boy+ +art+ +money+ +industrialist+ +child+ +foster+ +reaction+ +event+ +appears+ +journalist+ +life+ +rich+ +florida+ +move+ +mother+
16,+love+ +teacher+ +immigrant+ +inherit+ +son+ +dance+ death+penalty +fantasy+ +naivety+ dying+and+death +difficult+ +moment+ +fate+ small+town +van+ +individual+ +crime+ +disorder+ +genetic+ +surround+ +murder+ +usa+ loss+of+eyesight +czech+ blindness+and+impaired+vision +factory+ +friendship+ +debt+ +verge+ +cope+ police+office +beat+ +music+ +learn+ +blind+ +robbery+ +number+ +secret+ +life+ +trouble+ factory+worker ends+meet +suffer+ +dream+ +struggle+ eye+operation +disease+ +execute+
17,+travel+ +underworld+ +suicide+ mother+daughter+relationship child+abuse +mythology+ +paradise+ +adolescence+ +sheep+ +single+ +sea+ +girl+ +daughter+ loss+of+child +shepherd+ +appears+ +secret+ +sect+ +torment+ +wales+ +happen+ +die+ +discover+
