movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
11,Star Wars,1977.0,6778.0,8.1,42.149697,"['Adventure', 'Action', 'Science Fiction']","{'+android+': 2.735, '+capture+': 2.735, '+effort+': 2.735, '+empire+': 2.735, '+evil+': 2.735, '+galaxy+': 2.735, '+hermit+': 2.735, '+jedi+': 2.735, '+justice+': 2.735, '+lightsaber+': 2.735, '+planet+': 2.735, '+rebellion+': 2.735, '+rescue+': 2.735, '+smuggler+': 2.735, '+stormtrooper+': 2.735, '+totalitarian+': 2.735, '1980_to_1990': 2.0, 'actorCarrieFisher': 1.986, 'actorHarrisonFord': 1.986, 'actorMarkHamill': 1.986, 'beautiful+princess': 2.735, 'composerJohnWilliams': 1.072, 'death+star': 2.735, 'directorGeorgeLucas': 2.19, 'galactic+war': 2.735, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreScienceFiction': 1.665, 'held+hostage': 2.735, 'producerGaryKurtz': 0.927, 'producerRickMcCallum': 0.927, 'rescue+mission': 2.735, 'restore+peace': 2.735, 'runtime_above_110': 1.0, 'space+opera': 2.735, 'the+force': 2.735}",1.0000000000000007
1891,The Empire Strikes Back,1980.0,5998.0,8.2,19.470959,"['Adventure', 'Action', 'Science Fiction']","{'+android+': 2.051, '+capture+': 2.051, '+empire+': 2.051, '+evil+': 2.051, '+jedi+': 2.051, '+lightsaber+': 2.051, '+rebellion+': 2.051, '+stormtrooper+': 2.051, '1980_to_1990': 2.0, 'actorCarrieFisher': 1.986, 'actorHarrisonFord': 1.986, 'actorMarkHamill': 1.986, 'composerJohnWilliams': 1.072, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreScienceFiction': 1.665, 'producerGaryKurtz': 0.927, 'runtime_above_110': 1.0, 'space+opera': 2.051, 'the+force': 2.051}",0.4409231768218391
140607,Star Wars: The Force Awakens,2015.0,7993.0,7.5,31.626013,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","{'+android+': 4.689, '+empire+': 4.689, '+evil+': 4.689, '+jedi+': 4.689, '+stormtrooper+': 4.689, 'composerJohnWilliams': 1.072, 'genreAction': 1.249, 'genreAdventure': 1.249, 'genreScienceFiction': 1.249, 'runtime_above_110': 1.0, 'space+opera': 4.689}",0.31831483664073823
1895,Star Wars: Episode III - Revenge of the Sith,2005.0,4200.0,7.1,13.165420999999998,"['Science Fiction', 'Adventure', 'Action']","{'+empire+': 1.427, '+evil+': 1.427, '+galaxy+': 1.427, '+jedi+': 1.427, 'composerJohnWilliams': 1.072, 'death+star': 1.427, 'directorGeorgeLucas': 2.19, 'galactic+war': 1.427, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreScienceFiction': 1.665, 'producerRickMcCallum': 1.854, 'runtime_above_110': 1.0, 'space+opera': 1.427}",0.26753887471705506
1893,Star Wars: Episode I - The Phantom Menace,1999.0,4526.0,6.4,15.649091,"['Adventure', 'Action', 'Science Fiction']","{'+evil+': 3.455, '+galaxy+': 3.455, '+jedi+': 3.455, 'composerJohnWilliams': 1.072, 'directorGeorgeLucas': 2.19, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreScienceFiction': 1.665, 'producerRickMcCallum': 1.854, 'runtime_above_110': 1.0, 'space+opera': 3.455}",0.23212748571325637
1892,Return of the Jedi,1983.0,4763.0,7.9,14.586087,"['Adventure', 'Action', 'Science Fiction']","{'+jedi+': 1.875, '1980_to_1990': 2.0, 'actorCarrieFisher': 1.986, 'actorHarrisonFord': 1.986, 'actorMarkHamill': 1.986, 'composerJohnWilliams': 1.072, 'death+star': 1.875, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreScienceFiction': 1.665, 'runtime_above_110': 1.0, 'space+opera': 1.875}",0.22750471302199965
1894,Star Wars: Episode II - Attack of the Clones,2002.0,4074.0,6.4,14.072511,"['Adventure', 'Action', 'Science Fiction']","{'+evil+': 1.683, '+galaxy+': 1.683, '+jedi+': 1.683, 'composerJohnWilliams': 1.072, 'death+star': 1.683, 'directorGeorgeLucas': 2.19, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreScienceFiction': 1.665, 'producerRickMcCallum': 0.927, 'runtime_above_110': 1.0, 'space+opera': 1.683}",0.22400245886475456
74849,The Star Wars Holiday Special,1978.0,81.0,3.2,4.099014,"['Adventure', 'Comedy', 'Family', 'Science Fiction', 'TV Movie']","{'+jedi+': 5.967, '+planet+': 5.967, '1980_to_1990': 2.0, 'actorHarrisonFord': 1.986, 'actorMarkHamill': 1.986, 'genreAdventure': 0.999, 'genreScienceFiction': 0.999, 'space+opera': 5.967}",0.2148163858354794
330459,Rogue One: A Star Wars Story,2016.0,5111.0,7.4,36.567575,"['Action', 'Adventure', 'Science Fiction']","{'+galaxy+': 1.875, '+jedi+': 1.875, '+rebellion+': 1.875, 'death+star': 1.875, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreScienceFiction': 1.665, 'runtime_above_110': 1.0, 'space+opera': 1.875}",0.19238973132089726
168,Star Trek IV: The Voyage Home,1986.0,490.0,6.9,12.596956,"['Science Fiction', 'Adventure']","{'+galaxy+': 1.774, '+justice+': 1.774, '+planet+': 1.774, '1980_to_1990': 2.0, 'genreAdventure': 2.497, 'genreScienceFiction': 2.497, 'runtime_above_110': 1.0, 'space+opera': 1.774}",0.18015668841774946
849,Krull,1983.0,130.0,5.8,9.848674,"['Fantasy', 'Action', 'Adventure']","{'+lightsaber+': 3.861, '+planet+': 3.861, '+rescue+': 3.861, '1980_to_1990': 2.0, 'genreAction': 1.665, 'genreAdventure': 1.665, 'runtime_above_110': 1.0}",0.17099014395215706
