movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
11,Star Wars,1977.0,6778.0,8.1,42.149697,"['Adventure', 'Action', 'Science Fiction']","{'+android+': 0.156, '+capture+': 0.128, '+effort+': 0.137, '+empire+': 0.151, '+evil+': 0.111, '+galaxy+': 0.166, '+hermit+': 0.2, '+jedi+': 0.187, '+justice+': 0.139, '+lightsaber+': 0.213, '+planet+': 0.126, '+rebellion+': 0.166, '+rescue+': 0.115, '+smuggler+': 0.175, '+stormtrooper+': 0.213, '+totalitarian+': 0.191, '1980_to_1990': 0.077, 'actorcarriefisher': 0.194, 'actorharrisonford': 0.159, 'actormarkhamill': 0.183, 'beautiful+princess': 0.196, 'composerjohnwilliams': 0.146, 'death+star': 0.203, 'directorgeorgelucas': 0.2, 'galactic+war': 0.213, 'genreaction': 0.059, 'genreadventure': 0.07, 'genresciencefiction': 0.077, 'held+hostage': 0.203, 'producergarykurtz': 0.203, 'producerrickmccallum': 0.2, 'rescue+mission': 0.171, 'restore+peace': 0.2, 'runtime_above_110': 0.051, 'space+opera': 0.164, 'the+force': 0.213}",1.0000000000000002
1891,The Empire Strikes Back,1980.0,5998.0,8.2,19.470959,"['Adventure', 'Action', 'Science Fiction']","{'+android+': 0.144, '+capture+': 0.118, '+empire+': 0.139, '+evil+': 0.102, '+jedi+': 0.172, '+lightsaber+': 0.195, '+rebellion+': 0.152, '+stormtrooper+': 0.195, '1980_to_1990': 0.07, 'actorcarriefisher': 0.178, 'actorharrisonford': 0.146, 'actormarkhamill': 0.168, 'composerjohnwilliams': 0.134, 'genreaction': 0.054, 'genreadventure': 0.065, 'genresciencefiction': 0.071, 'producergarykurtz': 0.187, 'runtime_above_110': 0.047, 'space+opera': 0.151, 'the+force': 0.195}",0.44368685938978514
1895,Star Wars: Episode III - Revenge of the Sith,2005.0,4200.0,7.1,13.165420999999998,"['Science Fiction', 'Adventure', 'Action']","{'+empire+': 0.126, '+evil+': 0.092, '+galaxy+': 0.138, '+jedi+': 0.155, 'composerjohnwilliams': 0.121, 'death+star': 0.169, 'directorgeorgelucas': 0.166, 'galactic+war': 0.177, 'genreaction': 0.049, 'genreadventure': 0.058, 'genresciencefiction': 0.064, 'producerrickmccallum': 0.166, 'runtime_above_110': 0.042, 'space+opera': 0.136}",0.2730503081178996
1893,Star Wars: Episode I - The Phantom Menace,1999.0,4526.0,6.4,15.649091,"['Adventure', 'Action', 'Science Fiction']","{'+evil+': 0.135, '+galaxy+': 0.203, '+jedi+': 0.228, 'composerjohnwilliams': 0.179, 'directorgeorgelucas': 0.244, 'genreaction': 0.072, 'genreadventure': 0.086, 'genresciencefiction': 0.095, 'producerrickmccallum': 0.244, 'runtime_above_110': 0.062, 'space+opera': 0.201}",0.2682968825903974
140607,Star Wars: The Force Awakens,2015.0,7993.0,7.5,31.626013,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","{'+android+': 0.183, '+empire+': 0.177, '+evil+': 0.129, '+jedi+': 0.218, '+stormtrooper+': 0.249, 'composerjohnwilliams': 0.171, 'genreaction': 0.069, 'genreadventure': 0.082, 'genresciencefiction': 0.091, 'runtime_above_110': 0.06, 'space+opera': 0.192}",0.2399982553276892
1894,Star Wars: Episode II - Attack of the Clones,2002.0,4074.0,6.4,14.072511,"['Adventure', 'Action', 'Science Fiction']","{'+evil+': 0.098, '+galaxy+': 0.147, '+jedi+': 0.165, 'composerjohnwilliams': 0.13, 'death+star': 0.18, 'directorgeorgelucas': 0.177, 'genreaction': 0.052, 'genreadventure': 0.062, 'genresciencefiction': 0.069, 'producerrickmccallum': 0.177, 'runtime_above_110': 0.045, 'space+opera': 0.145}",0.2311892777598108
1892,Return of the Jedi,1983.0,4763.0,7.9,14.586087,"['Adventure', 'Action', 'Science Fiction']","{'+jedi+': 0.172, '1980_to_1990': 0.071, 'actorcarriefisher': 0.179, 'actorharrisonford': 0.147, 'actormarkhamill': 0.169, 'composerjohnwilliams': 0.135, 'death+star': 0.188, 'genreaction': 0.055, 'genreadventure': 0.065, 'genresciencefiction': 0.072, 'runtime_above_110': 0.047, 'space+opera': 0.152}",0.22491516775924936
74849,The Star Wars Holiday Special,1978.0,81.0,3.2,4.099014,"['Adventure', 'Comedy', 'Family', 'Science Fiction', 'TV Movie']","{'+jedi+': 0.239, '+planet+': 0.162, '1980_to_1990': 0.098, 'actorharrisonford': 0.203, 'actormarkhamill': 0.235, 'genreadventure': 0.09, 'genresciencefiction': 0.099, 'space+opera': 0.21}",0.19649414854447744
330459,Rogue One: A Star Wars Story,2016.0,5111.0,7.4,36.567575,"['Action', 'Adventure', 'Science Fiction']","{'+galaxy+': 0.146, '+jedi+': 0.164, '+rebellion+': 0.146, 'death+star': 0.179, 'genreaction': 0.052, 'genreadventure': 0.062, 'genresciencefiction': 0.068, 'runtime_above_110': 0.045, 'space+opera': 0.144}",0.1540055071014238
278604,"Family Guy Presents: Something, Something, Something, Dark Side",2009.0,110.0,7.2,8.266563,"['Animation', 'Comedy', 'Science Fiction']","{'+empire+': 0.176, '+jedi+': 0.218, 'galactic+war': 0.248, 'genresciencefiction': 0.09}",0.12709999396269642
20874,Kin-dza-dza!,1986.0,51.0,6.9,5.736763,"['Comedy', 'Drama', 'Science Fiction']","{'+galaxy+': 0.188, '+planet+': 0.143, '+totalitarian+': 0.217, '1980_to_1990': 0.087, 'genresciencefiction': 0.088, 'runtime_above_110': 0.058}",0.10719814571906823
