movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
123,The Lord of the Rings,1978.0,187.0,6.1,7.914795,"['Fantasy', 'Drama', 'Animation', 'Adventure']","{'+destroy+': 1, '+dwarves+': 1, '+earth+': 1, '+elves+': 1, '+embark+': 1, '+fellowship+': 1, '+hobbit+': 1, '+journey+': 1, '+middle+': 1, '+mission+': 1, '+reign+': 1, '+ring+': 1, '1980_to_1990': 1, 'actorchristopherguard': 1, 'actormichaelscholes': 1, 'actorwilliamsquire': 1, 'composerleonardrosenman': 1, 'directorralphbakshi': 1, 'genreadventure': 1, 'genreanimation': 1, 'genredrama': 1, 'genrefantasy': 1, 'producernancyeichler': 1, 'producersaulzaentz': 1, 'runtime_above_110': 1, 'screenplaychrisconkling': 1, 'screenplaypetersbeagle': 1}",27.0
120,The Lord of the Rings: The Fellowship of the Ring,2001.0,8892.0,8.0,32.070725,"['Adventure', 'Fantasy', 'Action']","{'+destroy+': 1, '+dwarves+': 1, '+elves+': 1, '+fellowship+': 1, '+hobbit+': 1, '+ring+': 1, 'genreadventure': 1, 'genrefantasy': 1, 'runtime_above_110': 1}",9.0
121,The Lord of the Rings: The Two Towers,2002.0,7641.0,8.0,29.423537,"['Adventure', 'Fantasy', 'Action']","{'+destroy+': 1, '+elves+': 1, '+fellowship+': 1, '+hobbit+': 1, '+mission+': 1, '+ring+': 1, 'genreadventure': 1, 'genrefantasy': 1, 'runtime_above_110': 1}",9.0
49051,The Hobbit: An Unexpected Journey,2012.0,8427.0,7.0,23.253089000000006,"['Adventure', 'Fantasy', 'Action']","{'+dwarves+': 1, '+elves+': 1, '+hobbit+': 1, '+journey+': 1, '+ring+': 1, 'genreadventure': 1, 'genrefantasy': 1, 'runtime_above_110': 1}",8.0
57158,The Hobbit: The Desolation of Smaug,2013.0,4633.0,7.6,20.644776,"['Adventure', 'Fantasy']","{'+dwarves+': 1, '+elves+': 1, '+hobbit+': 1, '+journey+': 1, '+ring+': 1, 'genreadventure': 1, 'genrefantasy': 1, 'runtime_above_110': 1}",8.0
122917,The Hobbit: The Battle of the Five Armies,2014.0,4884.0,7.1,31.718977,"['Action', 'Adventure', 'Fantasy']","{'+dwarves+': 1, '+earth+': 1, '+elves+': 1, '+hobbit+': 1, '+middle+': 1, 'genreadventure': 1, 'genrefantasy': 1, 'runtime_above_110': 1}",8.0
168,Star Trek IV: The Voyage Home,1986.0,490.0,6.9,12.596956,"['Science Fiction', 'Adventure']","{'+destroy+': 1, '+earth+': 1, '+journey+': 1, '1980_to_1990': 1, 'composerleonardrosenman': 1, 'genreadventure': 1, 'runtime_above_110': 1}",7.0
81,Nausicaä of the Valley of the Wind,1984.0,808.0,7.7,11.267366,"['Adventure', 'Animation', 'Fantasy']","{'+earth+': 1, '1980_to_1990': 1, 'genreadventure': 1, 'genreanimation': 1, 'genrefantasy': 1, 'runtime_above_110': 1}",6.0
122,The Lord of the Rings: The Return of the King,2003.0,8226.0,8.1,29.324358,"['Adventure', 'Fantasy', 'Action']","{'+elves+': 1, '+fellowship+': 1, '+ring+': 1, 'genreadventure': 1, 'genrefantasy': 1, 'runtime_above_110': 1}",6.0
128,Princess Mononoke,1997.0,2041.0,8.2,17.166725,"['Adventure', 'Fantasy', 'Animation']","{'+destroy+': 1, '+journey+': 1, 'genreadventure': 1, 'genreanimation': 1, 'genrefantasy': 1, 'runtime_above_110': 1}",6.0
387,Das Boot,1981.0,623.0,7.9,8.80338,"['Action', 'Drama', 'History', 'War', 'Adventure']","{'+destroy+': 1, '+mission+': 1, '1980_to_1990': 1, 'genreadventure': 1, 'genredrama': 1, 'runtime_above_110': 1}",6.0
