movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
13027,Eagle Eye,2008.0,1038.0,6.3,14.324875,"['Mystery', 'Thriller', 'Action']","{'+action+': 1, '+caller+': 1, '+control+': 1, '+country+': 1, '+danger+': 1, '+escalate+': 1, '+event+': 1, '+family+': 1, '+fbi+': 1, '+figure+': 1, '+happen+': 1, '+hostage+': 1, '+jerry+': 1, '+live+': 1, '+met+': 1, '+pentagon+': 1, '+push+': 1, '+rachel+': 1, '+stranger+': 1, '+suddenly+': 1, '+technology+': 1, '+threaten+': 1, '+thrown+': 1, '+turmoil+': 1, '+wanted+': 1, '2000_to_2010': 1, 'actormichellemonaghan': 1, 'actorrosariodawson': 1, 'actorshialabeouf': 1, 'artificial+intelligence': 1, 'c': 1, 'composerbriantyler': 1, 'directordjcaruso': 1, 'fbi+agent': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1, 'mysterious+woman': 1, 'produceralexkurtzman': 1, 'producerpatrickcrowley': 1, 'producerrobertoorci': 1, 'runtime_above_110': 1, 'secret+identity': 1, 'twin+brother': 1, 'washington+d': 1}",1.0000000000000004
1571,Live Free or Die Hard,2007.0,2122.0,6.4,14.886039000000002,"['Action', 'Thriller']","{'+control+': 1, '+fbi+': 1, '+hostage+': 1, '2000_to_2010': 1, 'c': 1, 'genreaction': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'washington+d': 1}",0.21764287503300356
7485,Shooter,2007.0,1495.0,6.9,14.246918,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']","{'+action+': 1, '+live+': 1, '2000_to_2010': 1, 'fbi+agent': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.19605723255834875
14070,Ghajini,2008.0,84.0,6.9,4.23908,"['Thriller', 'Action', 'Drama', 'Mystery']","{'+event+': 1, '+happen+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.19377278632539327
180,Minority Report,2002.0,2663.0,7.1,20.666063,"['Action', 'Thriller', 'Science Fiction', 'Mystery']","{'+technology+': 1, '2000_to_2010': 1, 'c': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'washington+d': 1}",0.1909639664105154
291805,Now You See Me 2,2016.0,3362.0,6.7,39.540653000000006,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']","{'+danger+': 1, '+fbi+': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1, 'produceralexkurtzman': 1, 'producerrobertoorci': 1, 'runtime_above_110': 1}",0.18624807887188755
2026,Hostage,2005.0,519.0,6.2,9.686638,"['Mystery', 'Drama', 'Thriller', 'Crime']","{'+family+': 1, '+fbi+': 1, '+hostage+': 1, '2000_to_2010': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.17391639824998364
82,Miami Vice,2006.0,494.0,5.7,11.72545,"['Action', 'Adventure', 'Crime', 'Thriller']","{'+danger+': 1, '+live+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.1721325931647741
9802,The Rock,1996.0,1474.0,6.9,13.249823999999998,"['Action', 'Adventure', 'Thriller']","{'+family+': 1, '+fbi+': 1, '+hostage+': 1, 'fbi+agent': 1, 'genreaction': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.167093470609201
12767,Cold Creek Manor,2003.0,114.0,4.9,5.84474,"['Mystery', 'Thriller']","{'+family+': 1, '+live+': 1, '+wanted+': 1, '2000_to_2010': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.167093470609201
75656,Now You See Me,2013.0,5635.0,7.3,17.852022,"['Thriller', 'Crime']","{'+fbi+': 1, 'composerbriantyler': 1, 'fbi+agent': 1, 'genrethriller': 1, 'produceralexkurtzman': 1, 'producerrobertoorci': 1, 'runtime_above_110': 1}",0.1649915822768611
