movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
13027,Eagle Eye,2008.0,1038.0,6.3,14.324875,"['Mystery', 'Thriller', 'Action']","{'+action+': 1, '+caller+': 1, '+control+': 1, '+country+': 1, '+danger+': 1, '+escalate+': 1, '+event+': 1, '+family+': 1, '+fbi+': 1, '+figure+': 1, '+happen+': 1, '+hostage+': 1, '+jerry+': 1, '+live+': 1, '+met+': 1, '+pentagon+': 1, '+push+': 1, '+rachel+': 1, '+stranger+': 1, '+suddenly+': 1, '+technology+': 1, '+threaten+': 1, '+thrown+': 1, '+turmoil+': 1, '+wanted+': 1, '2000_to_2010': 1, 'actormichellemonaghan': 1, 'actorrosariodawson': 1, 'actorshialabeouf': 1, 'artificial+intelligence': 1, 'c': 1, 'composerbriantyler': 1, 'directordjcaruso': 1, 'fbi+agent': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1, 'mysterious+woman': 1, 'produceralexkurtzman': 1, 'producerpatrickcrowley': 1, 'producerrobertoorci': 1, 'runtime_above_110': 1, 'secret+identity': 1, 'twin+brother': 1, 'washington+d': 1}",45.0
1571,Live Free or Die Hard,2007.0,2122.0,6.4,14.886039000000002,"['Action', 'Thriller']","{'+control+': 1, '+fbi+': 1, '+hostage+': 1, '2000_to_2010': 1, 'c': 1, 'genreaction': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'washington+d': 1}",9.0
180,Minority Report,2002.0,2663.0,7.1,20.666063,"['Action', 'Thriller', 'Science Fiction', 'Mystery']","{'+technology+': 1, '2000_to_2010': 1, 'c': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'washington+d': 1}",8.0
7485,Shooter,2007.0,1495.0,6.9,14.246918,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']","{'+action+': 1, '+live+': 1, '2000_to_2010': 1, 'fbi+agent': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",8.0
291805,Now You See Me 2,2016.0,3362.0,6.7,39.540653000000006,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']","{'+danger+': 1, '+fbi+': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1, 'produceralexkurtzman': 1, 'producerrobertoorci': 1, 'runtime_above_110': 1}",8.0
787,Mr. & Mrs. Smith,2005.0,3048.0,6.5,15.724373000000002,"['Action', 'Comedy', 'Drama', 'Thriller']","{'+action+': 1, '+live+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'secret+identity': 1}",7.0
1642,The Net,1995.0,359.0,5.6,13.304342000000002,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']","{'+event+': 1, '+live+': 1, '+technology+': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",7.0
2026,Hostage,2005.0,519.0,6.2,9.686638,"['Mystery', 'Drama', 'Thriller', 'Crime']","{'+family+': 1, '+fbi+': 1, '+hostage+': 1, '2000_to_2010': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",7.0
2501,The Bourne Identity,2002.0,3640.0,7.3,21.040126,"['Action', 'Drama', 'Mystery', 'Thriller']","{'2000_to_2010': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1, 'producerpatrickcrowley': 1, 'runtime_above_110': 1, 'secret+identity': 1}",7.0
2503,The Bourne Ultimatum,2007.0,2938.0,7.3,18.173269,"['Action', 'Drama', 'Mystery', 'Thriller']","{'+danger+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1, 'producerpatrickcrowley': 1, 'runtime_above_110': 1}",7.0
8834,Conspiracy Theory,1997.0,440.0,6.5,14.261798,"['Action', 'Drama', 'Mystery', 'Thriller']","{'+control+': 1, '+fbi+': 1, '+figure+': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",7.0
