movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
13,Forrest Gump,1994.0,8147.0,8.2,48.307194,"['Comedy', 'Drama', 'Romance']","{'+ability+': 1, '+accomplish+': 1, '+bully+': 1, '+case+': 1, '+challenge+': 1, '+courage+': 1, '+determine+': 1, '+event+': 1, '+flashback+': 1, '+fondling+': 1, '+friendship+': 1, '+great+': 1, '+hippy+': 1, '+historic+': 1, '+imagine+': 1, '+judiciary+': 1, '+life+': 1, '+love+': 1, '+low+': 1, '+military+': 1, '+park+': 1, '+prove+': 1, '+rose+': 1, '+shrimp+': 1, '+soldier+': 1, '+thing+': 1, '+true+': 1, '+vietnam+': 1, '+wound+': 1, '1990_to_2000': 1, 'actorgarysinise': 1, 'actorrobinwright': 1, 'actortomhanks': 1, 'based+on+novel': 1, 'composeralansilvestri': 1, 'directorrobertzemeckis': 1, 'family+relationships': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'mentally+disabled': 1, 'mother+son+relationship': 1, 'producerstevestarkey': 1, 'producerstevetisch': 1, 'producerwendyfinerman': 1, 'runtime_above_110': 1, 'screenplayericroth': 1, 'vietnam+veteran': 1, 'vietnam+war': 1}",49.0
10464,"Corrina, Corrina",1994.0,83.0,6.4,6.924689,"['Comedy', 'Drama', 'Family', 'Romance']","{'+friendship+': 1, '+life+': 1, '1990_to_2000': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'producerstevetisch': 1, 'runtime_above_110': 1}",8.0
10995,The Lover,1992.0,100.0,6.5,7.281965,"['Drama', 'Romance']","{'+love+': 1, '+vietnam+': 1, '1990_to_2000': 1, 'based+on+novel': 1, 'family+relationships': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_above_110': 1}",8.0
11004,Wonder Boys,2000.0,165.0,6.9,5.922739,"['Comedy', 'Drama']","{'+great+': 1, '+imagine+': 1, '+prove+': 1, '+thing+': 1, 'based+on+novel': 1, 'genrecomedy': 1, 'genredrama': 1, 'runtime_above_110': 1}",8.0
11931,In Her Shoes,2005.0,446.0,6.0,8.63229,"['Comedy', 'Drama', 'Romance']","{'+flashback+': 1, '+love+': 1, '+rose+': 1, 'based+on+novel': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_above_110': 1}",8.0
25189,The Mirror Has Two Faces,1996.0,47.0,6.5,4.803721,"['Comedy', 'Drama', 'Romance']","{'+friendship+': 1, '+life+': 1, '+rose+': 1, '1990_to_2000': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_above_110': 1}",8.0
49022,Something Borrowed,2011.0,304.0,5.9,5.47309,"['Comedy', 'Drama', 'Romance']","{'+flashback+': 1, '+friendship+': 1, '+rose+': 1, 'based+on+novel': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_above_110': 1}",8.0
296096,Me Before You,2016.0,2674.0,7.6,34.347590000000004,"['Drama', 'Romance']","{'+determine+': 1, '+imagine+': 1, '+life+': 1, '+prove+': 1, 'based+on+novel': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_above_110': 1}",8.0
597,Titanic,1997.0,7770.0,7.5,26.88907,"['Drama', 'Romance', 'Thriller']","{'+life+': 1, '+love+': 1, '+rose+': 1, '1990_to_2000': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_above_110': 1}",7.0
686,Contact,1997.0,1338.0,7.2,14.374866,"['Drama', 'Science Fiction', 'Mystery']","{'1990_to_2000': 1, 'based+on+novel': 1, 'composeralansilvestri': 1, 'directorrobertzemeckis': 1, 'genredrama': 1, 'producerstevestarkey': 1, 'runtime_above_110': 1}",7.0
712,Four Weddings and a Funeral,1994.0,654.0,6.6,8.990345,"['Comedy', 'Drama', 'Romance']","{'+determine+': 1, '+friendship+': 1, '1990_to_2000': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_above_110': 1}",7.0
