movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
13,Forrest Gump,1994.0,8147.0,8.2,48.307194,"['Comedy', 'Drama', 'Romance']","{'+ability+': 1.875, '+accomplish+': 1.875, '+bully+': 1.875, '+case+': 1.875, '+challenge+': 1.875, '+courage+': 1.875, '+determine+': 1.875, '+event+': 1.875, '+flashback+': 1.875, '+fondling+': 1.875, '+friendship+': 1.875, '+great+': 1.875, '+hippy+': 1.875, '+historic+': 1.875, '+imagine+': 1.875, '+judiciary+': 1.875, '+life+': 1.875, '+love+': 1.875, '+low+': 1.875, '+military+': 1.875, '+park+': 1.875, '+prove+': 1.875, '+rose+': 1.875, '+shrimp+': 1.875, '+soldier+': 1.875, '+thing+': 1.875, '+true+': 1.875, '+vietnam+': 1.875, '+wound+': 1.875, '1990_to_2000': 2.0, 'actorGarySinise': 1.986, 'actorRobinWright': 1.986, 'actorTomHanks': 1.986, 'based+on+novel': 1.875, 'composerAlanSilvestri': 1.072, 'directorRobertZemeckis': 2.19, 'family+relationships': 1.875, 'genreComedy': 1.665, 'genreDrama': 1.665, 'genreRomance': 1.665, 'mentally+disabled': 1.875, 'mother+son+relationship': 1.875, 'producerSteveStarkey': 0.618, 'producerSteveTisch': 0.618, 'producerWendyFinerman': 0.618, 'runtime_above_110': 1.0, 'screenplayEricRoth': 0.955, 'vietnam+veteran': 1.875, 'vietnam+war': 1.875}",1.0000000000000009
330483,The Choice,2016.0,527.0,6.7,8.28378,"['Drama', 'Romance']","{'+event+': 4.376, '+life+': 4.376, '+love+': 4.376, 'based+on+novel': 4.376, 'genreDrama': 2.497, 'genreRomance': 2.497, 'runtime_above_110': 1.0}",0.18713471593047568
9800,Philadelphia,1993.0,1019.0,7.6,13.373006,['Drama'],"{'+case+': 3.126, '+courage+': 3.126, '+judiciary+': 3.126, '1990_to_2000': 2.0, 'actorTomHanks': 1.986, 'genreDrama': 4.994, 'runtime_above_110': 1.0}",0.17469321511167982
1587,What's Eating Gilbert Grape,1993.0,943.0,7.5,10.3919,"['Romance', 'Drama']","{'+life+': 5.049, '+love+': 5.049, '1990_to_2000': 2.0, 'genreDrama': 2.497, 'genreRomance': 2.497, 'mentally+disabled': 5.049, 'runtime_above_110': 1.0}",0.17408789360723292
80591,W.E.,2011.0,62.0,5.8,4.974482,"['Drama', 'Romance']","{'+courage+': 3.455, '+great+': 3.455, '+historic+': 3.455, '+love+': 3.455, 'genreDrama': 2.497, 'genreRomance': 2.497, 'runtime_above_110': 1.0}",0.1732471320884189
77197,True Women,1997.0,7.0,5.2,5.677012,['Drama'],"{'+friendship+': 2.626, '+love+': 2.626, '+true+': 2.626, '1990_to_2000': 2.0, 'based+on+novel': 2.626, 'genreDrama': 4.994}",0.17262330633911527
11004,Wonder Boys,2000.0,165.0,6.9,5.922739,"['Comedy', 'Drama']","{'+great+': 1.989, '+imagine+': 1.989, '+prove+': 1.989, '+thing+': 1.989, 'based+on+novel': 1.989, 'genreComedy': 2.497, 'genreDrama': 2.497, 'runtime_above_110': 1.0}",0.1723791407016311
9349,Universal Soldier,1992.0,382.0,5.8,8.035769,"['Thriller', 'Action', 'Science Fiction', 'Crime']","{'+flashback+': 2.984, '+military+': 2.984, '+soldier+': 2.984, '+vietnam+': 2.984, '1990_to_2000': 2.0, 'vietnam+war': 2.984}",0.17005394859704914
11216,Cinema Paradiso,1988.0,834.0,8.2,14.177005,"['Drama', 'Romance']","{'+flashback+': 3.126, '+friendship+': 3.126, '+love+': 3.126, 'genreDrama': 2.497, 'genreRomance': 2.497, 'mother+son+relationship': 3.126, 'runtime_above_110': 1.0}",0.1681149762007999
38366,The Cyclone,1996.0,129.0,6.6,4.815947,"['Romance', 'Drama', 'Comedy']","{'1990_to_2000': 2.0, 'genreComedy': 1.665, 'genreDrama': 1.665, 'genreRomance': 1.665}",0.1676397991336994
11909,Bullet in the Head,1990.0,52.0,7.7,3.990633,"['Thriller', 'Crime', 'Drama']","{'+friendship+': 3.455, '+life+': 3.455, '+vietnam+': 3.455, '1990_to_2000': 2.0, 'genreDrama': 1.665, 'runtime_above_110': 1.0, 'vietnam+war': 3.455}",0.16680663629943066
