movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
13,Forrest Gump,1994.0,8147.0,8.2,48.307194,"['Comedy', 'Drama', 'Romance']","{'+ability+': 0.149, '+accomplish+': 0.166, '+bully+': 0.145, '+case+': 0.121, '+challenge+': 0.135, '+courage+': 0.147, '+determine+': 0.119, '+event+': 0.114, '+flashback+': 0.13, '+fondling+': 0.192, '+friendship+': 0.103, '+great+': 0.123, '+hippy+': 0.166, '+historic+': 0.163, '+imagine+': 0.141, '+judiciary+': 0.189, '+life+': 0.071, '+love+': 0.078, '+low+': 0.149, '+military+': 0.123, '+park+': 0.143, '+prove+': 0.122, '+rose+': 0.152, '+shrimp+': 0.195, '+soldier+': 0.117, '+thing+': 0.106, '+true+': 0.118, '+vietnam+': 0.153, '+wound+': 0.142, '1990_to_2000': 0.067, 'actorgarysinise': 0.183, 'actorrobinwright': 0.181, 'actortomhanks': 0.15, 'based+on+novel': 0.1, 'composeralansilvestri': 0.146, 'directorrobertzemeckis': 0.173, 'family+relationships': 0.147, 'genrecomedy': 0.048, 'genredrama': 0.04, 'genreromance': 0.064, 'mentally+disabled': 0.187, 'mother+son+relationship': 0.154, 'producerstevestarkey': 0.179, 'producerstevetisch': 0.181, 'producerwendyfinerman': 0.192, 'runtime_above_110': 0.05, 'screenplayericroth': 0.181, 'vietnam+veteran': 0.163, 'vietnam+war': 0.157}",0.9999999999999999
9374,Death Becomes Her,1992.0,655.0,6.3,11.017417,"['Fantasy', 'Comedy']","{'+thing+': 0.135, '1990_to_2000': 0.085, 'composeralansilvestri': 0.184, 'directorrobertzemeckis': 0.219, 'genrecomedy': 0.061, 'producerstevestarkey': 0.227}",0.12840518431760284
5255,The Polar Express,2004.0,1524.0,6.4,14.27536,"['Adventure', 'Animation', 'Family', 'Fantasy']","{'+life+': 0.079, 'actortomhanks': 0.167, 'composeralansilvestri': 0.162, 'directorrobertzemeckis': 0.193, 'producerstevestarkey': 0.199}",0.12339571563793915
9800,Philadelphia,1993.0,1019.0,7.6,13.373006,['Drama'],"{'+case+': 0.143, '+courage+': 0.173, '+judiciary+': 0.224, '1990_to_2000': 0.079, 'actortomhanks': 0.177, 'genredrama': 0.048, 'runtime_above_110': 0.059}",0.12174409105576114
369885,Allied,2016.0,1415.0,6.6,13.085186,"['Action', 'Drama', 'War', 'Romance', 'Thriller']","{'+love+': 0.095, 'composeralansilvestri': 0.179, 'directorrobertzemeckis': 0.212, 'genredrama': 0.05, 'genreromance': 0.079, 'producerstevestarkey': 0.22, 'runtime_above_110': 0.061}",0.11977273301655428
8358,Cast Away,2000.0,3304.0,7.5,21.296343,"['Adventure', 'Drama']","{'+love+': 0.08, 'actortomhanks': 0.154, 'composeralansilvestri': 0.149, 'directorrobertzemeckis': 0.178, 'genredrama': 0.041, 'producerstevestarkey': 0.184, 'runtime_above_110': 0.051}",0.1188830536767087
2655,What Lies Beneath,2000.0,504.0,6.3,9.500497,"['Drama', 'Horror', 'Mystery', 'Thriller']","{'+love+': 0.097, 'composeralansilvestri': 0.181, 'directorrobertzemeckis': 0.216, 'genredrama': 0.05, 'producerstevestarkey': 0.223, 'runtime_above_110': 0.062}",0.11649313936235269
11778,The Deer Hunter,1978.0,943.0,7.8,7.729445,"['Drama', 'War']","{'+imagine+': 0.155, '+love+': 0.085, '+vietnam+': 0.167, 'genredrama': 0.044, 'runtime_above_110': 0.054, 'vietnam+veteran': 0.178, 'vietnam+war': 0.172}",0.11474993527874701
285783,The Walk,2015.0,1151.0,6.9,9.425787,"['Adventure', 'Drama', 'Thriller']","{'composeralansilvestri': 0.176, 'directorrobertzemeckis': 0.209, 'genredrama': 0.049, 'producerstevestarkey': 0.216, 'runtime_above_110': 0.06}",0.10558982862754862
686,Contact,1997.0,1338.0,7.2,14.374866,"['Drama', 'Science Fiction', 'Mystery']","{'1990_to_2000': 0.068, 'based+on+novel': 0.101, 'composeralansilvestri': 0.147, 'directorrobertzemeckis': 0.175, 'genredrama': 0.041, 'producerstevestarkey': 0.181, 'runtime_above_110': 0.05}",0.10293810133183032
9349,Universal Soldier,1992.0,382.0,5.8,8.035769,"['Thriller', 'Action', 'Science Fiction', 'Crime']","{'+flashback+': 0.135, '+military+': 0.128, '+soldier+': 0.121, '+vietnam+': 0.159, '1990_to_2000': 0.07, 'vietnam+war': 0.164}",0.10214700057869833
