movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
157336,Interstellar,2014.0,11187.0,8.1,32.213481,"['Adventure', 'Drama', 'Science Fiction']","{'+adventure+': 1, '+astronaut+': 1, '+conquer+': 1, '+courage+': 1, '+dystopia+': 1, '+expedition+': 1, '+explore+': 1, '+famine+': 1, '+farmer+': 1, '+farmhouse+': 1, '+gravity+': 1, '+group+': 1, '+human+': 1, '+imax+': 1, '+limit+': 1, '+nasa+': 1, '+newly+': 1, '+relative+': 1, '+rescue+': 1, '+robot+': 1, '+scientist+': 1, '+space+': 1, '+spaceship+': 1, '+travel+': 1, '+vast+': 1, '+voyage+': 1, '+wormhole+': 1, '2010_till_now': 1, 'actorannehathaway': 1, 'actorjessicachastain': 1, 'actormatthewmcconaughey': 1, 'artificial+intelligence': 1, 'black+hole': 1, 'composerhanszimmer': 1, 'directorchristophernolan': 1, 'family+relationships': 1, 'father+daughter+relationship': 1, 'father+son+relationship': 1, 'genreadventure': 1, 'genredrama': 1, 'genresciencefiction': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'producerlyndaobst': 1, 'quantum+mechanics': 1, 'race+against+time': 1, 'runtime_above_110': 1, 'saving+the+world': 1, 'single+father': 1, 'single+parent': 1, 'space+station': 1, 'space+travel': 1}",1.0000000000000009
274870,Passengers,2016.0,4134.0,6.7,20.303632,"['Adventure', 'Drama', 'Romance', 'Science Fiction']","{'+gravity+': 1, '+robot+': 1, '+space+': 1, '+spaceship+': 1, '+travel+': 1, '2010_till_now': 1, 'genreadventure': 1, 'genredrama': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'space+station': 1}",0.2273970134135489
871,Planet of the Apes,1968.0,958.0,7.5,17.784978,"['Science Fiction', 'Adventure', 'Drama', 'Action']","{'+astronaut+': 1, '+dystopia+': 1, '+human+': 1, '+scientist+': 1, '+spaceship+': 1, 'genreadventure': 1, 'genredrama': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'space+travel': 1}",0.21398024625545653
286217,The Martian,2015.0,7442.0,7.6,25.62993,"['Drama', 'Adventure', 'Science Fiction']","{'+astronaut+': 1, '+nasa+': 1, '+space+': 1, '+spaceship+': 1, '2010_till_now': 1, 'actorjessicachastain': 1, 'genreadventure': 1, 'genredrama': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.20227834851568371
62,2001: A Space Odyssey,1968.0,3075.0,7.9,22.494622,"['Science Fiction', 'Mystery', 'Adventure']","{'+astronaut+': 1, '+human+': 1, 'artificial+intelligence': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'space+station': 1, 'space+travel': 1}",0.19026059766179765
262543,Automata,2014.0,677.0,5.6,13.973689000000002,"['Thriller', 'Science Fiction']","{'+dystopia+': 1, '+human+': 1, '+robot+': 1, '2010_till_now': 1, 'artificial+intelligence': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.18344984642633566
91314,Transformers: Age of Extinction,2014.0,3136.0,5.8,18.495599,"['Science Fiction', 'Action', 'Adventure']","{'+group+': 1, '+human+': 1, '+imax+': 1, '+robot+': 1, '+scientist+': 1, '2010_till_now': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.18014417303072305
119450,Dawn of the Planet of the Apes,2014.0,4511.0,7.3,75.385211,"['Science Fiction', 'Action', 'Drama', 'Thriller']","{'+dystopia+': 1, '+group+': 1, '+human+': 1, '+scientist+': 1, '2010_till_now': 1, 'genredrama': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.17996850826633903
75612,Oblivion,2013.0,4862.0,6.4,14.654053,"['Action', 'Science Fiction', 'Adventure', 'Mystery']","{'+dystopia+': 1, '+human+': 1, '+imax+': 1, '+rescue+': 1, '+space+': 1, '2010_till_now': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.17650452162436564
27205,Inception,2010.0,14075.0,8.1,29.108149,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']","{'2010_till_now': 1, 'composerhanszimmer': 1, 'directorchristophernolan': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1}",0.173259232729684
49521,Man of Steel,2013.0,6462.0,6.5,18.538834,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","{'2010_till_now': 1, 'composerhanszimmer': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'saving+the+world': 1}",0.173259232729684
