movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
157336,Interstellar,2014.0,11187.0,8.1,32.213481,"['Adventure', 'Drama', 'Science Fiction']","{'+adventure+': 1.683, '+astronaut+': 1.683, '+conquer+': 1.683, '+courage+': 1.683, '+dystopia+': 1.683, '+expedition+': 1.683, '+explore+': 1.683, '+famine+': 1.683, '+farmer+': 1.683, '+farmhouse+': 1.683, '+gravity+': 1.683, '+group+': 1.683, '+human+': 1.683, '+imax+': 1.683, '+limit+': 1.683, '+nasa+': 1.683, '+newly+': 1.683, '+relative+': 1.683, '+rescue+': 1.683, '+robot+': 1.683, '+scientist+': 1.683, '+space+': 1.683, '+spaceship+': 1.683, '+travel+': 1.683, '+vast+': 1.683, '+voyage+': 1.683, '+wormhole+': 1.683, '2010_till_now': 2.0, 'actorAnneHathaway': 1.986, 'actorJessicaChastain': 1.986, 'actorMatthewMcConaughey': 1.986, 'artificial+intelligence': 1.683, 'black+hole': 1.683, 'composerHansZimmer': 1.072, 'directorChristopherNolan': 2.19, 'family+relationships': 1.683, 'father+daughter+relationship': 1.683, 'father+son+relationship': 1.683, 'genreAdventure': 1.665, 'genreDrama': 1.665, 'genreScienceFiction': 1.665, 'producerChristopherNolan': 0.618, 'producerEmmaThomas': 0.618, 'producerLyndaObst': 0.618, 'quantum+mechanics': 1.683, 'race+against+time': 1.683, 'runtime_above_110': 1.0, 'saving+the+world': 1.683, 'single+father': 1.683, 'single+parent': 1.683, 'space+station': 1.683, 'space+travel': 1.683}",1.0000000000000009
274870,Passengers,2016.0,4134.0,6.7,20.303632,"['Adventure', 'Drama', 'Romance', 'Science Fiction']","{'+gravity+': 2.188, '+robot+': 2.188, '+space+': 2.188, '+spaceship+': 2.188, '+travel+': 2.188, '2010_till_now': 2.0, 'genreAdventure': 1.249, 'genreDrama': 1.249, 'genreScienceFiction': 1.249, 'runtime_above_110': 1.0, 'space+station': 2.188}",0.21182030524983902
286217,The Martian,2015.0,7442.0,7.6,25.62993,"['Drama', 'Adventure', 'Science Fiction']","{'+astronaut+': 2.117, '+nasa+': 2.117, '+space+': 2.117, '+spaceship+': 2.117, '2010_till_now': 2.0, 'actorJessicaChastain': 1.986, 'genreAdventure': 1.665, 'genreDrama': 1.665, 'genreScienceFiction': 1.665, 'runtime_above_110': 1.0}",0.2012233538147646
568,Apollo 13,1995.0,1637.0,7.3,18.761467,['Drama'],"{'+astronaut+': 1.527, '+courage+': 1.527, '+imax+': 1.527, '+nasa+': 1.527, '+rescue+': 1.527, '+space+': 1.527, 'genreDrama': 4.994, 'race+against+time': 1.527, 'runtime_above_110': 1.0}",0.18545867778507485
871,Planet of the Apes,1968.0,958.0,7.5,17.784978,"['Science Fiction', 'Adventure', 'Drama', 'Action']","{'+astronaut+': 2.188, '+dystopia+': 2.188, '+human+': 2.188, '+scientist+': 2.188, '+spaceship+': 2.188, 'genreAdventure': 1.249, 'genreDrama': 1.249, 'genreScienceFiction': 1.249, 'runtime_above_110': 1.0, 'space+travel': 2.188}",0.18503050980365723
262543,Automata,2014.0,677.0,5.6,13.973689000000002,"['Thriller', 'Science Fiction']","{'+dystopia+': 4.689, '+human+': 4.689, '+robot+': 4.689, '2010_till_now': 2.0, 'artificial+intelligence': 4.689, 'genreScienceFiction': 2.497, 'runtime_above_110': 1.0}",0.1838216578804708
62,2001: A Space Odyssey,1968.0,3075.0,7.9,22.494622,"['Science Fiction', 'Mystery', 'Adventure']","{'+astronaut+': 3.282, '+human+': 3.282, 'artificial+intelligence': 3.282, 'genreAdventure': 1.665, 'genreScienceFiction': 1.665, 'runtime_above_110': 1.0, 'space+station': 3.282, 'space+travel': 3.282}",0.18133027134444624
91314,Transformers: Age of Extinction,2014.0,3136.0,5.8,18.495599,"['Science Fiction', 'Action', 'Adventure']","{'+group+': 1.989, '+human+': 1.989, '+imax+': 1.989, '+robot+': 1.989, '+scientist+': 1.989, '2010_till_now': 2.0, 'genreAdventure': 1.665, 'genreScienceFiction': 1.665, 'runtime_above_110': 1.0}",0.17863615159489207
75612,Oblivion,2013.0,4862.0,6.4,14.654053,"['Action', 'Science Fiction', 'Adventure', 'Mystery']","{'+dystopia+': 2.188, '+human+': 2.188, '+imax+': 2.188, '+rescue+': 2.188, '+space+': 2.188, '2010_till_now': 2.0, 'genreAdventure': 1.249, 'genreScienceFiction': 1.249, 'runtime_above_110': 1.0}",0.17545219891031844
126889,Alien: Covenant,2017.0,2677.0,5.7,72.884078,"['Horror', 'Science Fiction', 'Thriller']","{'+expedition+': 1.727, '+robot+': 1.727, '+scientist+': 1.727, '+space+': 1.727, '+spaceship+': 1.727, '2010_till_now': 2.0, 'genreScienceFiction': 1.665, 'runtime_above_110': 1.0, 'space+travel': 1.727}",0.17490948041413718
381284,Hidden Figures,2016.0,2178.0,7.8,16.816834,['Drama'],"{'+astronaut+': 1.683, '+nasa+': 1.683, '+scientist+': 1.683, '+space+': 1.683, '2010_till_now': 2.0, 'composerHansZimmer': 0.357, 'genreDrama': 4.994, 'runtime_above_110': 1.0}",0.166365646832851
