movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
157336,Interstellar,2014.0,11187.0,8.1,32.213481,"['Adventure', 'Drama', 'Science Fiction']","{'+adventure+': 0.104, '+astronaut+': 0.139, '+conquer+': 0.146, '+courage+': 0.135, '+dystopia+': 0.107, '+expedition+': 0.138, '+explore+': 0.129, '+famine+': 0.169, '+farmer+': 0.133, '+farmhouse+': 0.16, '+gravity+': 0.171, '+group+': 0.089, '+human+': 0.1, '+imax+': 0.152, '+limit+': 0.141, '+nasa+': 0.151, '+newly+': 0.139, '+relative+': 0.141, '+rescue+': 0.104, '+robot+': 0.127, '+scientist+': 0.111, '+space+': 0.117, '+spaceship+': 0.137, '+travel+': 0.098, '+vast+': 0.151, '+voyage+': 0.148, '+wormhole+': 0.18, '2010_till_now': 0.045, 'actorannehathaway': 0.155, 'actorjessicachastain': 0.161, 'actormatthewmcconaughey': 0.148, 'artificial+intelligence': 0.142, 'black+hole': 0.178, 'composerhanszimmer': 0.127, 'directorchristophernolan': 0.169, 'family+relationships': 0.136, 'father+daughter+relationship': 0.137, 'father+son+relationship': 0.116, 'genreadventure': 0.064, 'genredrama': 0.037, 'genresciencefiction': 0.07, 'producerchristophernolan': 0.175, 'produceremmathomas': 0.171, 'producerlyndaobst': 0.173, 'quantum+mechanics': 0.193, 'race+against+time': 0.161, 'runtime_above_110': 0.046, 'saving+the+world': 0.141, 'single+father': 0.154, 'single+parent': 0.155, 'space+station': 0.163, 'space+travel': 0.142}",0.9999999999999997
27205,Inception,2010.0,14075.0,8.1,29.108149,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']","{'2010_till_now': 0.055, 'composerhanszimmer': 0.154, 'directorchristophernolan': 0.204, 'genreadventure': 0.077, 'genresciencefiction': 0.085, 'producerchristophernolan': 0.212, 'produceremmathomas': 0.207, 'runtime_above_110': 0.056}",0.14235559213660956
568,Apollo 13,1995.0,1637.0,7.3,18.761467,['Drama'],"{'+astronaut+': 0.138, '+courage+': 0.135, '+imax+': 0.152, '+nasa+': 0.15, '+rescue+': 0.104, '+space+': 0.116, 'genredrama': 0.037, 'race+against+time': 0.161, 'runtime_above_110': 0.046}",0.13690774509006148
274870,Passengers,2016.0,4134.0,6.7,20.303632,"['Adventure', 'Drama', 'Romance', 'Science Fiction']","{'+gravity+': 0.18, '+robot+': 0.133, '+space+': 0.123, '+spaceship+': 0.144, '+travel+': 0.103, '2010_till_now': 0.048, 'genreadventure': 0.067, 'genredrama': 0.039, 'genresciencefiction': 0.074, 'runtime_above_110': 0.048, 'space+station': 0.171}",0.13488835105504252
49026,The Dark Knight Rises,2012.0,9263.0,7.6,20.58258,"['Action', 'Crime', 'Drama', 'Thriller']","{'+imax+': 0.153, '2010_till_now': 0.045, 'composerhanszimmer': 0.127, 'directorchristophernolan': 0.169, 'genredrama': 0.037, 'producerchristophernolan': 0.175, 'produceremmathomas': 0.171, 'runtime_above_110': 0.046}",0.13347660374970824
49521,Man of Steel,2013.0,6462.0,6.5,18.538834,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","{'2010_till_now': 0.054, 'composerhanszimmer': 0.151, 'genreadventure': 0.076, 'genresciencefiction': 0.083, 'producerchristophernolan': 0.208, 'produceremmathomas': 0.203, 'runtime_above_110': 0.055, 'saving+the+world': 0.168}",0.12951388112857826
286217,The Martian,2015.0,7442.0,7.6,25.62993,"['Drama', 'Adventure', 'Science Fiction']","{'+astronaut+': 0.151, '+nasa+': 0.164, '+space+': 0.127, '+spaceship+': 0.149, '2010_till_now': 0.049, 'actorjessicachastain': 0.176, 'genreadventure': 0.069, 'genredrama': 0.041, 'genresciencefiction': 0.076, 'runtime_above_110': 0.05}",0.12485760881662437
11660,Following,1998.0,363.0,7.2,5.283661,"['Crime', 'Drama', 'Thriller']","{'directorchristophernolan': 0.232, 'genredrama': 0.051, 'producerchristophernolan': 0.24, 'produceremmathomas': 0.234}",0.12316477729419599
62,2001: A Space Odyssey,1968.0,3075.0,7.9,22.494622,"['Science Fiction', 'Mystery', 'Adventure']","{'+astronaut+': 0.158, '+human+': 0.114, 'artificial+intelligence': 0.163, 'genreadventure': 0.073, 'genresciencefiction': 0.08, 'runtime_above_110': 0.053, 'space+station': 0.186, 'space+travel': 0.163}",0.12258672046164663
155,The Dark Knight,2008.0,12269.0,8.3,123.167259,"['Drama', 'Action', 'Crime', 'Thriller']","{'+imax+': 0.142, 'composerhanszimmer': 0.118, 'directorchristophernolan': 0.157, 'genredrama': 0.035, 'producerchristophernolan': 0.163, 'produceremmathomas': 0.159, 'runtime_above_110': 0.043}",0.12228725932153817
374720,Dunkirk,2017.0,2712.0,7.5,30.938854,"['Action', 'Drama', 'History', 'Thriller', 'War']","{'2010_till_now': 0.051, 'composerhanszimmer': 0.142, 'directorchristophernolan': 0.189, 'genredrama': 0.042, 'producerchristophernolan': 0.196, 'produceremmathomas': 0.191}",0.12096270706613012
