movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
16320,Serenity,2005.0,1287.0,7.4,11.919995,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","{'+action+': 1, '+area+': 1, '+battle+': 1, '+cannibal+': 1, '+crew+': 1, '+danger+': 1, '+destroy+': 1, '+dystopia+': 1, '+find+': 1, '+firefly+': 1, '+fugitive+': 1, '+girl+': 1, '+greatest+': 1, '+hide+': 1, '+military+': 1, '+operate+': 1, '+pack+': 1, '+peace+': 1, '+planet+': 1, '+relentless+': 1, '+renegade+': 1, '+roam+': 1, '+ship+': 1, '+space+': 1, '+spaceship+': 1, '+telepathy+': 1, '2000_to_2010': 1, 'actoralantudyk': 1, 'actorginatorres': 1, 'actornathanfillion': 1, 'based+on+tv+series': 1, 'bloodthirsty+creatures': 1, 'directorjosswhedon': 1, 'ex+soldier': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'martial+arts': 1, 'no_composer_available': 1, 'producerbarrymendel': 1, 'runtime_above_110': 1, 'throat+slitting': 1, 'totalitarian+regime': 1}",44.0
201,Star Trek: Nemesis,2002.0,488.0,6.1,11.367801,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","{'+crew+': 1, '+peace+': 1, '+planet+': 1, '+telepathy+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'runtime_above_110': 1}",10.0
76341,Mad Max: Fury Road,2015.0,9629.0,7.3,29.36178,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","{'+action+': 1, '+dystopia+': 1, '+peace+': 1, '+planet+': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",10.0
168,Star Trek IV: The Voyage Home,1986.0,490.0,6.9,12.596956,"['Science Fiction', 'Adventure']","{'+action+': 1, '+crew+': 1, '+destroy+': 1, '+find+': 1, '+fugitive+': 1, '+planet+': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",9.0
193,Star Trek: Generations,1994.0,461.0,6.4,8.105708,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","{'+crew+': 1, '+find+': 1, '+planet+': 1, 'based+on+tv+series': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'runtime_above_110': 1}",9.0
348,Alien,1979.0,4564.0,7.9,23.37742,"['Horror', 'Action', 'Thriller', 'Science Fiction']","{'+crew+': 1, '+dystopia+': 1, '+planet+': 1, '+space+': 1, '+spaceship+': 1, 'genreaction': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'runtime_above_110': 1}",9.0
602,Independence Day,1996.0,3334.0,6.7,17.634197,"['Action', 'Adventure', 'Science Fiction']","{'+battle+': 1, '+destroy+': 1, '+planet+': 1, '+space+': 1, '+spaceship+': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",9.0
604,The Matrix Reloaded,2003.0,3500.0,6.7,16.229317,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+dystopia+': 1, '+find+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'martial+arts': 1, 'runtime_above_110': 1}",9.0
869,Planet of the Apes,2001.0,1270.0,5.6,17.319836,"['Thriller', 'Science Fiction', 'Action', 'Adventure']","{'+dystopia+': 1, '+find+': 1, '+planet+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'runtime_above_110': 1}",9.0
1724,The Incredible Hulk,2008.0,3086.0,6.1,19.125537,"['Science Fiction', 'Action', 'Adventure']","{'+find+': 1, '+fugitive+': 1, '+military+': 1, '+planet+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",9.0
11260,Meet Dave,2008.0,381.0,5.1,11.542926,"['Comedy', 'Science Fiction', 'Adventure', 'Family']","{'+crew+': 1, '+operate+': 1, '+planet+': 1, '+ship+': 1, '+space+': 1, '+spaceship+': 1, '2000_to_2010': 1, 'genreadventure': 1, 'genresciencefiction': 1}",9.0
