movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
16320,Serenity,2005.0,1287.0,7.4,11.919995,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","{'+action+': 2.051, '+area+': 2.051, '+battle+': 2.051, '+cannibal+': 2.051, '+crew+': 2.051, '+danger+': 2.051, '+destroy+': 2.051, '+dystopia+': 2.051, '+find+': 2.051, '+firefly+': 2.051, '+fugitive+': 2.051, '+girl+': 2.051, '+greatest+': 2.051, '+hide+': 2.051, '+military+': 2.051, '+operate+': 2.051, '+pack+': 2.051, '+peace+': 2.051, '+planet+': 2.051, '+relentless+': 2.051, '+renegade+': 2.051, '+roam+': 2.051, '+ship+': 2.051, '+space+': 2.051, '+spaceship+': 2.051, '+telepathy+': 2.051, '2000_to_2010': 2.0, 'actorAlanTudyk': 1.986, 'actorGinaTorres': 1.986, 'actorNathanFillion': 1.986, 'based+on+tv+series': 2.051, 'bloodthirsty+creatures': 2.051, 'directorJossWhedon': 2.19, 'ex+soldier': 2.051, 'genreAction': 1.249, 'genreAdventure': 1.249, 'genreScienceFiction': 1.249, 'genreThriller': 1.249, 'martial+arts': 2.051, 'no_composer_available': 1.072, 'producerBarryMendel': 1.854, 'runtime_above_110': 1.0, 'throat+slitting': 2.051, 'totalitarian+regime': 2.051}",0.9999999999999999
11260,Meet Dave,2008.0,381.0,5.1,11.542926,"['Comedy', 'Science Fiction', 'Adventure', 'Family']","{'+crew+': 2.984, '+operate+': 2.984, '+planet+': 2.984, '+ship+': 2.984, '+space+': 2.984, '+spaceship+': 2.984, '2000_to_2010': 2.0, 'genreAdventure': 1.249, 'genreScienceFiction': 1.249}",0.22536134211148237
193,Star Trek: Generations,1994.0,461.0,6.4,8.105708,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","{'+crew+': 4.376, '+find+': 4.376, '+planet+': 4.376, 'based+on+tv+series': 4.376, 'genreAction': 1.249, 'genreAdventure': 1.249, 'genreScienceFiction': 1.249, 'genreThriller': 1.249, 'runtime_above_110': 1.0}",0.18702328301469368
25377,Paintball,2009.0,32.0,3.7,3.861409,"['Thriller', 'Action']","{'+battle+': 1.727, '+danger+': 1.727, '+find+': 1.727, '+greatest+': 1.727, '+relentless+': 1.727, '2000_to_2010': 2.0, 'genreAction': 2.497, 'genreThriller': 2.497, 'no_composer_available': 1.072}",0.18465055295358057
286217,The Martian,2015.0,7442.0,7.6,25.62993,"['Drama', 'Adventure', 'Science Fiction']","{'+battle+': 2.117, '+crew+': 2.117, '+find+': 2.117, '+planet+': 2.117, '+space+': 2.117, '+spaceship+': 2.117, 'genreAdventure': 1.665, 'genreScienceFiction': 1.665, 'runtime_above_110': 1.0}",0.18421891989592157
14853,Screamers: The Hunting,2009.0,35.0,4.4,4.92638,"['Action', 'Horror', 'Science Fiction']","{'+battle+': 3.647, '+find+': 3.647, '+military+': 3.647, '+planet+': 3.647, '2000_to_2010': 2.0, 'genreAction': 1.665, 'genreScienceFiction': 1.665, 'no_composer_available': 1.072}",0.18393561682193874
168,Star Trek IV: The Voyage Home,1986.0,490.0,6.9,12.596956,"['Science Fiction', 'Adventure']","{'+action+': 1.774, '+crew+': 1.774, '+destroy+': 1.774, '+find+': 1.774, '+fugitive+': 1.774, '+planet+': 1.774, 'genreAdventure': 2.497, 'genreScienceFiction': 2.497, 'runtime_above_110': 1.0}",0.18041838863580997
13253,Futurama: Bender's Game,2008.0,152.0,6.9,5.829662,"['Animation', 'Comedy', 'Science Fiction']","{'+crew+': 2.626, '+find+': 2.626, '+planet+': 2.626, '+ship+': 2.626, '+space+': 2.626, '2000_to_2010': 2.0, 'genreScienceFiction': 1.665}",0.17827316730508677
10384,Supernova,2000.0,109.0,4.9,5.496624,"['Horror', 'Science Fiction', 'Thriller']","{'+crew+': 2.854, '+destroy+': 2.854, '+find+': 2.854, '+ship+': 2.854, '2000_to_2010': 2.0, 'genreScienceFiction': 1.665, 'genreThriller': 1.665, 'no_composer_available': 1.072}",0.17141193988472717
1724,The Incredible Hulk,2008.0,3086.0,6.1,19.125537,"['Science Fiction', 'Action', 'Adventure']","{'+find+': 2.263, '+fugitive+': 2.263, '+military+': 2.263, '+planet+': 2.263, '2000_to_2010': 2.0, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreScienceFiction': 1.665, 'runtime_above_110': 1.0}",0.17078334497459519
157350,Divergent,2014.0,4784.0,6.9,21.572585,"['Adventure', 'Action', 'Science Fiction']","{'+danger+': 2.984, '+destroy+': 2.984, '+dystopia+': 2.984, '+find+': 2.984, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreScienceFiction': 1.665, 'no_composer_available': 1.072, 'runtime_above_110': 1.0}",0.1681751345558538
