movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
16320,Serenity,2005.0,1287.0,7.4,11.919995,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","{'+action+': 0.122, '+area+': 0.155, '+battle+': 0.115, '+cannibal+': 0.162, '+crew+': 0.128, '+danger+': 0.115, '+destroy+': 0.12, '+dystopia+': 0.122, '+find+': 0.074, '+firefly+': 0.215, '+fugitive+': 0.158, '+girl+': 0.1, '+greatest+': 0.147, '+hide+': 0.135, '+military+': 0.13, '+operate+': 0.155, '+pack+': 0.151, '+peace+': 0.142, '+planet+': 0.131, '+relentless+': 0.168, '+renegade+': 0.178, '+roam+': 0.188, '+ship+': 0.132, '+space+': 0.134, '+spaceship+': 0.156, '+telepathy+': 0.186, '2000_to_2010': 0.055, 'actoralantudyk': 0.215, 'actorginatorres': 0.227, 'actornathanfillion': 0.198, 'based+on+tv+series': 0.159, 'bloodthirsty+creatures': 0.215, 'directorjosswhedon': 0.21, 'ex+soldier': 0.195, 'genreaction': 0.061, 'genreadventure': 0.073, 'genresciencefiction': 0.08, 'genrethriller': 0.057, 'martial+arts': 0.132, 'no_composer_available': 0.045, 'producerbarrymendel': 0.183, 'runtime_above_110': 0.053, 'throat+slitting': 0.198, 'totalitarian+regime': 0.198}",1.0
11260,Meet Dave,2008.0,381.0,5.1,11.542926,"['Comedy', 'Science Fiction', 'Adventure', 'Family']","{'+crew+': 0.136, '+operate+': 0.165, '+planet+': 0.139, '+ship+': 0.14, '+space+': 0.142, '+spaceship+': 0.166, '2000_to_2010': 0.058, 'genreadventure': 0.078, 'genresciencefiction': 0.085}",0.14025703087746128
91739,Much Ado About Nothing,2012.0,117.0,7.1,5.455903,['Comedy'],"{'actornathanfillion': 0.313, 'directorjosswhedon': 0.333, 'no_composer_available': 0.071}",0.13482866019871584
14301,Dr. Horrible's Sing-Along Blog,2008.0,236.0,7.8,8.927994,"['Adventure', 'Action', 'Comedy', 'Science Fiction', 'Music']","{'2000_to_2010': 0.058, 'actornathanfillion': 0.208, 'directorjosswhedon': 0.221, 'genreaction': 0.064, 'genreadventure': 0.077, 'genresciencefiction': 0.084, 'no_composer_available': 0.047}",0.10920426313221038
286217,The Martian,2015.0,7442.0,7.6,25.62993,"['Drama', 'Adventure', 'Science Fiction']","{'+battle+': 0.109, '+crew+': 0.121, '+find+': 0.07, '+planet+': 0.124, '+space+': 0.127, '+spaceship+': 0.149, 'genreadventure': 0.069, 'genresciencefiction': 0.076, 'runtime_above_110': 0.05}",0.10343904891301899
201,Star Trek: Nemesis,2002.0,488.0,6.1,11.367801,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","{'+crew+': 0.115, '+peace+': 0.128, '+planet+': 0.117, '+telepathy+': 0.167, '2000_to_2010': 0.049, 'genreaction': 0.055, 'genreadventure': 0.065, 'genresciencefiction': 0.072, 'genrethriller': 0.051, 'runtime_above_110': 0.047}",0.10123078693610695
193,Star Trek: Generations,1994.0,461.0,6.4,8.105708,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","{'+crew+': 0.144, '+find+': 0.083, '+planet+': 0.147, 'based+on+tv+series': 0.179, 'genreaction': 0.069, 'genreadventure': 0.082, 'genresciencefiction': 0.09, 'genrethriller': 0.064, 'runtime_above_110': 0.059}",0.0963543183264232
99861,Avengers: Age of Ultron,2015.0,6908.0,7.3,37.37942,"['Action', 'Adventure', 'Science Fiction']","{'+action+': 0.122, '+planet+': 0.13, 'directorjosswhedon': 0.21, 'genreaction': 0.061, 'genreadventure': 0.073, 'genresciencefiction': 0.08, 'runtime_above_110': 0.052}",0.09407936622541094
19898,Pandorum,2009.0,783.0,6.5,10.391425,"['Action', 'Horror', 'Mystery', 'Science Fiction', 'Thriller']","{'+crew+': 0.161, '+dystopia+': 0.154, '+spaceship+': 0.197, '2000_to_2010': 0.069, 'genreaction': 0.077, 'genresciencefiction': 0.101, 'genrethriller': 0.071, 'no_composer_available': 0.056}",0.09330838851143755
602,Independence Day,1996.0,3334.0,6.7,17.634197,"['Action', 'Adventure', 'Science Fiction']","{'+battle+': 0.102, '+destroy+': 0.106, '+planet+': 0.116, '+space+': 0.118, '+spaceship+': 0.138, 'genreaction': 0.054, 'genreadventure': 0.065, 'genresciencefiction': 0.071, 'runtime_above_110': 0.047}",0.09313247654547105
25377,Paintball,2009.0,32.0,3.7,3.861409,"['Thriller', 'Action']","{'+battle+': 0.113, '+danger+': 0.113, '+find+': 0.073, '+greatest+': 0.145, '+relentless+': 0.165, '2000_to_2010': 0.054, 'genreaction': 0.06, 'genrethriller': 0.056, 'no_composer_available': 0.044}",0.09211936795171755
