movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
1669,The Hunt for Red October,1990.0,971.0,7.2,15.91126,"['Action', 'Adventure', 'Thriller']","{'+attention+': 1, '+cat+': 1, '+cia+': 1, '+command+': 1, '+convince+': 1, '+defect+': 1, '+determine+': 1, '+disappear+': 1, '+ensues+': 1, '+face+': 1, '+focuses+': 1, '+game+': 1, '+head+': 1, '+intelligent+': 1, '+intend+': 1, '+mind+': 1, '+missile+': 1, '+mouse+': 1, '+navy+': 1, '+nuclear+': 1, '+peril+': 1, '+psychoanalyst+': 1, '+russian+': 1, '+silent+': 1, '+soviet+': 1, '+strike+': 1, '+submarine+': 1, '+tense+': 1, '+track+': 1, '1990_to_2000': 1, 'actoralecbaldwin': 1, 'actorscottglenn': 1, 'actorseanconnery': 1, 'cold+war': 1, 'composerbasilpoledouris': 1, 'directorjohnmctiernan': 1, 'genreaction': 1, 'genreadventure': 1, 'genrethriller': 1, 'jack+ryan': 1, 'maiden+voyage': 1, 'producermaceneufeld': 1, 'runtime_above_110': 1, 'screenplaydonaldstewart': 1, 'screenplaylarryferguson': 1}",45.0
4614,The Sum of All Fears,2002.0,447.0,5.9,9.268136,"['Thriller', 'Action', 'Drama']","{'+cia+': 1, '+nuclear+': 1, '+psychoanalyst+': 1, '+russian+': 1, 'cold+war': 1, 'genreaction': 1, 'genrethriller': 1, 'jack+ryan': 1, 'producermaceneufeld': 1, 'runtime_above_110': 1}",10.0
714,Tomorrow Never Dies,1997.0,941.0,6.0,17.159576,"['Adventure', 'Action', 'Thriller']","{'+intelligent+': 1, '+missile+': 1, '+navy+': 1, '1990_to_2000': 1, 'genreaction': 1, 'genreadventure': 1, 'genrethriller': 1, 'runtime_above_110': 1}",8.0
9331,Clear and Present Danger,1994.0,390.0,6.4,7.513244999999999,"['Action', 'Drama', 'Thriller']","{'+cia+': 1, '1990_to_2000': 1, 'genreaction': 1, 'genrethriller': 1, 'jack+ryan': 1, 'producermaceneufeld': 1, 'runtime_above_110': 1, 'screenplaydonaldstewart': 1}",8.0
137094,Jack Ryan: Shadow Recruit,2014.0,1194.0,5.9,11.234862,"['Action', 'Drama', 'Thriller']","{'+cia+': 1, '+intelligent+': 1, '+psychoanalyst+': 1, '+russian+': 1, 'genreaction': 1, 'genrethriller': 1, 'jack+ryan': 1, 'producermaceneufeld': 1}",8.0
6,Judgment Night,1993.0,79.0,6.4,5.538671,"['Action', 'Thriller', 'Crime']","{'+cat+': 1, '+game+': 1, '+mouse+': 1, '1990_to_2000': 1, 'genreaction': 1, 'genrethriller': 1, 'runtime_above_110': 1}",7.0
563,Starship Troopers,1997.0,1584.0,6.7,14.412644,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+intelligent+': 1, '1990_to_2000': 1, 'composerbasilpoledouris': 1, 'genreaction': 1, 'genreadventure': 1, 'genrethriller': 1, 'runtime_above_110': 1}",7.0
667,You Only Live Twice,1967.0,541.0,6.5,10.359669,"['Action', 'Thriller', 'Adventure']","{'+missile+': 1, '+russian+': 1, 'actorseanconnery': 1, 'genreaction': 1, 'genreadventure': 1, 'genrethriller': 1, 'runtime_above_110': 1}",7.0
691,The Spy Who Loved Me,1977.0,515.0,6.6,9.781451,"['Adventure', 'Action', 'Thriller']","{'+disappear+': 1, '+russian+': 1, '+submarine+': 1, 'genreaction': 1, 'genreadventure': 1, 'genrethriller': 1, 'runtime_above_110': 1}",7.0
929,Godzilla,1998.0,1075.0,5.3,11.295121,"['Science Fiction', 'Action', 'Thriller']","{'+ensues+': 1, '+intelligent+': 1, '+missile+': 1, '1990_to_2000': 1, 'genreaction': 1, 'genrethriller': 1, 'runtime_above_110': 1}",7.0
954,Mission: Impossible,1996.0,2677.0,6.7,15.793477,"['Adventure', 'Action', 'Thriller']","{'+cia+': 1, '+peril+': 1, '1990_to_2000': 1, 'genreaction': 1, 'genreadventure': 1, 'genrethriller': 1, 'runtime_above_110': 1}",7.0
