movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
1669,The Hunt for Red October,1990.0,971.0,7.2,15.91126,"['Action', 'Adventure', 'Thriller']","{'+attention+': 2.051, '+cat+': 2.051, '+cia+': 2.051, '+command+': 2.051, '+convince+': 2.051, '+defect+': 2.051, '+determine+': 2.051, '+disappear+': 2.051, '+ensues+': 2.051, '+face+': 2.051, '+focuses+': 2.051, '+game+': 2.051, '+head+': 2.051, '+intelligent+': 2.051, '+intend+': 2.051, '+mind+': 2.051, '+missile+': 2.051, '+mouse+': 2.051, '+navy+': 2.051, '+nuclear+': 2.051, '+peril+': 2.051, '+psychoanalyst+': 2.051, '+russian+': 2.051, '+silent+': 2.051, '+soviet+': 2.051, '+strike+': 2.051, '+submarine+': 2.051, '+tense+': 2.051, '+track+': 2.051, '1990_to_2000': 2.0, 'actorAlecBaldwin': 1.986, 'actorScottGlenn': 1.986, 'actorSeanConnery': 1.986, 'cold+war': 2.051, 'composerBasilPoledouris': 1.072, 'directorJohnMcTiernan': 2.19, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreThriller': 1.665, 'jack+ryan': 2.051, 'maiden+voyage': 2.051, 'producerMaceNeufeld': 1.854, 'runtime_above_110': 1.0, 'screenplayDonaldStewart': 0.477, 'screenplayLarryFerguson': 0.477}",1.0000000000000007
4614,The Sum of All Fears,2002.0,447.0,5.9,9.268136,"['Thriller', 'Action', 'Drama']","{'+cia+': 2.188, '+nuclear+': 2.188, '+psychoanalyst+': 2.188, '+russian+': 2.188, 'cold+war': 2.188, 'genreAction': 1.665, 'genreThriller': 1.665, 'jack+ryan': 2.188, 'producerMaceNeufeld': 1.854, 'runtime_above_110': 1.0}",0.21213743105749025
159932,A Single Shot,2013.0,92.0,5.7,12.90146,"['Drama', 'Crime', 'Thriller']","{'+cat+': 5.47, '+game+': 5.47, '+mouse+': 5.47, '+tense+': 5.47, 'genreThriller': 1.665, 'runtime_above_110': 1.0}",0.1886951247872218
137094,Jack Ryan: Shadow Recruit,2014.0,1194.0,5.9,11.234862,"['Action', 'Drama', 'Thriller']","{'+cia+': 2.984, '+intelligent+': 2.984, '+psychoanalyst+': 2.984, '+russian+': 2.984, 'genreAction': 1.665, 'genreThriller': 1.665, 'jack+ryan': 2.984, 'producerMaceNeufeld': 0.309}",0.1867124697242534
8845,Under Siege,1992.0,405.0,6.1,9.918269,"['Action', 'Thriller']","{'+cia+': 3.282, '+mind+': 3.282, '+nuclear+': 3.282, '1990_to_2000': 2.0, 'genreAction': 2.497, 'genreThriller': 2.497}",0.15701273678496674
2636,The Specialist,1994.0,317.0,5.5,10.388183,"['Action', 'Thriller']","{'+cat+': 2.735, '+ensues+': 2.735, '+mouse+': 2.735, '1990_to_2000': 2.0, 'genreAction': 2.497, 'genreThriller': 2.497, 'runtime_above_110': 1.0}",0.15635330427414706
714,Tomorrow Never Dies,1997.0,941.0,6.0,17.159576,"['Adventure', 'Action', 'Thriller']","{'+intelligent+': 2.344, '+missile+': 2.344, '+navy+': 2.344, '1990_to_2000': 2.0, 'genreAction': 1.665, 'genreAdventure': 1.665, 'genreThriller': 1.665, 'runtime_above_110': 1.0}",0.155501117632663
17657,Ice Station Zebra,1968.0,51.0,6.2,4.0303900000000015,"['Action', 'Drama']","{'+command+': 3.282, '+silent+': 3.282, '+submarine+': 3.282, 'cold+war': 3.282, 'genreAction': 2.497, 'runtime_above_110': 1.0}",0.15545581834919334
9080,Spies Like Us,1985.0,180.0,5.9,6.310054,"['Comedy', 'Adventure']","{'+cia+': 5.967, '+missile+': 5.967, 'cold+war': 5.967, 'genreAdventure': 2.497}",0.1515406188302809
9772,Air Force One,1997.0,859.0,6.2,12.173291,"['Action', 'Thriller']","{'+command+': 1.727, '+face+': 1.727, '+russian+': 1.727, '1990_to_2000': 2.0, 'genreAction': 2.497, 'genreThriller': 2.497, 'runtime_above_110': 1.0}",0.15035734075160978
152259,Phantom,2013.0,120.0,5.5,6.651567,['Thriller'],"{'+soviet+': 4.103, '+submarine+': 4.103, 'cold+war': 4.103, 'genreThriller': 4.994}",0.1444594513756936
