movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
1669,The Hunt for Red October,1990.0,971.0,7.2,15.91126,"['Action', 'Adventure', 'Thriller']","{'+attention+': 0.147, '+cat+': 0.128, '+cia+': 0.133, '+command+': 0.136, '+convince+': 0.131, '+defect+': 0.19, '+determine+': 0.12, '+disappear+': 0.121, '+ensues+': 0.156, '+face+': 0.101, '+focuses+': 0.157, '+game+': 0.117, '+head+': 0.11, '+intelligent+': 0.145, '+intend+': 0.153, '+mind+': 0.128, '+missile+': 0.169, '+mouse+': 0.147, '+navy+': 0.158, '+nuclear+': 0.152, '+peril+': 0.161, '+psychoanalyst+': 0.177, '+russian+': 0.135, '+silent+': 0.165, '+soviet+': 0.158, '+strike+': 0.14, '+submarine+': 0.161, '+tense+': 0.168, '+track+': 0.123, '1990_to_2000': 0.067, 'actoralecbaldwin': 0.161, 'actorscottglenn': 0.188, 'actorseanconnery': 0.157, 'cold+war': 0.152, 'composerbasilpoledouris': 0.165, 'directorjohnmctiernan': 0.183, 'genreaction': 0.058, 'genreadventure': 0.069, 'genrethriller': 0.054, 'jack+ryan': 0.2, 'maiden+voyage': 0.204, 'producermaceneufeld': 0.18, 'runtime_above_110': 0.05, 'screenplaydonaldstewart': 0.209, 'screenplaylarryferguson': 0.193}",1.0
4614,The Sum of All Fears,2002.0,447.0,5.9,9.268136,"['Thriller', 'Action', 'Drama']","{'+cia+': 0.134, '+nuclear+': 0.152, '+psychoanalyst+': 0.178, '+russian+': 0.136, 'cold+war': 0.152, 'genreaction': 0.058, 'genrethriller': 0.054, 'jack+ryan': 0.201, 'producermaceneufeld': 0.181, 'runtime_above_110': 0.05}",0.19487584673178301
9869,Patriot Games,1992.0,440.0,6.4,11.075674,"['Drama', 'Action', 'Thriller', 'Crime']","{'1990_to_2000': 0.098, 'genreaction': 0.085, 'genrethriller': 0.078, 'jack+ryan': 0.291, 'producermaceneufeld': 0.262, 'runtime_above_110': 0.073, 'screenplaydonaldstewart': 0.304}",0.1880413095198613
137094,Jack Ryan: Shadow Recruit,2014.0,1194.0,5.9,11.234862,"['Action', 'Drama', 'Thriller']","{'+cia+': 0.136, '+intelligent+': 0.147, '+psychoanalyst+': 0.18, '+russian+': 0.137, 'genreaction': 0.059, 'genrethriller': 0.055, 'jack+ryan': 0.203, 'producermaceneufeld': 0.183}",0.16964266294468386
9331,Clear and Present Danger,1994.0,390.0,6.4,7.513244999999999,"['Action', 'Drama', 'Thriller']","{'+cia+': 0.13, '1990_to_2000': 0.066, 'genreaction': 0.057, 'genrethriller': 0.053, 'jack+ryan': 0.195, 'producermaceneufeld': 0.176, 'runtime_above_110': 0.049, 'screenplaydonaldstewart': 0.204}",0.14362629707887453
17657,Ice Station Zebra,1968.0,51.0,6.2,4.0303900000000015,"['Action', 'Drama']","{'+command+': 0.164, '+silent+': 0.199, '+submarine+': 0.194, 'cold+war': 0.183, 'genreaction': 0.07, 'runtime_above_110': 0.06}",0.12141419950687954
8665,K-19: The Widowmaker,2002.0,273.0,6.1,7.718723,"['Drama', 'History', 'Thriller']","{'+nuclear+': 0.188, '+submarine+': 0.2, 'genrethriller': 0.067, 'maiden+voyage': 0.253, 'runtime_above_110': 0.062}",0.11878022711814314
11851,The Presidio,1988.0,80.0,5.7,3.768935,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']","{'+command+': 0.159, 'actorseanconnery': 0.184, 'genreaction': 0.068, 'genreadventure': 0.081, 'genrethriller': 0.063, 'screenplaylarryferguson': 0.225}",0.10681874960713364
159932,A Single Shot,2013.0,92.0,5.7,12.90146,"['Drama', 'Crime', 'Thriller']","{'+cat+': 0.158, '+game+': 0.145, '+mouse+': 0.182, '+tense+': 0.208, 'genrethriller': 0.066, 'runtime_above_110': 0.062}",0.1055205515903154
152259,Phantom,2013.0,120.0,5.5,6.651567,['Thriller'],"{'+soviet+': 0.213, '+submarine+': 0.217, 'cold+war': 0.204, 'genrethriller': 0.072}",0.10364472066681765
296098,Bridge of Spies,2015.0,2633.0,7.2,13.707888,"['Thriller', 'Drama']","{'+cia+': 0.146, '+russian+': 0.148, '+soviet+': 0.174, 'cold+war': 0.166, 'genrethriller': 0.059, 'runtime_above_110': 0.055}",0.09804545657507846
