movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
17295,The Battle of Algiers,1966.0,167.0,7.8,11.322173,"['Drama', 'War', 'History']","{'+1957+': 1, '+algerian+': 1, '+bomb+': 1, '+capture+': 1, '+extreme+': 1, '+eye+': 1, '+freedom+': 1, '+french+': 1, '+gain+': 1, '+governed+': 1, '+increasingly+': 1, '+independent+': 1, '+insurrection+': 1, '+military+': 1, '+muslim+': 1, '+organise+': 1, '+rebel+': 1, '+resist+': 1, '+revolt+': 1, '+revolution+': 1, '+rise+': 1, '+rule+': 1, '+start+': 1, '+struggle+': 1, '+torture+': 1, '+trace+': 1, '1955_to_1976': 1, 'actorbrahimhadjadj': 1, 'actorjeanmartin': 1, 'actoryacefsaadi': 1, 'composerenniomorricone': 1, 'composergillopontecorvo': 1, 'directorgillopontecorvo': 1, 'genredrama': 1, 'genrehistory': 1, 'genrewar': 1, 'petty+thief': 1, 'producerantoniomusu': 1, 'produceryacefsaadi': 1, 'runtime_above_110': 1, 'united+nations': 1}",1.0000000000000004
42617,Burn!,1969.0,21.0,6.5,7.354711,"['Action', 'Drama']","{'+rebel+': 1, '+revolt+': 1, '+revolution+': 1, '1955_to_1976': 1, 'composerenniomorricone': 1, 'directorgillopontecorvo': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.202677836775256
31010,Uprising,2001.0,18.0,6.3,7.957418,"['TV Movie', 'Drama', 'History', 'War']","{'+rise+': 1, 'genredrama': 1, 'genrehistory': 1, 'genrewar': 1, 'runtime_above_110': 1}",0.1952172023607576
197,Braveheart,1995.0,3404.0,7.7,20.755149,"['Action', 'Drama', 'History', 'War']","{'+independent+': 1, '+revolt+': 1, '+rise+': 1, '+rule+': 1, 'genredrama': 1, 'genrehistory': 1, 'genrewar': 1, 'runtime_above_110': 1}",0.19053020329181639
5336,"Salò, or the 120 Days of Sodom",1975.0,332.0,6.4,7.705478999999999,"['History', 'War', 'Drama', 'Horror']","{'+torture+': 1, '1955_to_1976': 1, 'composerenniomorricone': 1, 'genredrama': 1, 'genrehistory': 1, 'genrewar': 1, 'runtime_above_110': 1}",0.19030453673946296
13524,Battle of the Bulge,1965.0,56.0,6.4,4.612568,"['Drama', 'History', 'War']","{'+capture+': 1, '+french+': 1, '1955_to_1976': 1, 'genredrama': 1, 'genrehistory': 1, 'genrewar': 1, 'runtime_above_110': 1}",0.18220272220337375
9664,Flyboys,2006.0,274.0,6.3,5.460942,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']","{'+french+': 1, '+military+': 1, 'genredrama': 1, 'genrehistory': 1, 'genrewar': 1, 'runtime_above_110': 1}",0.1803339269334865
2016,Days of Glory,2006.0,96.0,6.7,10.021547,"['Drama', 'History', 'War']","{'+algerian+': 1, '+french+': 1, 'genredrama': 1, 'genrehistory': 1, 'genrewar': 1, 'runtime_above_110': 1}",0.17708440083028656
16850,The Heroes of Telemark,1965.0,29.0,5.9,6.178358,"['War', 'Action', 'Drama', 'History']","{'+resist+': 1, '1955_to_1976': 1, 'genredrama': 1, 'genrehistory': 1, 'genrewar': 1, 'runtime_above_110': 1}",0.1710797845536603
13507,Intimate Enemies,2007.0,14.0,7.1,5.526637,"['Drama', 'War', 'History']","{'+french+': 1, '+independent+': 1, 'genredrama': 1, 'genrehistory': 1, 'genrewar': 1}",0.17039954414774927
9040,Serpico,1973.0,429.0,7.5,12.842165,"['Crime', 'Drama', 'History']","{'+struggle+': 1, '1955_to_1976': 1, 'genredrama': 1, 'genrehistory': 1, 'runtime_above_110': 1}",0.16648178955300671
