movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
17295,The Battle of Algiers,1966.0,167.0,7.8,11.322173,"['Drama', 'War', 'History']","{'+1957+': 0.178, '+algerian+': 0.185, '+bomb+': 0.127, '+capture+': 0.122, '+extreme+': 0.154, '+eye+': 0.117, '+freedom+': 0.132, '+french+': 0.122, '+gain+': 0.137, '+governed+': 0.129, '+increasingly+': 0.142, '+independent+': 0.151, '+insurrection+': 0.203, '+military+': 0.12, '+muslim+': 0.16, '+organise+': 0.198, '+rebel+': 0.137, '+resist+': 0.132, '+revolt+': 0.166, '+revolution+': 0.144, '+rise+': 0.126, '+rule+': 0.124, '+start+': 0.1, '+struggle+': 0.114, '+torture+': 0.125, '+trace+': 0.168, '1955_to_1976': 0.08, 'actorbrahimhadjadj': 0.219, 'actorjeanmartin': 0.21, 'actoryacefsaadi': 0.219, 'composerenniomorricone': 0.145, 'composergillopontecorvo': 0.219, 'directorgillopontecorvo': 0.21, 'genredrama': 0.04, 'genrehistory': 0.096, 'genrewar': 0.101, 'petty+thief': 0.203, 'producerantoniomusu': 0.219, 'produceryacefsaadi': 0.219, 'runtime_above_110': 0.049, 'united+nations': 0.177}",0.9999999999999997
42617,Burn!,1969.0,21.0,6.5,7.354711,"['Action', 'Drama']","{'+rebel+': 0.144, '+revolt+': 0.175, '+revolution+': 0.152, '1955_to_1976': 0.085, 'composerenniomorricone': 0.153, 'directorgillopontecorvo': 0.221, 'genredrama': 0.042, 'runtime_above_110': 0.051}",0.1503562711298745
197,Braveheart,1995.0,3404.0,7.7,20.755149,"['Action', 'Drama', 'History', 'War']","{'+independent+': 0.156, '+revolt+': 0.171, '+rise+': 0.131, '+rule+': 0.128, 'genredrama': 0.041, 'genrehistory': 0.099, 'genrewar': 0.104, 'runtime_above_110': 0.05}",0.10836776572973651
334517,The Siege of Jadotville,2016.0,165.0,7.3,6.042021,"['War', 'Drama', 'Thriller']","{'+french+': 0.205, 'genredrama': 0.067, 'genrewar': 0.17, 'united+nations': 0.297}",0.09717608101503962
1688,Conquest of the Planet of the Apes,1972.0,243.0,6.1,12.843375,"['Action', 'Science Fiction']","{'+insurrection+': 0.244, '+revolt+': 0.198, '1955_to_1976': 0.096}",0.09012551022549928
2016,Days of Glory,2006.0,96.0,6.7,10.021547,"['Drama', 'History', 'War']","{'+algerian+': 0.23, '+french+': 0.152, 'genredrama': 0.049, 'genrehistory': 0.119, 'genrewar': 0.126, 'runtime_above_110': 0.061}",0.09006189709005263
9474,My Name Is Nobody,1973.0,227.0,7.1,6.022453,"['Comedy', 'Western']","{'1955_to_1976': 0.095, 'actorjeanmartin': 0.248, 'composerenniomorricone': 0.171, 'runtime_above_110': 0.057}",0.08732895274496727
362045,Bajirao Mastani,2015.0,71.0,7.2,4.683689,"['War', 'History', 'Romance']","{'+muslim+': 0.28, 'genrehistory': 0.168, 'genrewar': 0.177, 'runtime_above_110': 0.085}",0.08295104941073594
783,Gandhi,1982.0,730.0,7.4,12.383755,"['Drama', 'History']","{'+freedom+': 0.113, '+independent+': 0.128, '+muslim+': 0.136, '+resist+': 0.113, 'genredrama': 0.034, 'genrehistory': 0.082, 'runtime_above_110': 0.041}",0.08206152594280867
13507,Intimate Enemies,2007.0,14.0,7.1,5.526637,"['Drama', 'War', 'History']","{'+french+': 0.171, '+independent+': 0.211, 'genredrama': 0.055, 'genrehistory': 0.134, 'genrewar': 0.141}",0.0818810016512184
11561,Sleeper,1973.0,206.0,7.0,6.048904,"['Comedy', 'Romance', 'Science Fiction']","{'+governed+': 0.164, '+rebel+': 0.174, '+revolution+': 0.184, '1955_to_1976': 0.102}",0.07950972171168406
