movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
1949,Zodiac,2007.0,2080.0,7.3,19.083823,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'+built+': 1, '+california+': 1, '+career+': 1, '+case+': 1, '+clue+': 1, '+code+': 1, '+destroy+': 1, '+embassy+': 1, '+investigate+': 1, '+journalist+': 1, '+kill+': 1, '+killer+': 1, '+letter+': 1, '+live+': 1, '+men+': 1, '+murder+': 1, '+newspaper+': 1, '+obsess+': 1, '+police+': 1, '+report+': 1, '+terrified+': 1, '+trail+': 1, '+victim+': 1, '2000_to_2010': 1, 'actorjakegyllenhaal': 1, 'actormarkruffalo': 1, 'actorrobertdowneyjr': 1, 'composerdavidshire': 1, 'directordavidfincher': 1, 'genrecrime': 1, 'genredrama': 1, 'genremystery': 1, 'genrethriller': 1, 'mass+murder': 1, 'planned+murder': 1, 'producerarnoldmesser': 1, 'producerbradfischer': 1, 'producerceanchaffin': 1, 'producerjamesvanderbilt': 1, 'producermikemedavoy': 1, 'runtime_above_110': 1, 'san+francisco': 1, 'screenplayjamesvanderbilt': 1, 'serial+killer': 1, 'threat+to+death': 1, 'true+story': 1, 'victim+of+murder': 1}",1.0000000000000004
9573,Blood Work,2002.0,210.0,6.1,5.852263,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'+investigate+': 1, '+police+': 1, '2000_to_2010': 1, 'genrecrime': 1, 'genredrama': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",0.2679711003789362
25137,Beyond a Reasonable Doubt,2009.0,79.0,5.5,5.1991,"['Crime', 'Drama', 'Mystery']","{'+investigate+': 1, '+report+': 1, '2000_to_2010': 1, 'composerdavidshire': 1, 'genrecrime': 1, 'genredrama': 1, 'genremystery': 1}",0.2552637351213155
11707,Tightrope,1984.0,85.0,6.1,8.991304,"['Mystery', 'Thriller', 'Crime', 'Drama']","{'+case+': 1, '+killer+': 1, '+murder+': 1, '+victim+': 1, 'genrecrime': 1, 'genredrama': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",0.25391835805951285
298459,Next Time I'll Aim for the Heart,2014.0,89.0,5.6,8.323292,"['Crime', 'Thriller', 'Drama']","{'+investigate+': 1, '+kill+': 1, '+killer+': 1, '+murder+': 1, '+police+': 1, 'genrecrime': 1, 'genredrama': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",0.24310831916315753
26690,The Boston Strangler,1968.0,51.0,6.7,3.877109,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'+case+': 1, '+clue+': 1, '+investigate+': 1, '+murder+': 1, 'genrecrime': 1, 'genredrama': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'true+story': 1}",0.2398005688555842
18476,Horsemen,2009.0,124.0,5.5,7.455953,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']","{'+murder+': 1, '+police+': 1, '2000_to_2010': 1, 'genrecrime': 1, 'genredrama': 1, 'genremystery': 1, 'genrethriller': 1, 'serial+killer': 1}",0.2381965336701655
10782,Basic,2003.0,290.0,6.2,14.327717000000002,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']","{'2000_to_2010': 1, 'genrecrime': 1, 'genredrama': 1, 'genremystery': 1, 'genrethriller': 1, 'producerarnoldmesser': 1, 'producerjamesvanderbilt': 1, 'producermikemedavoy': 1, 'screenplayjamesvanderbilt': 1}",0.22852652225356154
19126,Even Money,2006.0,20.0,5.7,7.032075,"['Crime', 'Drama']","{'+destroy+': 1, '+live+': 1, '2000_to_2010': 1, 'genrecrime': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.22597307314641285
1248,Hannibal Rising,2007.0,666.0,6.0,2.159558,"['Crime', 'Drama', 'Thriller']","{'+kill+': 1, '+killer+': 1, '+murder+': 1, '2000_to_2010': 1, 'genrecrime': 1, 'genredrama': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",0.22190115272469205
42700,The Night of the Generals,1967.0,34.0,6.6,12.061386,"['Drama', 'Action', 'Thriller', 'Crime', 'Mystery', 'War']","{'+case+': 1, '+investigate+': 1, '+killer+': 1, '+murder+': 1, 'genrecrime': 1, 'genredrama': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.22190115272469205
