movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
1949,Zodiac,2007.0,2080.0,7.3,19.083823,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'+built+': 1, '+california+': 1, '+career+': 1, '+case+': 1, '+clue+': 1, '+code+': 1, '+destroy+': 1, '+embassy+': 1, '+investigate+': 1, '+journalist+': 1, '+kill+': 1, '+killer+': 1, '+letter+': 1, '+live+': 1, '+men+': 1, '+murder+': 1, '+newspaper+': 1, '+obsess+': 1, '+police+': 1, '+report+': 1, '+terrified+': 1, '+trail+': 1, '+victim+': 1, '2000_to_2010': 1, 'actorjakegyllenhaal': 1, 'actormarkruffalo': 1, 'actorrobertdowneyjr': 1, 'composerdavidshire': 1, 'directordavidfincher': 1, 'genrecrime': 1, 'genredrama': 1, 'genremystery': 1, 'genrethriller': 1, 'mass+murder': 1, 'planned+murder': 1, 'producerarnoldmesser': 1, 'producerbradfischer': 1, 'producerceanchaffin': 1, 'producerjamesvanderbilt': 1, 'producermikemedavoy': 1, 'runtime_above_110': 1, 'san+francisco': 1, 'screenplayjamesvanderbilt': 1, 'serial+killer': 1, 'threat+to+death': 1, 'true+story': 1, 'victim+of+murder': 1}",47.0
807,Se7en,1995.0,5915.0,8.1,18.45743,"['Crime', 'Mystery', 'Thriller']","{'+case+': 1, '+investigate+': 1, '+killer+': 1, '+police+': 1, '+victim+': 1, 'directordavidfincher': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",11.0
11423,Memories of Murder,2003.0,427.0,7.9,8.511453,"['Crime', 'Drama', 'Thriller']","{'+case+': 1, '+investigate+': 1, '+killer+': 1, '+murder+': 1, '+police+': 1, '+victim+': 1, '2000_to_2010': 1, 'genrecrime': 1, 'genredrama': 1, 'genrethriller': 1, 'runtime_above_110': 1}",11.0
16825,The Case of the Scorpion's Tail,1971.0,14.0,7.0,5.913654,"['Horror', 'Mystery', 'Thriller']","{'+case+': 1, '+investigate+': 1, '+kill+': 1, '+killer+': 1, '+murder+': 1, '+police+': 1, '+trail+': 1, 'genremystery': 1, 'genrethriller': 1, 'mass+murder': 1, 'serial+killer': 1}",11.0
11707,Tightrope,1984.0,85.0,6.1,8.991304,"['Mystery', 'Thriller', 'Crime', 'Drama']","{'+case+': 1, '+killer+': 1, '+murder+': 1, '+victim+': 1, 'genrecrime': 1, 'genredrama': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",10.0
26690,The Boston Strangler,1968.0,51.0,6.7,3.877109,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'+case+': 1, '+clue+': 1, '+investigate+': 1, '+murder+': 1, 'genrecrime': 1, 'genredrama': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'true+story': 1}",10.0
65754,The Girl with the Dragon Tattoo,2011.0,2479.0,7.2,8.907829,"['Thriller', 'Crime', 'Mystery', 'Drama']","{'+investigate+': 1, '+journalist+': 1, 'directordavidfincher': 1, 'genrecrime': 1, 'genredrama': 1, 'genremystery': 1, 'genrethriller': 1, 'producerceanchaffin': 1, 'runtime_above_110': 1, 'serial+killer': 1}",10.0
298459,Next Time I'll Aim for the Heart,2014.0,89.0,5.6,8.323292,"['Crime', 'Thriller', 'Drama']","{'+investigate+': 1, '+kill+': 1, '+killer+': 1, '+murder+': 1, '+police+': 1, 'genrecrime': 1, 'genredrama': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",10.0
891,All the President's Men,1976.0,424.0,7.6,12.421754,"['Drama', 'History', 'Mystery', 'Thriller']","{'+case+': 1, '+journalist+': 1, '+newspaper+': 1, '+trail+': 1, 'composerdavidshire': 1, 'genredrama': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",9.0
1248,Hannibal Rising,2007.0,666.0,6.0,2.159558,"['Crime', 'Drama', 'Thriller']","{'+kill+': 1, '+killer+': 1, '+murder+': 1, '2000_to_2010': 1, 'genrecrime': 1, 'genredrama': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",9.0
4771,Gone Baby Gone,2007.0,1034.0,7.2,6.148516000000001,"['Crime', 'Drama', 'Mystery']","{'+case+': 1, '+live+': 1, '+murder+': 1, '+police+': 1, '2000_to_2010': 1, 'genrecrime': 1, 'genredrama': 1, 'genremystery': 1, 'runtime_above_110': 1}",9.0
