movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
1949,Zodiac,2007.0,2080.0,7.3,19.083823,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'+built+': 2.188, '+california+': 2.188, '+career+': 2.188, '+case+': 2.188, '+clue+': 2.188, '+code+': 2.188, '+destroy+': 2.188, '+embassy+': 2.188, '+investigate+': 2.188, '+journalist+': 2.188, '+kill+': 2.188, '+killer+': 2.188, '+letter+': 2.188, '+live+': 2.188, '+men+': 2.188, '+murder+': 2.188, '+newspaper+': 2.188, '+obsess+': 2.188, '+police+': 2.188, '+report+': 2.188, '+terrified+': 2.188, '+trail+': 2.188, '+victim+': 2.188, '2000_to_2010': 2.0, 'actorJakeGyllenhaal': 1.986, 'actorMarkRuffalo': 1.986, 'actorRobertDowneyJr': 1.986, 'composerDavidShire': 1.072, 'directorDavidFincher': 2.19, 'genreCrime': 1.249, 'genreDrama': 1.249, 'genreMystery': 1.249, 'genreThriller': 1.249, 'mass+murder': 2.188, 'planned+murder': 2.188, 'producerArnoldMesser': 0.371, 'producerBradFischer': 0.371, 'producerCeánChaffin': 0.371, 'producerJamesVanderbilt': 0.371, 'producerMikeMedavoy': 0.371, 'runtime_above_110': 1.0, 'san+francisco': 2.188, 'screenplayJamesVanderbilt': 0.955, 'serial+killer': 2.188, 'threat+to+death': 2.188, 'true+story': 2.188, 'victim+of+murder': 2.188}",1.0000000000000004
10900,Surveillance,2008.0,111.0,6.0,6.804406,"['Horror', 'Thriller', 'Mystery']","{'+investigate+': 2.984, '+murder+': 2.984, '+police+': 2.984, '+victim+': 2.984, '2000_to_2010': 2.0, 'genreMystery': 1.665, 'genreThriller': 1.665, 'mass+murder': 2.984, 'serial+killer': 2.984}",0.2373157298481841
8080,Suspect Zero,2004.0,99.0,5.5,7.550891,"['Crime', 'Thriller']","{'+clue+': 5.967, '+killer+': 5.967, '+victim+': 5.967, '2000_to_2010': 2.0, 'genreCrime': 2.497, 'genreThriller': 2.497, 'serial+killer': 5.967}",0.22843126673204212
9639,Grimm Love,2006.0,27.0,5.0,9.008456,"['Drama', 'Thriller']","{'+killer+': 5.967, '+murder+': 5.967, '+obsess+': 5.967, '+victim+': 5.967, '2000_to_2010': 2.0, 'genreDrama': 2.497, 'genreThriller': 2.497}",0.22831003852053203
298459,Next Time I'll Aim for the Heart,2014.0,89.0,5.6,8.323292,"['Crime', 'Thriller', 'Drama']","{'+investigate+': 2.854, '+kill+': 2.854, '+killer+': 2.854, '+murder+': 2.854, '+police+': 2.854, 'genreCrime': 1.665, 'genreDrama': 1.665, 'genreThriller': 1.665, 'runtime_above_110': 1.0, 'serial+killer': 2.854}",0.2282472444156408
807,Se7en,1995.0,5915.0,8.1,18.45743,"['Crime', 'Mystery', 'Thriller']","{'+case+': 1.683, '+investigate+': 1.683, '+killer+': 1.683, '+police+': 1.683, '+victim+': 1.683, 'directorDavidFincher': 2.19, 'genreCrime': 1.665, 'genreMystery': 1.665, 'genreThriller': 1.665, 'runtime_above_110': 1.0, 'serial+killer': 1.683}",0.21530791892545215
34081,Ted Bundy,2002.0,38.0,5.6,3.718957,"['Crime', 'Drama', 'Horror']","{'+kill+': 2.263, '+killer+': 2.263, '+murder+': 2.263, '+victim+': 2.263, '2000_to_2010': 2.0, 'genreCrime': 1.665, 'genreDrama': 1.665, 'mass+murder': 2.263, 'serial+killer': 2.263}",0.21404967051116192
11423,Memories of Murder,2003.0,427.0,7.9,8.511453,"['Crime', 'Drama', 'Thriller']","{'+case+': 1.727, '+investigate+': 1.727, '+killer+': 1.727, '+murder+': 1.727, '+police+': 1.727, '+victim+': 1.727, '2000_to_2010': 2.0, 'genreCrime': 1.665, 'genreDrama': 1.665, 'genreThriller': 1.665, 'runtime_above_110': 1.0}",0.21256751536899696
11707,Tightrope,1984.0,85.0,6.1,8.991304,"['Mystery', 'Thriller', 'Crime', 'Drama']","{'+case+': 3.455, '+killer+': 3.455, '+murder+': 3.455, '+victim+': 3.455, 'genreCrime': 1.249, 'genreDrama': 1.249, 'genreMystery': 1.249, 'genreThriller': 1.249, 'runtime_above_110': 1.0, 'serial+killer': 3.455}",0.21221726051502185
21946,Counter Investigation,2007.0,69.0,7.0,4.787284,['Thriller'],"{'+investigate+': 9.377, '+murder+': 9.377, '2000_to_2010': 2.0, 'genreThriller': 4.994, 'serial+killer': 9.377}",0.21117662715601812
11081,Taking Lives,2004.0,356.0,6.0,7.85646,"['Action', 'Crime', 'Mystery', 'Thriller']","{'+investigate+': 2.984, '+killer+': 2.984, '+police+': 2.984, '+victim+': 2.984, '2000_to_2010': 2.0, 'genreCrime': 1.249, 'genreMystery': 1.249, 'genreThriller': 1.249, 'serial+killer': 2.984}",0.2075328434771732
