movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
1949,Zodiac,2007.0,2080.0,7.3,19.083823,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'+built+': 0.167, '+california+': 0.129, '+career+': 0.119, '+case+': 0.125, '+clue+': 0.149, '+code+': 0.159, '+destroy+': 0.117, '+embassy+': 0.183, '+investigate+': 0.111, '+journalist+': 0.13, '+kill+': 0.097, '+killer+': 0.11, '+letter+': 0.149, '+live+': 0.08, '+men+': 0.108, '+murder+': 0.082, '+newspaper+': 0.151, '+obsess+': 0.122, '+police+': 0.101, '+report+': 0.131, '+terrified+': 0.162, '+trail+': 0.144, '+victim+': 0.124, '2000_to_2010': 0.053, 'actorjakegyllenhaal': 0.169, 'actormarkruffalo': 0.172, 'actorrobertdowneyjr': 0.161, 'composerdavidshire': 0.188, 'directordavidfincher': 0.19, 'genrecrime': 0.07, 'genredrama': 0.042, 'genremystery': 0.085, 'genrethriller': 0.055, 'mass+murder': 0.163, 'planned+murder': 0.167, 'producerarnoldmesser': 0.195, 'producerbradfischer': 0.221, 'producerceanchaffin': 0.195, 'producerjamesvanderbilt': 0.214, 'producermikemedavoy': 0.18, 'runtime_above_110': 0.051, 'san+francisco': 0.149, 'screenplayjamesvanderbilt': 0.195, 'serial+killer': 0.124, 'threat+to+death': 0.204, 'true+story': 0.136, 'victim+of+murder': 0.19}",0.9999999999999996
10782,Basic,2003.0,290.0,6.2,14.327717000000002,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']","{'2000_to_2010': 0.059, 'genrecrime': 0.078, 'genredrama': 0.046, 'genremystery': 0.095, 'genrethriller': 0.061, 'producerarnoldmesser': 0.215, 'producerjamesvanderbilt': 0.237, 'producermikemedavoy': 0.199, 'screenplayjamesvanderbilt': 0.215}",0.1922475786320969
11324,Shutter Island,2010.0,6559.0,7.8,15.813629,"['Drama', 'Thriller', 'Mystery']","{'+investigate+': 0.13, 'actormarkruffalo': 0.203, 'genredrama': 0.049, 'genremystery': 0.101, 'genrethriller': 0.065, 'producerarnoldmesser': 0.23, 'producermikemedavoy': 0.212, 'runtime_above_110': 0.06}",0.1494304278850503
25137,Beyond a Reasonable Doubt,2009.0,79.0,5.5,5.1991,"['Crime', 'Drama', 'Mystery']","{'+investigate+': 0.199, '+report+': 0.236, '2000_to_2010': 0.096, 'composerdavidshire': 0.338, 'genrecrime': 0.127, 'genredrama': 0.075, 'genremystery': 0.154}",0.14669690577585678
65754,The Girl with the Dragon Tattoo,2011.0,2479.0,7.2,8.907829,"['Thriller', 'Crime', 'Mystery', 'Drama']","{'+investigate+': 0.107, '+journalist+': 0.125, 'directordavidfincher': 0.184, 'genrecrime': 0.068, 'genredrama': 0.04, 'genremystery': 0.083, 'genrethriller': 0.053, 'producerceanchaffin': 0.188, 'runtime_above_110': 0.049, 'serial+killer': 0.119}",0.13339913000417977
4922,The Curious Case of Benjamin Button,2008.0,3398.0,7.3,17.934821,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']","{'2000_to_2010': 0.072, 'directordavidfincher': 0.255, 'genredrama': 0.056, 'genremystery': 0.115, 'genrethriller': 0.074, 'producerceanchaffin': 0.261, 'runtime_above_110': 0.069}",0.12279573265330077
807,Se7en,1995.0,5915.0,8.1,18.45743,"['Crime', 'Mystery', 'Thriller']","{'+case+': 0.111, '+investigate+': 0.099, '+killer+': 0.098, '+police+': 0.09, '+victim+': 0.111, 'directordavidfincher': 0.17, 'genrecrime': 0.063, 'genremystery': 0.076, 'genrethriller': 0.049, 'runtime_above_110': 0.046, 'serial+killer': 0.11}",0.12032317521648965
4547,Panic Room,2002.0,1303.0,6.6,14.969502,"['Crime', 'Drama', 'Thriller']","{'+built+': 0.171, '2000_to_2010': 0.055, 'directordavidfincher': 0.194, 'genrecrime': 0.072, 'genredrama': 0.043, 'genrethriller': 0.056, 'producerceanchaffin': 0.199, 'runtime_above_110': 0.052}",0.11967188631144039
34081,Ted Bundy,2002.0,38.0,5.6,3.718957,"['Crime', 'Drama', 'Horror']","{'+kill+': 0.11, '+killer+': 0.124, '+murder+': 0.092, '+victim+': 0.14, '2000_to_2010': 0.06, 'genrecrime': 0.08, 'genredrama': 0.047, 'mass+murder': 0.184, 'serial+killer': 0.14}",0.10708203614641987
891,All the President's Men,1976.0,424.0,7.6,12.421754,"['Drama', 'History', 'Mystery', 'Thriller']","{'+case+': 0.105, '+journalist+': 0.109, '+newspaper+': 0.126, '+trail+': 0.121, 'composerdavidshire': 0.158, 'genredrama': 0.035, 'genremystery': 0.072, 'genrethriller': 0.046, 'runtime_above_110': 0.043}",0.1055237205514477
26690,The Boston Strangler,1968.0,51.0,6.7,3.877109,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'+case+': 0.137, '+clue+': 0.164, '+investigate+': 0.122, '+murder+': 0.09, 'genrecrime': 0.078, 'genredrama': 0.046, 'genremystery': 0.094, 'genrethriller': 0.061, 'runtime_above_110': 0.056, 'true+story': 0.15}",0.10424884513153915
