movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
2048,"I, Robot",2004.0,3889.0,6.7,14.43075,"['Action', 'Science Fiction']","{'+3d+': 1, '+abide+': 1, '+chicago+': 1, '+common+': 1, '+cop+': 1, '+danger+': 1, '+death+': 1, '+dystopia+': 1, '+future+': 1, '+hero+': 1, '+human+': 1, '+law+': 1, '+murder+': 1, '+place+': 1, '+police+': 1, '+response+': 1, '+robot+': 1, '+suicide+': 1, '+suspect+': 1, '+techno+': 1, '2000_to_2010': 1, 'actoralantudyk': 1, 'actorbridgetmoynahan': 1, 'actorwillsmith': 1, 'apparent+suicide': 1, 'artificial+intelligence': 1, 'based+on+novel': 1, 'composermarcobeltrami': 1, 'directoralexproyas': 1, 'genreaction': 1, 'genresciencefiction': 1, 'investigation+leads': 1, 'man+vs+machine': 1, 'producerjohndavis': 1, 'producerlaurencemark': 1, 'producermichaelleebaron': 1, 'producertopherdow': 1, 'producerwyckgodfrey': 1, 'runtime_above_110': 1, 'screenplayakivagoldsman': 1, 'screenplayjeffvintar': 1}",1.0000000000000004
19959,Surrogates,2009.0,1219.0,5.9,16.211937,"['Action', 'Science Fiction', 'Thriller']","{'+cop+': 1, '+dystopia+': 1, '+human+': 1, '+murder+': 1, '+robot+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genresciencefiction': 1}",0.23611253444038208
262543,Automata,2014.0,677.0,5.6,13.973689000000002,"['Thriller', 'Science Fiction']","{'+dystopia+': 1, '+future+': 1, '+human+': 1, '+robot+': 1, 'artificial+intelligence': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.20659846763533432
605,The Matrix Revolutions,2003.0,3155.0,6.4,15.368205,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+dystopia+': 1, '+future+': 1, '+hero+': 1, '+human+': 1, '2000_to_2010': 1, 'artificial+intelligence': 1, 'genreaction': 1, 'genresciencefiction': 1, 'man+vs+machine': 1, 'runtime_above_110': 1}",0.20506619579876548
180,Minority Report,2002.0,2663.0,7.1,20.666063,"['Action', 'Thriller', 'Science Fiction', 'Mystery']","{'+cop+': 1, '+dystopia+': 1, '+future+': 1, '+murder+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.2000625293121421
14573,Natural City,2003.0,32.0,5.2,3.885246,['Science Fiction'],"{'+cop+': 1, '+dystopia+': 1, '+future+': 1, '+human+': 1, '2000_to_2010': 1, 'artificial+intelligence': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.19754591932991794
534,Terminator Salvation,2009.0,2496.0,5.9,16.507496,"['Action', 'Science Fiction', 'Thriller']","{'+dystopia+': 1, '+future+': 1, '+human+': 1, '2000_to_2010': 1, 'artificial+intelligence': 1, 'genreaction': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.19512195121951217
2789,The Chronicles of Riddick,2004.0,1593.0,6.3,5.060352,"['Action', 'Science Fiction']","{'+dystopia+': 1, '+future+': 1, '+human+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.19030453673946296
604,The Matrix Reloaded,2003.0,3500.0,6.7,16.229317,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+death+': 1, '+dystopia+': 1, '+future+': 1, '+hero+': 1, '+human+': 1, '2000_to_2010': 1, 'artificial+intelligence': 1, 'genreaction': 1, 'genresciencefiction': 1, 'man+vs+machine': 1, 'runtime_above_110': 1}",0.1897115754402932
4923,Zardoz,1974.0,106.0,5.8,10.698934,"['Fantasy', 'Action', 'Thriller', 'Science Fiction']","{'+dystopia+': 1, '+future+': 1, '+human+': 1, '+murder+': 1, 'genreaction': 1, 'genresciencefiction': 1}",0.1874085142663273
14092,Ghost in the Shell 2.0,2008.0,117.0,7.4,8.820107,"['Action', 'Animation', 'Science Fiction']","{'+3d+': 1, '+cop+': 1, '+dystopia+': 1, '+future+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genresciencefiction': 1}",0.18220272220337375
