movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
2048,"I, Robot",2004.0,3889.0,6.7,14.43075,"['Action', 'Science Fiction']","{'+3d+': 1, '+abide+': 1, '+chicago+': 1, '+common+': 1, '+cop+': 1, '+danger+': 1, '+death+': 1, '+dystopia+': 1, '+future+': 1, '+hero+': 1, '+human+': 1, '+law+': 1, '+murder+': 1, '+place+': 1, '+police+': 1, '+response+': 1, '+robot+': 1, '+suicide+': 1, '+suspect+': 1, '+techno+': 1, '2000_to_2010': 1, 'actoralantudyk': 1, 'actorbridgetmoynahan': 1, 'actorwillsmith': 1, 'apparent+suicide': 1, 'artificial+intelligence': 1, 'based+on+novel': 1, 'composermarcobeltrami': 1, 'directoralexproyas': 1, 'genreaction': 1, 'genresciencefiction': 1, 'investigation+leads': 1, 'man+vs+machine': 1, 'producerjohndavis': 1, 'producerlaurencemark': 1, 'producermichaelleebaron': 1, 'producertopherdow': 1, 'producerwyckgodfrey': 1, 'runtime_above_110': 1, 'screenplayakivagoldsman': 1, 'screenplayjeffvintar': 1}",41.0
604,The Matrix Reloaded,2003.0,3500.0,6.7,16.229317,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+death+': 1, '+dystopia+': 1, '+future+': 1, '+hero+': 1, '+human+': 1, '2000_to_2010': 1, 'artificial+intelligence': 1, 'genreaction': 1, 'genresciencefiction': 1, 'man+vs+machine': 1, 'runtime_above_110': 1}",11.0
605,The Matrix Revolutions,2003.0,3155.0,6.4,15.368205,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+dystopia+': 1, '+future+': 1, '+hero+': 1, '+human+': 1, '2000_to_2010': 1, 'artificial+intelligence': 1, 'genreaction': 1, 'genresciencefiction': 1, 'man+vs+machine': 1, 'runtime_above_110': 1}",10.0
180,Minority Report,2002.0,2663.0,7.1,20.666063,"['Action', 'Thriller', 'Science Fiction', 'Mystery']","{'+cop+': 1, '+dystopia+': 1, '+future+': 1, '+murder+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",8.0
296,Terminator 3: Rise of the Machines,2003.0,2177.0,5.9,20.818907,"['Action', 'Thriller', 'Science Fiction']","{'+dystopia+': 1, '+robot+': 1, '2000_to_2010': 1, 'artificial+intelligence': 1, 'composermarcobeltrami': 1, 'genreaction': 1, 'genresciencefiction': 1, 'man+vs+machine': 1}",8.0
534,Terminator Salvation,2009.0,2496.0,5.9,16.507496,"['Action', 'Science Fiction', 'Thriller']","{'+dystopia+': 1, '+future+': 1, '+human+': 1, '2000_to_2010': 1, 'artificial+intelligence': 1, 'genreaction': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",8.0
13183,Watchmen,2009.0,2892.0,7.0,16.551503,"['Action', 'Mystery', 'Science Fiction']","{'+danger+': 1, '+death+': 1, '+hero+': 1, '+human+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",8.0
14573,Natural City,2003.0,32.0,5.2,3.885246,['Science Fiction'],"{'+cop+': 1, '+dystopia+': 1, '+future+': 1, '+human+': 1, '2000_to_2010': 1, 'artificial+intelligence': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",8.0
19959,Surrogates,2009.0,1219.0,5.9,16.211937,"['Action', 'Science Fiction', 'Thriller']","{'+cop+': 1, '+dystopia+': 1, '+human+': 1, '+murder+': 1, '+robot+': 1, '2000_to_2010': 1, 'genreaction': 1, 'genresciencefiction': 1}",8.0
68726,Pacific Rim,2013.0,4903.0,6.7,33.949359,"['Action', 'Science Fiction', 'Adventure']","{'+3d+': 1, '+dystopia+': 1, '+hero+': 1, '+human+': 1, '+robot+': 1, 'genreaction': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",8.0
101299,The Hunger Games: Catching Fire,2013.0,6656.0,7.4,25.309139,"['Adventure', 'Action', 'Science Fiction']","{'+danger+': 1, '+dystopia+': 1, '+future+': 1, '+murder+': 1, 'based+on+novel': 1, 'genreaction': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",8.0
