movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
261,Cat on a Hot Tin Roof,1958.0,168.0,7.6,11.794846,"['Drama', 'Romance']","{'+adultery+': 1, '+affect+': 1, '+alcohol+': 1, '+big+': 1, '+brick+': 1, '+cancer+': 1, '+dad+': 1, '+day+': 1, '+depressed+': 1, '+die+': 1, '+drink+': 1, '+ex+': 1, '+father+': 1, '+host+': 1, '+individual+': 1, '+jealousy+': 1, '+jog+': 1, '+memory+': 1, '+mississippi+': 1, '+resist+': 1, '+reunion+': 1, '+revel+': 1, '+son+': 1, '+suicide+': 1, '+wife+': 1, '1955_to_1976': 1, 'actorburlives': 1, 'actorelizabethtaylor': 1, 'actorpaulnewman': 1, 'composercharleswolcott': 1, 'directorrichardbrooks': 1, 'dying+and+death': 1, 'football+player': 1, 'genredrama': 1, 'genreromance': 1, 'producerlawrenceweingarten': 1, 'runtime_100_to_110': 1, 'screenplayjamespoe': 1, 'screenplayrichardbrooks': 1, 'southern+usa': 1, 'wife+husband+relationship': 1}",41.0
649,Belle de Jour,1967.0,163.0,7.3,10.142662,"['Drama', 'Romance']","{'+adultery+': 1, '+day+': 1, '+jealousy+': 1, '1955_to_1976': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_100_to_110': 1, 'wife+husband+relationship': 1}",8.0
451,Leaving Las Vegas,1995.0,365.0,7.1,10.332025,"['Drama', 'Romance']","{'+alcohol+': 1, '+drink+': 1, '+individual+': 1, '+suicide+': 1, 'dying+and+death': 1, 'genredrama': 1, 'genreromance': 1}",7.0
884,Crash,1996.0,224.0,6.5,7.5406119999999985,"['Drama', 'Thriller', 'Romance']","{'+adultery+': 1, '+wife+': 1, 'dying+and+death': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_100_to_110': 1, 'wife+husband+relationship': 1}",7.0
1440,Little Children,2006.0,243.0,6.9,7.311147999999998,"['Romance', 'Drama']","{'+adultery+': 1, '+dad+': 1, '+ex+': 1, '+resist+': 1, 'genredrama': 1, 'genreromance': 1, 'wife+husband+relationship': 1}",7.0
1628,Jules and Jim,1962.0,163.0,7.6,5.9797910000000005,"['Drama', 'Romance']","{'+adultery+': 1, '+affect+': 1, '+jealousy+': 1, '1955_to_1976': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_100_to_110': 1}",7.0
3084,Wuthering Heights,1939.0,56.0,7.4,11.474476,"['Drama', 'Fantasy', 'History', 'Romance']","{'+day+': 1, '+die+': 1, '+jealousy+': 1, '+son+': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_100_to_110': 1}",7.0
11042,The Barbarian Invasions,2003.0,80.0,6.7,4.125182,"['Comedy', 'Crime', 'Drama']","{'+cancer+': 1, '+die+': 1, '+ex+': 1, '+father+': 1, '+son+': 1, 'dying+and+death': 1, 'genredrama': 1}",7.0
28468,The Key,1983.0,65.0,5.0,21.079551,"['Romance', 'Drama']","{'+adultery+': 1, '+affect+': 1, '+jealousy+': 1, '+wife+': 1, 'genredrama': 1, 'genreromance': 1, 'wife+husband+relationship': 1}",7.0
40085,"The Long, Hot Summer",1958.0,42.0,6.5,12.158012,"['Drama', 'Romance']","{'+mississippi+': 1, '+son+': 1, '+wife+': 1, '1955_to_1976': 1, 'actorpaulnewman': 1, 'genredrama': 1, 'genreromance': 1}",7.0
175,The Big Blue,1988.0,364.0,7.6,13.503815,"['Adventure', 'Drama', 'Romance']","{'+die+': 1, '+father+': 1, '+suicide+': 1, 'dying+and+death': 1, 'genredrama': 1, 'genreromance': 1}",6.0
