movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
261,Cat on a Hot Tin Roof,1958.0,168.0,7.6,11.794846,"['Drama', 'Romance']","{'+adultery+': 2.263, '+affect+': 2.263, '+alcohol+': 2.263, '+big+': 2.263, '+brick+': 2.263, '+cancer+': 2.263, '+dad+': 2.263, '+day+': 2.263, '+depressed+': 2.263, '+die+': 2.263, '+drink+': 2.263, '+ex+': 2.263, '+father+': 2.263, '+host+': 2.263, '+individual+': 2.263, '+jealousy+': 2.263, '+jog+': 2.263, '+memory+': 2.263, '+mississippi+': 2.263, '+resist+': 2.263, '+reunion+': 2.263, '+revel+': 2.263, '+son+': 2.263, '+suicide+': 2.263, '+wife+': 2.263, '1955_to_1976': 2.0, 'actorBurlIves': 1.986, 'actorElizabethTaylor': 1.986, 'actorPaulNewman': 1.986, 'composerCharlesWolcott': 1.072, 'directorRichardBrooks': 2.19, 'dying+and+death': 2.263, 'football+player': 2.263, 'genreDrama': 2.497, 'genreRomance': 2.497, 'producerLawrenceWeingarten': 1.854, 'runtime_100_to_110': 1.0, 'screenplayJamesPoe': 0.477, 'screenplayRichardBrooks': 0.477, 'southern+usa': 2.263, 'wife+husband+relationship': 2.263}",0.999999999999999
649,Belle de Jour,1967.0,163.0,7.3,10.142662,"['Drama', 'Romance']","{'+adultery+': 2.626, '+day+': 2.626, '+jealousy+': 2.626, '1955_to_1976': 2.0, 'genreDrama': 2.497, 'genreRomance': 2.497, 'runtime_100_to_110': 1.0, 'wife+husband+relationship': 2.626}",0.20812066151242642
451,Leaving Las Vegas,1995.0,365.0,7.1,10.332025,"['Drama', 'Romance']","{'+alcohol+': 2.431, '+drink+': 2.431, '+individual+': 2.431, '+suicide+': 2.431, 'dying+and+death': 2.431, 'genreDrama': 2.497, 'genreRomance': 2.497}",0.20768249574277478
38749,Jack the Bear,1993.0,14.0,5.9,5.063771,['Drama'],"{'+father+': 4.376, '+host+': 4.376, '+son+': 4.376, '+wife+': 4.376, 'genreDrama': 4.994}",0.20639847650427626
1440,Little Children,2006.0,243.0,6.9,7.311147999999998,"['Romance', 'Drama']","{'+adultery+': 1.931, '+dad+': 1.931, '+ex+': 1.931, '+resist+': 1.931, 'genreDrama': 2.497, 'genreRomance': 2.497, 'wife+husband+relationship': 1.931}",0.19585430461651146
40085,"The Long, Hot Summer",1958.0,42.0,6.5,12.158012,"['Drama', 'Romance']","{'+mississippi+': 2.051, '+son+': 2.051, '+wife+': 2.051, '1955_to_1976': 2.0, 'actorPaulNewman': 1.986, 'genreDrama': 2.497, 'genreRomance': 2.497}",0.19039482624392656
9025,Dog Days,2001.0,20.0,6.7,8.682774,['Drama'],"{'+alcohol+': 1.931, '+day+': 1.931, '+die+': 1.931, '+jealousy+': 1.931, '+wife+': 1.931, 'genreDrama': 4.994}",0.18848362069428176
396,Who's Afraid of Virginia Woolf?,1966.0,199.0,7.8,5.564294,['Drama'],"{'+adultery+': 2.735, '+alcohol+': 2.735, '+son+': 2.735, '1955_to_1976': 2.0, 'actorElizabethTaylor': 1.986, 'genreDrama': 4.994}",0.1879132505472405
22013,Elmer Gantry,1960.0,41.0,7.3,6.409512,['Drama'],"{'+ex+': 10.94, '1955_to_1976': 2.0, 'directorRichardBrooks': 2.19, 'football+player': 10.94, 'genreDrama': 4.994, 'screenplayRichardBrooks': 0.955}",0.18738158834272084
50780,The Beaver,2011.0,281.0,6.2,5.484379,['Drama'],"{'+depressed+': 2.984, '+father+': 2.984, '+son+': 2.984, '+wife+': 2.984, 'genreDrama': 4.994}",0.18387999211618325
753,Faces,1968.0,36.0,7.1,7.918417999999999,['Drama'],"{'+adultery+': 4.376, '+ex+': 4.376, '+wife+': 4.376, '1955_to_1976': 2.0, 'genreDrama': 4.994}",0.18362213604982108
