movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
27205,Inception,2010.0,14075.0,8.1,29.108149,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']","{'+chance+': 1, '+commit+': 1, '+dream+': 1, '+espionage+': 1, '+female+': 1, '+heist+': 1, '+hero+': 1, '+idea+': 1, '+implant+': 1, '+impossible+': 1, '+infiltrate+': 1, '+kidnap+': 1, '+life+': 1, '+offer+': 1, '+payment+': 1, '+person+': 1, '+redemption+': 1, '+regain+': 1, '+skill+': 1, '+sleep+': 1, '+subconscious+': 1, '+target+': 1, '+task+': 1, '+thief+': 1, '2010_till_now': 1, 'actorellenpage': 1, 'actorjosephgordon': 1, 'actorleonardodicaprio': 1, 'composerhanszimmer': 1, 'directorchristophernolan': 1, 'genreaction': 1, 'genreadventure': 1, 'genremystery': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'levitt': 1, 'loss+of+lover': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'screenplaychristophernolan': 1}",1.0000000000000004
49521,Man of Steel,2013.0,6462.0,6.5,18.538834,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","{'+hero+': 1, '2010_till_now': 1, 'composerhanszimmer': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1}",0.2195121951219512
56272,Elektra Luxx,2010.0,49.0,4.7,4.1186989999999986,"['Action', 'Comedy', 'Drama']","{'+dream+': 1, '+life+': 1, '+sleep+': 1, '+task+': 1, '2010_till_now': 1, 'actorjosephgordon': 1, 'genreaction': 1, 'levitt': 1}",0.21749089913081482
59967,Looper,2012.0,4777.0,6.6,12.727269,"['Action', 'Thriller', 'Science Fiction']","{'+life+': 1, '+target+': 1, '2010_till_now': 1, 'actorjosephgordon': 1, 'genreaction': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'levitt': 1, 'runtime_above_110': 1}",0.21189672420660502
10871,Switchback,1997.0,52.0,5.8,3.742824,"['Action', 'Adventure', 'Mystery', 'Thriller']","{'+kidnap+': 1, 'genreaction': 1, 'genreadventure': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.20952908873087345
364433,They Call Me Jeeg Robot,2015.0,575.0,7.5,10.649494,"['Action', 'Drama', 'Comedy', 'Thriller', 'Science Fiction']","{'+hero+': 1, '+life+': 1, '2010_till_now': 1, 'genreaction': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.20659846763533432
59965,Abduction,2011.0,987.0,5.6,10.512109,"['Thriller', 'Action', 'Mystery']","{'+hero+': 1, '+kidnap+': 1, '+life+': 1, '+person+': 1, '2010_till_now': 1, 'genreaction': 1, 'genremystery': 1, 'genrethriller': 1}",0.20539846638523868
1124,The Prestige,2006.0,4510.0,8.0,16.94556,"['Drama', 'Mystery', 'Thriller']","{'+life+': 1, 'directorchristophernolan': 1, 'genremystery': 1, 'genrethriller': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'screenplaychristophernolan': 1}",0.202677836775256
277217,Descendants,2015.0,505.0,6.7,12.603719,"['Adventure', 'Action', 'Comedy', 'Family']","{'+chance+': 1, '+offer+': 1, '+redemption+': 1, '2010_till_now': 1, 'genreaction': 1, 'genreadventure': 1, 'runtime_above_110': 1}",0.19634744970862505
49026,The Dark Knight Rises,2012.0,9263.0,7.6,20.58258,"['Action', 'Crime', 'Drama', 'Thriller']","{'2010_till_now': 1, 'composerhanszimmer': 1, 'directorchristophernolan': 1, 'genreaction': 1, 'genrethriller': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'screenplaychristophernolan': 1}",0.1949166368208945
70057,Dragon,2011.0,79.0,6.9,3.688285,"['Drama', 'Action', 'Thriller']","{'+life+': 1, '2010_till_now': 1, 'genreaction': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.18938850476964256
