movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
27205,Inception,2010.0,14075.0,8.1,29.108149,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']","{'+chance+': 1, '+commit+': 1, '+dream+': 1, '+espionage+': 1, '+female+': 1, '+heist+': 1, '+hero+': 1, '+idea+': 1, '+implant+': 1, '+impossible+': 1, '+infiltrate+': 1, '+kidnap+': 1, '+life+': 1, '+offer+': 1, '+payment+': 1, '+person+': 1, '+redemption+': 1, '+regain+': 1, '+skill+': 1, '+sleep+': 1, '+subconscious+': 1, '+target+': 1, '+task+': 1, '+thief+': 1, '2010_till_now': 1, 'actorellenpage': 1, 'actorjosephgordon': 1, 'actorleonardodicaprio': 1, 'composerhanszimmer': 1, 'directorchristophernolan': 1, 'genreaction': 1, 'genreadventure': 1, 'genremystery': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'levitt': 1, 'loss+of+lover': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'screenplaychristophernolan': 1}",41.0
49026,The Dark Knight Rises,2012.0,9263.0,7.6,20.58258,"['Action', 'Crime', 'Drama', 'Thriller']","{'2010_till_now': 1, 'composerhanszimmer': 1, 'directorchristophernolan': 1, 'genreaction': 1, 'genrethriller': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'screenplaychristophernolan': 1}",9.0
49521,Man of Steel,2013.0,6462.0,6.5,18.538834,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","{'+hero+': 1, '2010_till_now': 1, 'composerhanszimmer': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1}",9.0
59967,Looper,2012.0,4777.0,6.6,12.727269,"['Action', 'Thriller', 'Science Fiction']","{'+life+': 1, '+target+': 1, '2010_till_now': 1, 'actorjosephgordon': 1, 'genreaction': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'levitt': 1, 'runtime_above_110': 1}",9.0
155,The Dark Knight,2008.0,12269.0,8.3,123.167259,"['Drama', 'Action', 'Crime', 'Thriller']","{'composerhanszimmer': 1, 'directorchristophernolan': 1, 'genreaction': 1, 'genrethriller': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'screenplaychristophernolan': 1}",8.0
272,Batman Begins,2005.0,7511.0,7.5,28.505341,"['Action', 'Crime', 'Drama']","{'+hero+': 1, '+life+': 1, 'composerhanszimmer': 1, 'directorchristophernolan': 1, 'genreaction': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'screenplaychristophernolan': 1}",8.0
604,The Matrix Reloaded,2003.0,3500.0,6.7,16.229317,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+dream+': 1, '+hero+': 1, '+target+': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'runtime_above_110': 1}",8.0
1124,The Prestige,2006.0,4510.0,8.0,16.94556,"['Drama', 'Mystery', 'Thriller']","{'+life+': 1, 'directorchristophernolan': 1, 'genremystery': 1, 'genrethriller': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'screenplaychristophernolan': 1}",8.0
49517,Tinker Tailor Soldier Spy,2011.0,856.0,6.6,7.728737,"['Drama', 'Thriller', 'Mystery']","{'+espionage+': 1, '+life+': 1, '+skill+': 1, '+task+': 1, '2010_till_now': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",8.0
54138,Star Trek Into Darkness,2013.0,4479.0,7.4,15.78129,"['Action', 'Adventure', 'Science Fiction']","{'+hero+': 1, '+life+': 1, '+person+': 1, '2010_till_now': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",8.0
56272,Elektra Luxx,2010.0,49.0,4.7,4.1186989999999986,"['Action', 'Comedy', 'Drama']","{'+dream+': 1, '+life+': 1, '+sleep+': 1, '+task+': 1, '2010_till_now': 1, 'actorjosephgordon': 1, 'genreaction': 1, 'levitt': 1}",8.0
