movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
27205,Inception,2010.0,14075.0,8.1,29.108149,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']","{'+chance+': 2.626, '+commit+': 2.626, '+dream+': 2.626, '+espionage+': 2.626, '+female+': 2.626, '+heist+': 2.626, '+hero+': 2.626, '+idea+': 2.626, '+implant+': 2.626, '+impossible+': 2.626, '+infiltrate+': 2.626, '+kidnap+': 2.626, '+life+': 2.626, '+offer+': 2.626, '+payment+': 2.626, '+person+': 2.626, '+redemption+': 2.626, '+regain+': 2.626, '+skill+': 2.626, '+sleep+': 2.626, '+subconscious+': 2.626, '+target+': 2.626, '+task+': 2.626, '+thief+': 2.626, '2010_till_now': 2.0, 'actorEllenPage': 1.986, 'actorJosephGordon-Levitt': 1.986, 'actorLeonardoDiCaprio': 1.986, 'composerHansZimmer': 1.072, 'directorChristopherNolan': 2.19, 'genreAction': 0.999, 'genreAdventure': 0.999, 'genreMystery': 0.999, 'genreScienceFiction': 0.999, 'genreThriller': 0.999, 'loss+of+lover': 2.626, 'producerChristopherNolan': 0.927, 'producerEmmaThomas': 0.927, 'runtime_above_110': 1.0, 'screenplayChristopherNolan': 0.955}",0.9999999999999997
443700,Altitude,2017.0,27.0,4.1,11.032058,"['Action', 'Thriller']","{'+female+': 6.564, '+offer+': 6.564, '+thief+': 6.564, '2010_till_now': 2.0, 'genreAction': 2.497, 'genreThriller': 2.497}",0.19713339880733202
56272,Elektra Luxx,2010.0,49.0,4.7,4.1186989999999986,"['Action', 'Comedy', 'Drama']","{'+dream+': 3.126, '+life+': 3.126, '+sleep+': 3.126, '+task+': 3.126, '2010_till_now': 2.0, 'actorJosephGordon-Levitt': 1.986, 'genreAction': 1.665}",0.19249173480155185
59965,Abduction,2011.0,987.0,5.6,10.512109,"['Thriller', 'Action', 'Mystery']","{'+hero+': 3.126, '+kidnap+': 3.126, '+life+': 3.126, '+person+': 3.126, '2010_till_now': 2.0, 'genreAction': 1.665, 'genreMystery': 1.665, 'genreThriller': 1.665}",0.19078245559887116
25927,Staten Island,2009.0,23.0,6.4,10.143164,"['Drama', 'Action', 'Thriller', 'Crime']","{'+chance+': 3.282, '+dream+': 3.282, '+infiltrate+': 3.282, '+life+': 3.282, 'genreAction': 1.249, 'genreThriller': 1.249}",0.1660377990324191
14142,Columbus Day,2008.0,13.0,5.4,4.363217,"['Crime', 'Drama', 'Thriller']","{'+heist+': 13.128, '+thief+': 13.128, 'genreThriller': 1.665}",0.1659421811942504
180948,Vehicle 19,2013.0,229.0,5.0,10.803734,['Thriller'],"{'+female+': 2.344, '+life+': 2.344, '+regain+': 2.344, '+target+': 2.344, '2010_till_now': 2.0, 'genreThriller': 4.994}",0.16553700725839007
49517,Tinker Tailor Soldier Spy,2011.0,856.0,6.6,7.728737,"['Drama', 'Thriller', 'Mystery']","{'+espionage+': 1.989, '+life+': 1.989, '+skill+': 1.989, '+task+': 1.989, '2010_till_now': 2.0, 'genreMystery': 1.665, 'genreThriller': 1.665, 'runtime_above_110': 1.0}",0.1605860474275423
20620,Seconds,1966.0,70.0,7.1,6.097929,"['Mystery', 'Science Fiction', 'Thriller', 'Drama']","{'+chance+': 5.049, '+life+': 5.049, '+person+': 5.049, 'genreMystery': 1.249, 'genreScienceFiction': 1.249, 'genreThriller': 1.249}",0.1603796827673351
298,Ocean's Thirteen,2007.0,2040.0,6.5,12.16276,"['Crime', 'Thriller']","{'+heist+': 2.984, '+person+': 2.984, '+task+': 2.984, '+thief+': 2.984, 'genreThriller': 2.497, 'runtime_above_110': 1.0}",0.15957070500444892
278924,Mechanic: Resurrection,2016.0,1236.0,5.3,14.288576999999998,"['Action', 'Crime', 'Thriller']","{'+impossible+': 3.861, '+kidnap+': 3.861, '+life+': 3.861, '2010_till_now': 2.0, 'genreAction': 1.665, 'genreThriller': 1.665}",0.1568272541553698
