movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
279,Amadeus,1984.0,1107.0,7.8,12.677592,"['Drama', 'History', 'Music']","{'+compose+': 1, '+confine+': 1, '+envy+': 1, '+flashback+': 1, '+god+': 1, '+italy+': 1, '+murder+': 1, '+musician+': 1, '+opera+': 1, '+peer+': 1, '+talent+': 1, '+told+': 1, '18th+century': 1, '1980_to_1990': 1, 'actorelizabethberridge': 1, 'actorfmurrayabraham': 1, 'actortomhulce': 1, 'directormilosforman': 1, 'genredrama': 1, 'genrehistory': 1, 'genremusic': 1, 'incredible+story': 1, 'insane+asylum': 1, 'marriage+crisis': 1, 'no_composer_available': 1, 'producersaulzaentz': 1, 'runtime_above_110': 1, 'screenplaypetershaffer': 1, 'vienna+austria': 1}",0.9999999999999996
63039,Noah's Ark,1999.0,12.0,3.9,5.055015,"['TV Movie', 'Drama']","{'+god+': 1, 'actorfmurrayabraham': 1, 'genredrama': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",0.22518867455552247
248934,Beloved Sisters,2014.0,20.0,5.5,14.061194,"['Romance', 'Drama', 'History']","{'18th+century': 1, 'genredrama': 1, 'genrehistory': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",0.2188440547662043
192133,Jimi: All Is by My Side,2013.0,63.0,5.3,4.250364,"['Drama', 'Music']","{'genredrama': 1, 'genremusic': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",0.214422506967559
13763,Purple Rain,1984.0,91.0,6.6,9.190328,"['Drama', 'Music', 'Romance']","{'+talent+': 1, '1980_to_1990': 1, 'genredrama': 1, 'genremusic': 1, 'runtime_above_110': 1}",0.20261022461827694
46992,Hilary and Jackie,1998.0,23.0,6.5,6.3876019999999984,"['Music', 'Drama']","{'+musician+': 1, '+told+': 1, 'genredrama': 1, 'genremusic': 1, 'runtime_above_110': 1}",0.20261022461827694
52109,Love Streams,1984.0,26.0,7.4,5.0418650000000005,"['Comedy', 'Drama']","{'1980_to_1990': 1, 'genredrama': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",0.19851666679418606
4479,Les Misérables,1978.0,11.0,6.1,6.290962,"['Drama', 'History', 'Romance']","{'18th+century': 1, '1980_to_1990': 1, 'genredrama': 1, 'genrehistory': 1, 'runtime_above_110': 1}",0.19360077316559157
10954,Farinelli,1994.0,20.0,5.9,8.935058,"['History', 'Drama']","{'+opera+': 1, 'genredrama': 1, 'genrehistory': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",0.19360077316559157
37749,Looking for Mr. Goodbar,1977.0,25.0,6.8,7.637221,"['Drama', 'Thriller']","{'1980_to_1990': 1, 'genredrama': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",0.19178532059415362
185987,Black Rain,1989.0,20.0,7.1,4.227398,"['Drama', 'War']","{'1980_to_1990': 1, 'genredrama': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",0.19178532059415362
