movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
279,Amadeus,1984.0,1107.0,7.8,12.677592,"['Drama', 'History', 'Music']","{'+compose+': 1, '+confine+': 1, '+envy+': 1, '+flashback+': 1, '+god+': 1, '+italy+': 1, '+murder+': 1, '+musician+': 1, '+opera+': 1, '+peer+': 1, '+talent+': 1, '+told+': 1, '18th+century': 1, '1980_to_1990': 1, 'actorelizabethberridge': 1, 'actorfmurrayabraham': 1, 'actortomhulce': 1, 'directormilosforman': 1, 'genredrama': 1, 'genrehistory': 1, 'genremusic': 1, 'incredible+story': 1, 'insane+asylum': 1, 'marriage+crisis': 1, 'no_composer_available': 1, 'producersaulzaentz': 1, 'runtime_above_110': 1, 'screenplaypetershaffer': 1, 'vienna+austria': 1}",29.0
10654,Hair,1979.0,146.0,7.3,5.259089,"['Drama', 'Comedy', 'History', 'Music']","{'1980_to_1990': 1, 'directormilosforman': 1, 'genredrama': 1, 'genrehistory': 1, 'genremusic': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",7.0
489,Good Will Hunting,1997.0,2880.0,7.9,15.064832999999998,['Drama'],"{'+flashback+': 1, '+talent+': 1, 'genredrama': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",5.0
711,Finding Forrester,2000.0,305.0,7.0,10.536255,['Drama'],"{'+talent+': 1, 'actorfmurrayabraham': 1, 'genredrama': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",5.0
780,The Passion of Joan of Arc,1928.0,159.0,8.2,8.903953,"['Drama', 'History']","{'+god+': 1, 'genredrama': 1, 'genrehistory': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",5.0
783,Gandhi,1982.0,730.0,7.4,12.383755,"['Drama', 'History']","{'1980_to_1990': 1, 'genredrama': 1, 'genrehistory': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",5.0
1213,The Talented Mr. Ripley,1999.0,790.0,7.1,11.65502,"['Thriller', 'Crime', 'Drama']","{'+envy+': 1, '+italy+': 1, '+murder+': 1, 'genredrama': 1, 'runtime_above_110': 1}",5.0
1294,Four Minutes,2006.0,31.0,7.0,7.505997,"['Drama', 'Music']","{'+talent+': 1, 'genredrama': 1, 'genremusic': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",5.0
1394,Nostalgia,1983.0,77.0,7.5,4.235709,"['Drama', 'Romance']","{'+italy+': 1, '1980_to_1990': 1, 'genredrama': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",5.0
1421,The Man Who Loved Women,1977.0,34.0,7.1,7.6233270000000015,"['Drama', 'Comedy', 'Romance']","{'+flashback+': 1, '+told+': 1, '1980_to_1990': 1, 'genredrama': 1, 'runtime_above_110': 1}",5.0
1816,A Chorus Line,1985.0,37.0,6.1,3.998475,"['Drama', 'Music']","{'1980_to_1990': 1, 'genredrama': 1, 'genremusic': 1, 'no_composer_available': 1, 'runtime_above_110': 1}",5.0
