movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
279,Amadeus,1984.0,1107.0,7.8,12.677592,"['Drama', 'History', 'Music']","{'+compose+': 3.861, '+confine+': 3.861, '+envy+': 3.861, '+flashback+': 3.861, '+god+': 3.861, '+italy+': 3.861, '+murder+': 3.861, '+musician+': 3.861, '+opera+': 3.861, '+peer+': 3.861, '+talent+': 3.861, '+told+': 3.861, '18th+century': 3.861, '1980_to_1990': 2.0, 'actorElizabethBerridge': 1.986, 'actorFMurrayAbraham': 1.986, 'actorTomHulce': 1.986, 'directorMilošForman': 2.19, 'genreDrama': 1.665, 'genreHistory': 1.665, 'genreMusic': 1.665, 'incredible+story': 3.861, 'insane+asylum': 3.861, 'marriage+crisis': 3.861, 'no_composer_available': 1.072, 'producerSaulZaentz': 1.854, 'runtime_above_110': 1.0, 'screenplayPeterShaffer': 0.955, 'vienna+austria': 3.861}",0.9999999999999994
46992,Hilary and Jackie,1998.0,23.0,6.5,6.3876019999999984,"['Music', 'Drama']","{'+musician+': 5.967, '+told+': 5.967, 'genreDrama': 2.497, 'genreMusic': 2.497, 'runtime_above_110': 1.0}",0.15756460542117448
46445,Buddy goes West,1981.0,23.0,6.1,8.755413,"['Comedy', 'Western']","{'+compose+': 2.735, '+murder+': 2.735, '+talent+': 2.735, '1980_to_1990': 2.0, 'no_composer_available': 1.072}",0.1478552193295787
12762,Broadway Danny Rose,1984.0,104.0,7.2,5.892277,['Comedy'],"{'+flashback+': 2.984, '+talent+': 2.984, '+told+': 2.984, '1980_to_1990': 2.0}",0.14425678537510367
10917,Too Young to Die?,1990.0,18.0,5.2,9.454614,"['Crime', 'Drama']","{'+flashback+': 5.967, '+murder+': 5.967, 'genreDrama': 2.497}",0.1426106097630995
33557,Daddy and Them,2001.0,6.0,5.6,8.404739,"['Drama', 'Comedy']","{'+murder+': 5.049, '+musician+': 5.049, 'genreDrama': 2.497, 'no_composer_available': 1.072}",0.13610256856099756
30666,Stepfather II: Make Room For Daddy,1989.0,22.0,5.8,11.067992,"['Horror', 'Thriller']","{'+flashback+': 2.344, '+murder+': 2.344, '1980_to_1990': 2.0, 'insane+asylum': 2.344}",0.13288504066332002
94348,Alex Cross,2012.0,303.0,5.1,8.279285,"['Action', 'Thriller', 'Crime', 'Mystery']","{'+murder+': 5.967, '+told+': 5.967}",0.1320205807943408
1421,The Man Who Loved Women,1977.0,34.0,7.1,7.6233270000000015,"['Drama', 'Comedy', 'Romance']","{'+flashback+': 3.861, '+told+': 3.861, '1980_to_1990': 2.0, 'genreDrama': 1.665, 'runtime_above_110': 1.0}",0.13064132631412262
10161,My Left Foot: The Story of Christy Brown,1989.0,208.0,7.5,5.841931,['Drama'],"{'+flashback+': 2.525, '+told+': 2.525, '1980_to_1990': 2.0, 'genreDrama': 4.994}",0.12695037211173463
78206,Chicken with Plums,2011.0,44.0,6.8,3.78207,"['Comedy', 'Drama']","{'+flashback+': 1.989, '+musician+': 1.989, '+talent+': 1.989, 'genreDrama': 2.497}",0.12371057832050762
