movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
286217,The Martian,2015.0,7442.0,7.6,25.62993,"['Drama', 'Adventure', 'Science Fiction']","{'+alive+': 1, '+astronaut+': 1, '+battle+': 1, '+botanist+': 1, '+crew+': 1, '+deep+': 1, '+draw+': 1, '+duringcreditsstinger+': 1, '+earth+': 1, '+engine+': 1, '+fierce+': 1, '+find+': 1, '+hostile+': 1, '+ingenuity+': 1, '+isolate+': 1, '+left+': 1, '+mars+': 1, '+nasa+': 1, '+planet+': 1, '+science+': 1, '+signal+': 1, '+space+': 1, '+spaceship+': 1, '+spirit+': 1, '+storm+': 1, '+strand+': 1, '+survive+': 1, '+wit+': 1, '2010_till_now': 1, 'actorjessicachastain': 1, 'actorkristenwiig': 1, 'actormattdamon': 1, 'based+on+novel': 1, 'composerharrygregson': 1, 'directorridleyscott': 1, 'genreadventure': 1, 'genredrama': 1, 'genresciencefiction': 1, 'manned+mission': 1, 'presumed+dead': 1, 'producermarkhuffam': 1, 'producermichaelschaefer': 1, 'producerridleyscott': 1, 'producersimonkinberg': 1, 'runtime_above_110': 1, 'screenplaydrewgoddard': 1, 'williams': 1}",1.0000000000000004
365942,The Space Between Us,2017.0,564.0,7.2,11.824404,"['Romance', 'Adventure', 'Science Fiction', 'Drama']","{'+earth+': 1, '+find+': 1, '+mars+': 1, '2010_till_now': 1, 'genreadventure': 1, 'genredrama': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.2288518270762492
54320,Love,2011.0,74.0,5.4,3.760776,"['Drama', 'Science Fiction']","{'+alive+': 1, '+astronaut+': 1, '+earth+': 1, '+isolate+': 1, '+space+': 1, '+strand+': 1, '2010_till_now': 1, 'genredrama': 1, 'genresciencefiction': 1}",0.225140756973417
118340,Guardians of the Galaxy,2014.0,10014.0,7.9,53.291601,"['Action', 'Science Fiction', 'Adventure']","{'+duringcreditsstinger+': 1, '+earth+': 1, '+find+': 1, '+space+': 1, '+spaceship+': 1, '2010_till_now': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.225140756973417
126889,Alien: Covenant,2017.0,2677.0,5.7,72.884078,"['Horror', 'Science Fiction', 'Thriller']","{'+crew+': 1, '+engine+': 1, '+space+': 1, '+spaceship+': 1, '2010_till_now': 1, 'directorridleyscott': 1, 'genresciencefiction': 1, 'producermarkhuffam': 1, 'producermichaelschaefer': 1, 'producerridleyscott': 1, 'runtime_above_110': 1}",0.21441232328599888
11260,Meet Dave,2008.0,381.0,5.1,11.542926,"['Comedy', 'Science Fiction', 'Adventure', 'Family']","{'+crew+': 1, '+duringcreditsstinger+': 1, '+earth+': 1, '+planet+': 1, '+space+': 1, '+spaceship+': 1, '+survive+': 1, 'genreadventure': 1, 'genresciencefiction': 1}",0.21296183592613543
62215,Melancholia,2011.0,915.0,7.0,8.124767,"['Drama', 'Science Fiction']","{'+earth+': 1, '+find+': 1, '+planet+': 1, '2010_till_now': 1, 'genredrama': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.2084219669613948
157336,Interstellar,2014.0,11187.0,8.1,32.213481,"['Adventure', 'Drama', 'Science Fiction']","{'+astronaut+': 1, '+nasa+': 1, '+space+': 1, '+spaceship+': 1, '2010_till_now': 1, 'actorjessicachastain': 1, 'genreadventure': 1, 'genredrama': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.20227834851568371
70981,Prometheus,2012.0,5152.0,6.3,16.624854,"['Science Fiction', 'Adventure', 'Mystery']","{'+battle+': 1, '+draw+': 1, '+earth+': 1, '2010_till_now': 1, 'directorridleyscott': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'producerridleyscott': 1, 'runtime_above_110': 1}",0.2001978239850581
147441,Exodus: Gods and Kings,2014.0,1957.0,5.6,16.320249,"['Adventure', 'Drama', 'Action']","{'2010_till_now': 1, 'directorridleyscott': 1, 'genreadventure': 1, 'genredrama': 1, 'producermarkhuffam': 1, 'producermichaelschaefer': 1, 'producerridleyscott': 1, 'runtime_above_110': 1}",0.200125117309704
16320,Serenity,2005.0,1287.0,7.4,11.919995,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","{'+battle+': 1, '+crew+': 1, '+find+': 1, '+planet+': 1, '+space+': 1, '+spaceship+': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.19790977371009408
