movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
286217,The Martian,2015.0,7442.0,7.6,25.62993,"['Drama', 'Adventure', 'Science Fiction']","{'+alive+': 1, '+astronaut+': 1, '+battle+': 1, '+botanist+': 1, '+crew+': 1, '+deep+': 1, '+draw+': 1, '+duringcreditsstinger+': 1, '+earth+': 1, '+engine+': 1, '+fierce+': 1, '+find+': 1, '+hostile+': 1, '+ingenuity+': 1, '+isolate+': 1, '+left+': 1, '+mars+': 1, '+nasa+': 1, '+planet+': 1, '+science+': 1, '+signal+': 1, '+space+': 1, '+spaceship+': 1, '+spirit+': 1, '+storm+': 1, '+strand+': 1, '+survive+': 1, '+wit+': 1, '2010_till_now': 1, 'actorjessicachastain': 1, 'actorkristenwiig': 1, 'actormattdamon': 1, 'based+on+novel': 1, 'composerharrygregson': 1, 'directorridleyscott': 1, 'genreadventure': 1, 'genredrama': 1, 'genresciencefiction': 1, 'manned+mission': 1, 'presumed+dead': 1, 'producermarkhuffam': 1, 'producermichaelschaefer': 1, 'producerridleyscott': 1, 'producersimonkinberg': 1, 'runtime_above_110': 1, 'screenplaydrewgoddard': 1, 'williams': 1}",47.0
126889,Alien: Covenant,2017.0,2677.0,5.7,72.884078,"['Horror', 'Science Fiction', 'Thriller']","{'+crew+': 1, '+engine+': 1, '+space+': 1, '+spaceship+': 1, '2010_till_now': 1, 'directorridleyscott': 1, 'genresciencefiction': 1, 'producermarkhuffam': 1, 'producermichaelschaefer': 1, 'producerridleyscott': 1, 'runtime_above_110': 1}",11.0
157336,Interstellar,2014.0,11187.0,8.1,32.213481,"['Adventure', 'Drama', 'Science Fiction']","{'+astronaut+': 1, '+nasa+': 1, '+space+': 1, '+spaceship+': 1, '2010_till_now': 1, 'actorjessicachastain': 1, 'genreadventure': 1, 'genredrama': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",10.0
275619,Age of Tomorrow,2014.0,24.0,2.9,4.909894,"['Thriller', 'Science Fiction', 'Action']","{'+astronaut+': 1, '+battle+': 1, '+earth+': 1, '+hostile+': 1, '+left+': 1, '+planet+': 1, '+science+': 1, '+survive+': 1, '2010_till_now': 1, 'genresciencefiction': 1}",10.0
95,Armageddon,1998.0,2540.0,6.5,13.235112,"['Action', 'Thriller', 'Science Fiction', 'Adventure']","{'+astronaut+': 1, '+crew+': 1, '+duringcreditsstinger+': 1, '+earth+': 1, '+nasa+': 1, '+space+': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",9.0
11260,Meet Dave,2008.0,381.0,5.1,11.542926,"['Comedy', 'Science Fiction', 'Adventure', 'Family']","{'+crew+': 1, '+duringcreditsstinger+': 1, '+earth+': 1, '+planet+': 1, '+space+': 1, '+spaceship+': 1, '+survive+': 1, 'genreadventure': 1, 'genresciencefiction': 1}",9.0
11864,Enemy Mine,1985.0,253.0,6.7,9.802889,"['Drama', 'Science Fiction']","{'+battle+': 1, '+earth+': 1, '+find+': 1, '+hostile+': 1, '+planet+': 1, '+strand+': 1, '+survive+': 1, 'genredrama': 1, 'genresciencefiction': 1}",9.0
16320,Serenity,2005.0,1287.0,7.4,11.919995,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","{'+battle+': 1, '+crew+': 1, '+find+': 1, '+planet+': 1, '+space+': 1, '+spaceship+': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",9.0
44833,Battleship,2012.0,2141.0,5.5,13.106966,"['Thriller', 'Action', 'Adventure', 'Science Fiction']","{'+hostile+': 1, '+planet+': 1, '+signal+': 1, '+space+': 1, '+survive+': 1, '2010_till_now': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",9.0
54320,Love,2011.0,74.0,5.4,3.760776,"['Drama', 'Science Fiction']","{'+alive+': 1, '+astronaut+': 1, '+earth+': 1, '+isolate+': 1, '+space+': 1, '+strand+': 1, '2010_till_now': 1, 'genredrama': 1, 'genresciencefiction': 1}",9.0
70981,Prometheus,2012.0,5152.0,6.3,16.624854,"['Science Fiction', 'Adventure', 'Mystery']","{'+battle+': 1, '+draw+': 1, '+earth+': 1, '2010_till_now': 1, 'directorridleyscott': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'producerridleyscott': 1, 'runtime_above_110': 1}",9.0
