movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
49026,The Dark Knight Rises,2012.0,9263.0,7.6,20.58258,"['Action', 'Crime', 'Drama', 'Thriller']","{'+attorney+': 1, '+batman+': 1, '+brand+': 1, '+burglar+': 1, '+catwoman+': 1, '+city+': 1, '+crime+': 1, '+curse+': 1, '+dark+': 1, '+death+': 1, '+destructs+': 1, '+enemy+': 1, '+flood+': 1, '+follow+': 1, '+hunt+': 1, '+imax+': 1, '+knight+': 1, '+late+': 1, '+leader+': 1, '+protect+': 1, '+reputation+': 1, '+superhero+': 1, '+terror+': 1, '+terrorist+': 1, '+vigilante+': 1, '+villain+': 1, '+villainess+': 1, '2010_till_now': 1, 'actorchristianbale': 1, 'actorgaryoldman': 1, 'actormichaelcaine': 1, 'cat+burglar': 1, 'composerhanszimmer': 1, 'crime+fighter': 1, 'criminal+underworld': 1, 'dc+comics': 1, 'directorchristophernolan': 1, 'genreaction': 1, 'genrecrime': 1, 'genredrama': 1, 'genrethriller': 1, 'gotham+city': 1, 'hostage+drama': 1, 'producercharlesroven': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'screenplaychristophernolan': 1, 'screenplayjonathannolan': 1, 'secret+identity': 1, 'time+bomb': 1, 'tragic+hero': 1}",52.0
155,The Dark Knight,2008.0,12269.0,8.3,123.167259,"['Drama', 'Action', 'Crime', 'Thriller']","{'+batman+': 1, '+crime+': 1, '+imax+': 1, '+superhero+': 1, '+vigilante+': 1, 'actorchristianbale': 1, 'actormichaelcaine': 1, 'composerhanszimmer': 1, 'crime+fighter': 1, 'dc+comics': 1, 'directorchristophernolan': 1, 'genreaction': 1, 'genrecrime': 1, 'genredrama': 1, 'genrethriller': 1, 'gotham+city': 1, 'producercharlesroven': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'screenplaychristophernolan': 1, 'screenplayjonathannolan': 1, 'secret+identity': 1, 'tragic+hero': 1}",24.0
272,Batman Begins,2005.0,7511.0,7.5,28.505341,"['Action', 'Crime', 'Drama']","{'+batman+': 1, '+crime+': 1, '+superhero+': 1, '+vigilante+': 1, 'actorchristianbale': 1, 'actormichaelcaine': 1, 'composerhanszimmer': 1, 'crime+fighter': 1, 'criminal+underworld': 1, 'dc+comics': 1, 'directorchristophernolan': 1, 'genreaction': 1, 'genrecrime': 1, 'genredrama': 1, 'gotham+city': 1, 'producercharlesroven': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'screenplaychristophernolan': 1, 'secret+identity': 1, 'tragic+hero': 1}",21.0
1124,The Prestige,2006.0,4510.0,8.0,16.94556,"['Drama', 'Mystery', 'Thriller']","{'actorchristianbale': 1, 'actormichaelcaine': 1, 'directorchristophernolan': 1, 'genredrama': 1, 'genrethriller': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'screenplaychristophernolan': 1, 'screenplayjonathannolan': 1}",10.0
364,Batman Returns,1992.0,1706.0,6.6,15.001681,"['Action', 'Fantasy']","{'+catwoman+': 1, '+city+': 1, '+superhero+': 1, '+vigilante+': 1, 'crime+fighter': 1, 'dc+comics': 1, 'genreaction': 1, 'gotham+city': 1, 'runtime_above_110': 1}",9.0
11660,Following,1998.0,363.0,7.2,5.283661,"['Crime', 'Drama', 'Thriller']","{'+burglar+': 1, '+follow+': 1, 'directorchristophernolan': 1, 'genrecrime': 1, 'genredrama': 1, 'genrethriller': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'screenplaychristophernolan': 1}",9.0
27205,Inception,2010.0,14075.0,8.1,29.108149,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']","{'2010_till_now': 1, 'composerhanszimmer': 1, 'directorchristophernolan': 1, 'genreaction': 1, 'genrethriller': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1, 'screenplaychristophernolan': 1}",9.0
34769,Defendor,2009.0,197.0,6.5,5.600276999999998,"['Drama', 'Action', 'Comedy', 'Crime']","{'+city+': 1, '+protect+': 1, '+superhero+': 1, '+vigilante+': 1, 'crime+fighter': 1, 'criminal+underworld': 1, 'genreaction': 1, 'genrecrime': 1, 'genredrama': 1}",9.0
49521,Man of Steel,2013.0,6462.0,6.5,18.538834,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","{'+superhero+': 1, '2010_till_now': 1, 'composerhanszimmer': 1, 'dc+comics': 1, 'genreaction': 1, 'producercharlesroven': 1, 'producerchristophernolan': 1, 'produceremmathomas': 1, 'runtime_above_110': 1}",9.0
209112,Batman v Superman: Dawn of Justice,2016.0,7189.0,5.7,31.435879,"['Action', 'Adventure', 'Fantasy']","{'+superhero+': 1, '+vigilante+': 1, '2010_till_now': 1, 'composerhanszimmer': 1, 'dc+comics': 1, 'genreaction': 1, 'gotham+city': 1, 'producercharlesroven': 1, 'runtime_above_110': 1}",9.0
268,Batman,1989.0,2145.0,7.0,19.10673,"['Fantasy', 'Action']","{'+crime+': 1, '+enemy+': 1, '+superhero+': 1, 'crime+fighter': 1, 'dc+comics': 1, 'genreaction': 1, 'gotham+city': 1, 'runtime_above_110': 1}",8.0
