movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
49026,The Dark Knight Rises,2012.0,9263.0,7.6,20.58258,"['Action', 'Crime', 'Drama', 'Thriller']","{'+attorney+': 0.149, '+batman+': 0.163, '+brand+': 0.147, '+burglar+': 0.15, '+catwoman+': 0.188, '+city+': 0.095, '+crime+': 0.101, '+curse+': 0.132, '+dark+': 0.109, '+death+': 0.086, '+destructs+': 0.132, '+enemy+': 0.12, '+flood+': 0.143, '+follow+': 0.095, '+hunt+': 0.112, '+imax+': 0.153, '+knight+': 0.141, '+late+': 0.124, '+leader+': 0.116, '+protect+': 0.106, '+reputation+': 0.138, '+superhero+': 0.116, '+terror+': 0.107, '+terrorist+': 0.119, '+vigilante+': 0.14, '+villain+': 0.126, '+villainess+': 0.184, '2010_till_now': 0.045, 'actorchristianbale': 0.15, 'actorgaryoldman': 0.147, 'actormichaelcaine': 0.14, 'cat+burglar': 0.193, 'composerhanszimmer': 0.127, 'crime+fighter': 0.157, 'criminal+underworld': 0.184, 'dc+comics': 0.136, 'directorchristophernolan': 0.169, 'genreaction': 0.054, 'genrecrime': 0.063, 'genredrama': 0.037, 'genrethriller': 0.05, 'gotham+city': 0.166, 'hostage+drama': 0.173, 'producercharlesroven': 0.15, 'producerchristophernolan': 0.175, 'produceremmathomas': 0.171, 'runtime_above_110': 0.046, 'screenplaychristophernolan': 0.178, 'screenplayjonathannolan': 0.193, 'secret+identity': 0.139, 'time+bomb': 0.188, 'tragic+hero': 0.173}",1.0
155,The Dark Knight,2008.0,12269.0,8.3,123.167259,"['Drama', 'Action', 'Crime', 'Thriller']","{'+batman+': 0.152, '+crime+': 0.094, '+imax+': 0.142, '+superhero+': 0.108, '+vigilante+': 0.13, 'actorchristianbale': 0.14, 'actormichaelcaine': 0.131, 'composerhanszimmer': 0.118, 'crime+fighter': 0.146, 'dc+comics': 0.126, 'directorchristophernolan': 0.157, 'genreaction': 0.05, 'genrecrime': 0.059, 'genredrama': 0.035, 'genrethriller': 0.046, 'gotham+city': 0.154, 'producercharlesroven': 0.14, 'producerchristophernolan': 0.163, 'produceremmathomas': 0.159, 'runtime_above_110': 0.043, 'screenplaychristophernolan': 0.166, 'screenplayjonathannolan': 0.179, 'secret+identity': 0.129, 'tragic+hero': 0.161}",0.4321881677804155
272,Batman Begins,2005.0,7511.0,7.5,28.505341,"['Action', 'Crime', 'Drama']","{'+batman+': 0.153, '+crime+': 0.095, '+superhero+': 0.109, '+vigilante+': 0.131, 'actorchristianbale': 0.141, 'actormichaelcaine': 0.132, 'composerhanszimmer': 0.119, 'crime+fighter': 0.148, 'criminal+underworld': 0.173, 'dc+comics': 0.127, 'directorchristophernolan': 0.159, 'genreaction': 0.05, 'genrecrime': 0.059, 'genredrama': 0.035, 'gotham+city': 0.156, 'producercharlesroven': 0.141, 'produceremmathomas': 0.161, 'runtime_above_110': 0.043, 'screenplaychristophernolan': 0.167, 'secret+identity': 0.13, 'tragic+hero': 0.163}",0.3798930052600444
1124,The Prestige,2006.0,4510.0,8.0,16.94556,"['Drama', 'Mystery', 'Thriller']","{'actorchristianbale': 0.181, 'actormichaelcaine': 0.169, 'directorchristophernolan': 0.204, 'genredrama': 0.045, 'genrethriller': 0.06, 'producerchristophernolan': 0.212, 'produceremmathomas': 0.207, 'runtime_above_110': 0.056, 'screenplaychristophernolan': 0.215, 'screenplayjonathannolan': 0.233}",0.24850986313601092
11660,Following,1998.0,363.0,7.2,5.283661,"['Crime', 'Drama', 'Thriller']","{'+burglar+': 0.206, '+follow+': 0.13, 'directorchristophernolan': 0.232, 'genrecrime': 0.087, 'genredrama': 0.051, 'genrethriller': 0.068, 'producerchristophernolan': 0.24, 'produceremmathomas': 0.234, 'screenplaychristophernolan': 0.244}",0.2189337430703368
27205,Inception,2010.0,14075.0,8.1,29.108149,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']","{'2010_till_now': 0.055, 'composerhanszimmer': 0.154, 'directorchristophernolan': 0.204, 'genreaction': 0.065, 'genrethriller': 0.06, 'producerchristophernolan': 0.212, 'produceremmathomas': 0.207, 'runtime_above_110': 0.056, 'screenplaychristophernolan': 0.215}",0.17644887334180157
49521,Man of Steel,2013.0,6462.0,6.5,18.538834,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","{'+superhero+': 0.138, '2010_till_now': 0.054, 'composerhanszimmer': 0.151, 'dc+comics': 0.161, 'genreaction': 0.064, 'producercharlesroven': 0.178, 'producerchristophernolan': 0.208, 'produceremmathomas': 0.203, 'runtime_above_110': 0.055}",0.16347141238177015
34769,Defendor,2009.0,197.0,6.5,5.600276999999998,"['Drama', 'Action', 'Comedy', 'Crime']","{'+city+': 0.116, '+protect+': 0.129, '+superhero+': 0.141, '+vigilante+': 0.17, 'crime+fighter': 0.191, 'criminal+underworld': 0.224, 'genreaction': 0.065, 'genrecrime': 0.077, 'genredrama': 0.046}",0.14621681729400393
364,Batman Returns,1992.0,1706.0,6.6,15.001681,"['Action', 'Fantasy']","{'+catwoman+': 0.177, '+city+': 0.09, '+superhero+': 0.11, '+vigilante+': 0.132, 'crime+fighter': 0.148, 'dc+comics': 0.128, 'genreaction': 0.05, 'gotham+city': 0.156, 'runtime_above_110': 0.043}",0.14421281458368315
268,Batman,1989.0,2145.0,7.0,19.10673,"['Fantasy', 'Action']","{'+crime+': 0.126, '+enemy+': 0.149, '+superhero+': 0.144, 'crime+fighter': 0.195, 'dc+comics': 0.168, 'genreaction': 0.067, 'gotham+city': 0.206, 'runtime_above_110': 0.057}",0.14120560315635328
157336,Interstellar,2014.0,11187.0,8.1,32.213481,"['Adventure', 'Drama', 'Science Fiction']","{'+imax+': 0.152, '2010_till_now': 0.045, 'composerhanszimmer': 0.127, 'directorchristophernolan': 0.169, 'genredrama': 0.037, 'producerchristophernolan': 0.175, 'produceremmathomas': 0.171, 'runtime_above_110': 0.046}",0.13347660374970824
