movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
4951,10 Things I Hate About You,1999.0,1768.0,7.3,12.069966,"['Comedy', 'Romance', 'Drama']","{'+adapt+': 1, '+allowed+': 1, '+archery+': 1, '+bitter+': 1, '+boy+': 1, '+boyfriend+': 1, '+cannabis+': 1, '+cat+': 1, '+deception+': 1, '+duringcreditsstinger+': 1, '+eager+': 1, '+eye+': 1, '+guy+': 1, '+kid+': 1, '+play+': 1, '+problem+': 1, '+shakespeare+': 1, '+shrew+': 1, '+sister+': 1, '+town+': 1, '+wrong+': 1, '1990_to_2000': 1, 'actorheathledger': 1, 'actorjosephgordon': 1, 'actorjuliastiles': 1, 'composerrichardgibbs': 1, 'directorgiljunger': 1, 'feel': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'good+ending': 1, 'high+school': 1, 'levitt': 1, 'opposites+attract': 1, 'overprotective+father': 1, 'producerandrewlazar': 1, 'runtime_under_100': 1, 'teen+movie': 1, 'teenage+romance': 1}",1.0000000000000004
38366,The Cyclone,1996.0,129.0,6.6,4.815947,"['Romance', 'Drama', 'Comedy']","{'1990_to_2000': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_under_100': 1}",0.2383656473113981
138697,Don Jon,2013.0,1708.0,5.9,10.948605,"['Romance', 'Comedy', 'Drama']","{'+guy+': 1, 'actorjosephgordon': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'levitt': 2, 'runtime_under_100': 1}",0.20795009796401454
14422,Birds of America,2008.0,22.0,5.9,3.87449,"['Comedy', 'Drama']","{'+guy+': 1, '+sister+': 1, '+town+': 1, 'genrecomedy': 1, 'genredrama': 1, 'runtime_under_100': 1}",0.20225995873897257
73108,Teen Spirit,2011.0,81.0,5.5,5.641483,"['Drama', 'Fantasy', 'Comedy']","{'+allowed+': 1, 'directorgiljunger': 1, 'genrecomedy': 1, 'genredrama': 1, 'high+school': 1, 'runtime_under_100': 1}",0.20225995873897257
84333,Save the Date,2012.0,49.0,6.1,3.687905,"['Comedy', 'Romance']","{'+boyfriend+': 1, '+guy+': 1, '+sister+': 1, 'genrecomedy': 1, 'genreromance': 1, 'runtime_under_100': 1}",0.20225995873897257
11634,Show Me Love,1998.0,134.0,7.1,10.58342,"['Comedy', 'Romance', 'Drama']","{'+guy+': 1, '+town+': 1, '1990_to_2000': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_under_100': 1, 'teen+movie': 1}",0.19518001458970666
16270,Career Opportunities,1991.0,46.0,5.9,11.718412,"['Drama', 'Comedy', 'Romance']","{'+problem+': 1, '+town+': 1, '1990_to_2000': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_under_100': 1}",0.18708286933869706
9821,The Mighty,1998.0,51.0,7.1,6.78844,"['Comedy', 'Drama']","{'+adapt+': 1, '+allowed+': 1, '+boy+': 1, '+guy+': 1, '+town+': 1, '1990_to_2000': 1, 'genrecomedy': 1, 'genredrama': 1}",0.1865009616480628
4104,Benny & Joon,1993.0,220.0,6.9,10.597116,"['Comedy', 'Drama', 'Romance']","{'1990_to_2000': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_under_100': 1}",0.1863389981249825
32456,Two Girls and a Guy,1997.0,25.0,5.4,4.967667,"['Drama', 'Romance']","{'+boyfriend+': 1, '1990_to_2000': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_under_100': 1}",0.1863389981249825
