movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
4951,10 Things I Hate About You,1999.0,1768.0,7.3,12.069966,"['Comedy', 'Romance', 'Drama']","{'+adapt+': 1, '+allowed+': 1, '+archery+': 1, '+bitter+': 1, '+boy+': 1, '+boyfriend+': 1, '+cannabis+': 1, '+cat+': 1, '+deception+': 1, '+duringcreditsstinger+': 1, '+eager+': 1, '+eye+': 1, '+guy+': 1, '+kid+': 1, '+play+': 1, '+problem+': 1, '+shakespeare+': 1, '+shrew+': 1, '+sister+': 1, '+town+': 1, '+wrong+': 1, '1990_to_2000': 1, 'actorheathledger': 1, 'actorjosephgordon': 1, 'actorjuliastiles': 1, 'composerrichardgibbs': 1, 'directorgiljunger': 1, 'feel': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'good+ending': 1, 'high+school': 1, 'levitt': 1, 'opposites+attract': 1, 'overprotective+father': 1, 'producerandrewlazar': 1, 'runtime_under_100': 1, 'teen+movie': 1, 'teenage+romance': 1}",40.0
9821,The Mighty,1998.0,51.0,7.1,6.78844,"['Comedy', 'Drama']","{'+adapt+': 1, '+allowed+': 1, '+boy+': 1, '+guy+': 1, '+town+': 1, '1990_to_2000': 1, 'genrecomedy': 1, 'genredrama': 1}",8.0
11634,Show Me Love,1998.0,134.0,7.1,10.58342,"['Comedy', 'Romance', 'Drama']","{'+guy+': 1, '+town+': 1, '1990_to_2000': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_under_100': 1, 'teen+movie': 1}",8.0
83666,Moonrise Kingdom,2012.0,1701.0,7.6,8.692433,"['Comedy', 'Drama', 'Romance']","{'+boy+': 1, '+duringcreditsstinger+': 1, '+eye+': 1, '+town+': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_under_100': 1}",8.0
138697,Don Jon,2013.0,1708.0,5.9,10.948605,"['Romance', 'Comedy', 'Drama']","{'+guy+': 1, 'actorjosephgordon': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'levitt': 2, 'runtime_under_100': 1}",8.0
16270,Career Opportunities,1991.0,46.0,5.9,11.718412,"['Drama', 'Comedy', 'Romance']","{'+problem+': 1, '+town+': 1, '1990_to_2000': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_under_100': 1}",7.0
19913,(500) Days of Summer,2009.0,2993.0,7.2,16.376657,"['Comedy', 'Drama', 'Romance']","{'+sister+': 1, 'actorjosephgordon': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'levitt': 1, 'runtime_under_100': 1}",7.0
20737,Air Bud,1997.0,108.0,5.3,9.407128,"['Comedy', 'Family', 'Drama']","{'+kid+': 1, '+play+': 1, '+town+': 1, '1990_to_2000': 1, 'genrecomedy': 1, 'genredrama': 1, 'runtime_under_100': 1}",7.0
46227,Susie Q,1996.0,8.0,3.9,3.882923,"['Comedy', 'Drama', 'Family', 'Mystery', 'TV Movie']","{'+boyfriend+': 1, '+sister+': 1, '1990_to_2000': 1, 'genrecomedy': 1, 'genredrama': 1, 'high+school': 1, 'runtime_under_100': 1}",7.0
2098,Viva Las Vegas,1964.0,28.0,5.7,6.363489,"['Comedy', 'Drama', 'Music', 'Romance']","{'+problem+': 1, '+town+': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_under_100': 1}",6.0
4043,Law of Desire,1987.0,37.0,7.2,12.009833,"['Comedy', 'Drama', 'Romance']","{'+boyfriend+': 1, '+play+': 1, '+sister+': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1}",6.0
