movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
4951,10 Things I Hate About You,1999.0,1768.0,7.3,12.069966,"['Comedy', 'Romance', 'Drama']","{'+adapt+': 2.431, '+allowed+': 2.431, '+archery+': 2.431, '+bitter+': 2.431, '+boy+': 2.431, '+boyfriend+': 2.431, '+cannabis+': 2.431, '+cat+': 2.431, '+deception+': 2.431, '+duringcreditsstinger+': 2.431, '+eager+': 2.431, '+eye+': 2.431, '+guy+': 2.431, '+kid+': 2.431, '+play+': 2.431, '+problem+': 2.431, '+shakespeare+': 2.431, '+shrew+': 2.431, '+sister+': 2.431, '+town+': 2.431, '+wrong+': 2.431, '1990_to_2000': 2.0, 'actorHeathLedger': 1.986, 'actorJosephGordon-Levitt': 1.986, 'actorJuliaStiles': 1.986, 'composerRichardGibbs': 1.072, 'directorGilJunger': 2.19, 'feel-good+ending': 2.431, 'genreComedy': 1.665, 'genreDrama': 1.665, 'genreRomance': 1.665, 'high+school': 2.431, 'opposites+attract': 2.431, 'overprotective+father': 2.431, 'producerAndrewLazar': 1.854, 'runtime_under_100': 1.0, 'teen+movie': 2.431, 'teenage+romance': 2.431}",0.9999999999999997
9821,The Mighty,1998.0,51.0,7.1,6.78844,"['Comedy', 'Drama']","{'+adapt+': 1.931, '+allowed+': 1.931, '+boy+': 1.931, '+guy+': 1.931, '+town+': 1.931, '1990_to_2000': 2.0, 'genreComedy': 2.497, 'genreDrama': 2.497}",0.20017607067824034
84333,Save the Date,2012.0,49.0,6.1,3.687905,"['Comedy', 'Romance']","{'+boyfriend+': 5.47, '+guy+': 5.47, '+sister+': 5.47, 'genreComedy': 2.497, 'genreRomance': 2.497, 'runtime_under_100': 1.0}",0.1770998313491768
14422,Birds of America,2008.0,22.0,5.9,3.87449,"['Comedy', 'Drama']","{'+guy+': 5.049, '+sister+': 5.049, '+town+': 5.049, 'genreComedy': 2.497, 'genreDrama': 2.497, 'runtime_under_100': 1.0}",0.1729445049968775
38366,The Cyclone,1996.0,129.0,6.6,4.815947,"['Romance', 'Drama', 'Comedy']","{'1990_to_2000': 2.0, 'genreComedy': 1.665, 'genreDrama': 1.665, 'genreRomance': 1.665, 'runtime_under_100': 1.0}",0.1626220069042608
9377,Ferris Bueller's Day Off,1986.0,1340.0,7.5,12.724645,['Comedy'],"{'+duringcreditsstinger+': 10.94, 'genreComedy': 4.994, 'high+school': 10.94}",0.15925421284151384
11634,Show Me Love,1998.0,134.0,7.1,10.58342,"['Comedy', 'Romance', 'Drama']","{'+guy+': 2.188, '+town+': 2.188, '1990_to_2000': 2.0, 'genreComedy': 1.665, 'genreDrama': 1.665, 'genreRomance': 1.665, 'runtime_under_100': 1.0, 'teen+movie': 2.188}",0.15700764181537544
12723,Inventing the Abbotts,1997.0,43.0,6.4,5.063701,"['Drama', 'Romance']","{'+sister+': 2.626, '+town+': 2.626, '+wrong+': 2.626, '1990_to_2000': 2.0, 'genreDrama': 2.497, 'genreRomance': 2.497}",0.15596610187127968
252680,Moms' Night Out,2014.0,122.0,5.5,6.1273019999999985,['Comedy'],"{'+duringcreditsstinger+': 3.861, '+kid+': 3.861, '+wrong+': 3.861, 'genreComedy': 4.994, 'runtime_under_100': 1.0}",0.15565114854818352
9293,John Tucker Must Die,2006.0,375.0,5.9,7.810300999999999,['Comedy'],"{'+guy+': 3.282, '+town+': 3.282, 'composerRichardGibbs': 1.072, 'genreComedy': 4.994, 'high+school': 3.282, 'runtime_under_100': 1.0}",0.15144646109853005
170687,The Boxtrolls,2014.0,689.0,6.6,11.563909,"['Animation', 'Comedy', 'Family', 'Fantasy']","{'+boy+': 5.049, '+duringcreditsstinger+': 5.049, '+town+': 5.049, 'genreComedy': 1.249, 'runtime_under_100': 1.0}",0.15090812184708133
