movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
4951,10 Things I Hate About You,1999.0,1768.0,7.3,12.069966,"['Comedy', 'Romance', 'Drama']","{'+adapt+': 0.142, '+allowed+': 0.169, '+archery+': 0.202, '+bitter+': 0.162, '+boy+': 0.11, '+boyfriend+': 0.133, '+cannabis+': 0.197, '+cat+': 0.136, '+deception+': 0.158, '+duringcreditsstinger+': 0.108, '+eager+': 0.176, '+eye+': 0.127, '+guy+': 0.133, '+kid+': 0.122, '+play+': 0.116, '+problem+': 0.129, '+shakespeare+': 0.174, '+shrew+': 0.222, '+sister+': 0.117, '+town+': 0.107, '+wrong+': 0.137, '1990_to_2000': 0.072, 'actorheathledger': 0.187, 'actorjosephgordon': 0.182, 'actorjuliastiles': 0.194, 'composerrichardgibbs': 0.194, 'directorgiljunger': 0.202, 'feel': 0.222, 'genrecomedy': 0.051, 'genredrama': 0.043, 'genreromance': 0.069, 'good+ending': 0.222, 'high+school': 0.123, 'levitt': 0.182, 'opposites+attract': 0.194, 'overprotective+father': 0.212, 'producerandrewlazar': 0.186, 'runtime_under_100': 0.044, 'teen+movie': 0.168, 'teenage+romance': 0.186}",0.9999999999999997
10414,The Mighty Ducks,1992.0,203.0,6.4,6.113646,"['Comedy', 'Family']","{'+eager+': 0.174, '+kid+': 0.12, '1990_to_2000': 0.07, 'feel': 0.218, 'genrecomedy': 0.05, 'good+ending': 0.218}",0.14973414466094007
138697,Don Jon,2013.0,1708.0,5.9,10.948605,"['Romance', 'Comedy', 'Drama']","{'+guy+': 0.139, 'actorjosephgordon': 0.189, 'genrecomedy': 0.053, 'genredrama': 0.045, 'genreromance': 0.071, 'levitt': 0.379, 'runtime_under_100': 0.046}",0.1333337796891271
73108,Teen Spirit,2011.0,81.0,5.5,5.641483,"['Drama', 'Fantasy', 'Comedy']","{'+allowed+': 0.239, 'directorgiljunger': 0.284, 'genrecomedy': 0.072, 'genredrama': 0.061, 'high+school': 0.174, 'runtime_under_100': 0.062}",0.12817723006556808
24795,Angels in the Outfield,1994.0,124.0,5.7,10.892812,"['Fantasy', 'Drama', 'Comedy', 'Family']","{'+problem+': 0.17, '1990_to_2000': 0.094, 'actorjosephgordon': 0.239, 'genrecomedy': 0.067, 'genredrama': 0.057, 'levitt': 0.239}",0.12140792219872859
49526,Premium Rush,2012.0,848.0,6.2,5.6547839999999985,"['Crime', 'Action', 'Thriller']","{'+duringcreditsstinger+': 0.146, 'actorjosephgordon': 0.245, 'levitt': 0.245, 'runtime_under_100': 0.059}",0.10762527288567686
56272,Elektra Luxx,2010.0,49.0,4.7,4.1186989999999986,"['Action', 'Comedy', 'Drama']","{'+sister+': 0.142, 'actorjosephgordon': 0.22, 'genrecomedy': 0.062, 'genredrama': 0.052, 'levitt': 0.22, 'runtime_under_100': 0.053}",0.10430081929075606
9270,Brick,2005.0,366.0,6.8,9.00314,"['Drama', 'Mystery']","{'actorjosephgordon': 0.22, 'genredrama': 0.052, 'high+school': 0.149, 'levitt': 0.22}",0.1007245772675087
9293,John Tucker Must Die,2006.0,375.0,5.9,7.810300999999999,['Comedy'],"{'+guy+': 0.15, '+town+': 0.121, 'composerrichardgibbs': 0.22, 'genrecomedy': 0.058, 'high+school': 0.14, 'runtime_under_100': 0.05}",0.09807844605806523
355338,Riley's First Date?,2015.0,188.0,7.2,6.051285,"['Animation', 'Family']","{'+boy+': 0.137, '+boyfriend+': 0.165, 'overprotective+father': 0.264, 'runtime_under_100': 0.055}",0.0951922870266302
40807,50/50,2011.0,1287.0,7.0,11.869481,"['Comedy', 'Drama']","{'+guy+': 0.142, 'actorjosephgordon': 0.194, 'genrecomedy': 0.054, 'genredrama': 0.046, 'levitt': 0.194}",0.09398789071416928
