movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
508,Love Actually,2003.0,1917.0,7.0,10.586815,"['Comedy', 'Romance', 'Drama']","{'+affect+': 1, '+christmas+': 1, '+develop+': 1, '+draw+': 1, '+fall+': 1, '+intertwine+': 1, '+live+': 1, '+love+': 1, '+marseille+': 1, '+office+': 1, '2000_to_2010': 1, 'actoremmathompson': 1, 'actorheikemakatsch': 1, 'actorkeiraknightley': 1, 'bars+and+restaurants': 1, 'christmas+party': 1, 'composercraigarmstrong': 1, 'directorrichardcurtis': 1, 'female+nudity': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'language+barrier': 1, 'london+england': 1, 'love+at+first+sight': 1, 'male+nudity': 1, 'marriage+proposal': 1, 'metal+detector': 1, 'multiple+storylines': 1, 'press+conference': 1, 'prime+minister': 1, 'producerduncankenworthy': 1, 'producerericfellner': 1, 'producertimbevan': 1, 'rock+star': 1, 'runtime_above_110': 1, 'school+performance': 1, 'screenplayrichardcurtis': 1, 'tv+show': 1, 'usa+president': 1, 'war+on+terror': 1}",1.0000000000000004
634,Bridget Jones's Diary,2001.0,1397.0,6.6,10.780524,"['Comedy', 'Romance', 'Drama']","{'+christmas+': 1, '2000_to_2010': 1, 'christmas+party': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'london+england': 1, 'producerericfellner': 1, 'producertimbevan': 1, 'screenplayrichardcurtis': 1}",0.25334729596907
266856,The Theory of Everything,2014.0,3403.0,7.8,11.85302,"['Drama', 'Romance']","{'+fall+': 1, '+live+': 1, '+love+': 1, 'genredrama': 1, 'genreromance': 1, 'producerericfellner': 1, 'producertimbevan': 1, 'runtime_above_110': 1}",0.22810637940488038
1722,Captain Corelli's Mandolin,2001.0,146.0,5.6,9.243715,"['Drama', 'History', 'Romance']","{'+fall+': 1, '+love+': 1, '+office+': 1, '2000_to_2010': 1, 'genredrama': 1, 'genreromance': 1, 'producerericfellner': 1, 'producertimbevan': 1, 'runtime_above_110': 1}",0.228012566372163
4348,Pride & Prejudice,2005.0,1406.0,7.8,14.439082999999998,"['Drama', 'Romance']","{'+live+': 1, '+love+': 1, '2000_to_2010': 1, 'actorkeiraknightley': 1, 'genredrama': 1, 'genreromance': 1, 'producerericfellner': 1, 'producertimbevan': 1, 'runtime_above_110': 1}",0.22507034547615987
4347,Atonement,2007.0,1075.0,7.4,8.913338000000003,"['Drama', 'Romance']","{'+live+': 1, '2000_to_2010': 1, 'actorkeiraknightley': 1, 'genredrama': 1, 'genreromance': 1, 'producerericfellner': 1, 'producertimbevan': 1, 'runtime_above_110': 1}",0.22439708538128578
1809,The Rules of Attraction,2002.0,170.0,6.3,6.781935000000002,"['Comedy', 'Drama', 'Romance']","{'+love+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'multiple+storylines': 1, 'runtime_above_110': 1}",0.22315184957216838
14072,Rab Ne Bana Di Jodi,2008.0,64.0,6.7,4.001251,"['Comedy', 'Drama', 'Romance']","{'+fall+': 1, '+love+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_above_110': 1}",0.22315184957216838
14752,Dil Chahta Hai,2001.0,71.0,7.1,4.558793,"['Drama', 'Romance']","{'+fall+': 1, '+love+': 1, '2000_to_2010': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_above_110': 1}",0.2208630521496931
712,Four Weddings and a Funeral,1994.0,654.0,6.6,8.990345,"['Comedy', 'Drama', 'Romance']","{'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'love+at+first+sight': 1, 'marriage+proposal': 1, 'producerduncankenworthy': 1, 'runtime_above_110': 1, 'screenplayrichardcurtis': 1}",0.21749089913081482
24446,Holiday in Handcuffs,2007.0,52.0,6.2,9.267314,"['TV Movie', 'Comedy', 'Romance', 'Family']","{'+christmas+': 1, '+fall+': 1, '+love+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'genreromance': 1, 'runtime_above_110': 1}",0.2103895814224009
