movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
508,Love Actually,2003.0,1917.0,7.0,10.586815,"['Comedy', 'Romance', 'Drama']","{'+affect+': 1, '+christmas+': 1, '+develop+': 1, '+draw+': 1, '+fall+': 1, '+intertwine+': 1, '+live+': 1, '+love+': 1, '+marseille+': 1, '+office+': 1, '2000_to_2010': 1, 'actoremmathompson': 1, 'actorheikemakatsch': 1, 'actorkeiraknightley': 1, 'bars+and+restaurants': 1, 'christmas+party': 1, 'composercraigarmstrong': 1, 'directorrichardcurtis': 1, 'female+nudity': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'language+barrier': 1, 'london+england': 1, 'love+at+first+sight': 1, 'male+nudity': 1, 'marriage+proposal': 1, 'metal+detector': 1, 'multiple+storylines': 1, 'press+conference': 1, 'prime+minister': 1, 'producerduncankenworthy': 1, 'producerericfellner': 1, 'producertimbevan': 1, 'rock+star': 1, 'runtime_above_110': 1, 'school+performance': 1, 'screenplayrichardcurtis': 1, 'tv+show': 1, 'usa+president': 1, 'war+on+terror': 1}",41.0
634,Bridget Jones's Diary,2001.0,1397.0,6.6,10.780524,"['Comedy', 'Romance', 'Drama']","{'+christmas+': 1, '2000_to_2010': 1, 'christmas+party': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'london+england': 1, 'producerericfellner': 1, 'producertimbevan': 1, 'screenplayrichardcurtis': 1}",10.0
1722,Captain Corelli's Mandolin,2001.0,146.0,5.6,9.243715,"['Drama', 'History', 'Romance']","{'+fall+': 1, '+love+': 1, '+office+': 1, '2000_to_2010': 1, 'genredrama': 1, 'genreromance': 1, 'producerericfellner': 1, 'producertimbevan': 1, 'runtime_above_110': 1}",9.0
4348,Pride & Prejudice,2005.0,1406.0,7.8,14.439082999999998,"['Drama', 'Romance']","{'+live+': 1, '+love+': 1, '2000_to_2010': 1, 'actorkeiraknightley': 1, 'genredrama': 1, 'genreromance': 1, 'producerericfellner': 1, 'producertimbevan': 1, 'runtime_above_110': 1}",9.0
14736,Love & Basketball,2000.0,93.0,7.5,5.7332269999999985,"['Action', 'Comedy', 'Drama', 'Romance']","{'+affect+': 1, '+fall+': 1, '+live+': 1, '+love+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_above_110': 1}",9.0
509,Notting Hill,1999.0,1309.0,7.0,9.874043,"['Romance', 'Comedy', 'Drama']","{'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'london+england': 1, 'press+conference': 1, 'producerduncankenworthy': 1, 'runtime_above_110': 1, 'screenplayrichardcurtis': 1}",8.0
712,Four Weddings and a Funeral,1994.0,654.0,6.6,8.990345,"['Comedy', 'Drama', 'Romance']","{'genrecomedy': 1, 'genredrama': 1, 'genreromance': 1, 'love+at+first+sight': 1, 'marriage+proposal': 1, 'producerduncankenworthy': 1, 'runtime_above_110': 1, 'screenplayrichardcurtis': 1}",8.0
1581,The Holiday,2006.0,1259.0,6.7,14.043416,"['Comedy', 'Romance']","{'+christmas+': 1, '2000_to_2010': 1, 'christmas+party': 1, 'genrecomedy': 1, 'genreromance': 1, 'london+england': 1, 'multiple+storylines': 1, 'runtime_above_110': 1}",8.0
4347,Atonement,2007.0,1075.0,7.4,8.913338000000003,"['Drama', 'Romance']","{'+live+': 1, '2000_to_2010': 1, 'actorkeiraknightley': 1, 'genredrama': 1, 'genreromance': 1, 'producerericfellner': 1, 'producertimbevan': 1, 'runtime_above_110': 1}",8.0
266856,The Theory of Everything,2014.0,3403.0,7.8,11.85302,"['Drama', 'Romance']","{'+fall+': 1, '+live+': 1, '+love+': 1, 'genredrama': 1, 'genreromance': 1, 'producerericfellner': 1, 'producertimbevan': 1, 'runtime_above_110': 1}",8.0
102,Open Hearts,2002.0,27.0,6.8,6.818513,"['Drama', 'Romance']","{'+fall+': 1, '+live+': 1, '+love+': 1, '2000_to_2010': 1, 'genredrama': 1, 'genreromance': 1, 'runtime_above_110': 1}",7.0
