movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
508,Love Actually,2003.0,1917.0,7.0,10.586815,"['Comedy', 'Romance', 'Drama']","{'+affect+': 2.431, '+christmas+': 2.431, '+develop+': 2.431, '+draw+': 2.431, '+fall+': 2.431, '+intertwine+': 2.431, '+live+': 2.431, '+love+': 2.431, '+marseille+': 2.431, '+office+': 2.431, '2000_to_2010': 2.0, 'actorEmmaThompson': 1.986, 'actorHeikeMakatsch': 1.986, 'actorKeiraKnightley': 1.986, 'bars+and+restaurants': 2.431, 'christmas+party': 2.431, 'composerCraigArmstrong': 1.072, 'directorRichardCurtis': 2.19, 'female+nudity': 2.431, 'genreComedy': 1.665, 'genreDrama': 1.665, 'genreRomance': 1.665, 'language+barrier': 2.431, 'london+england': 2.431, 'love+at+first+sight': 2.431, 'male+nudity': 2.431, 'marriage+proposal': 2.431, 'metal+detector': 2.431, 'multiple+storylines': 2.431, 'press+conference': 2.431, 'prime+minister': 2.431, 'producerDuncanKenworthy': 0.618, 'producerEricFellner': 0.618, 'producerTimBevan': 0.618, 'rock+star': 2.431, 'runtime_above_110': 1.0, 'school+performance': 2.431, 'screenplayRichardCurtis': 0.955, 'tv+show': 2.431, 'usa+president': 2.431, 'war+on+terror': 2.431}",1.0000000000000004
121539,Torn Apart,2006.0,2.0,5.0,4.737858,"['Drama', 'Romance']","{'+live+': 3.647, '+love+': 3.647, '2000_to_2010': 2.0, 'female+nudity': 3.647, 'genreDrama': 2.497, 'genreRomance': 2.497, 'male+nudity': 3.647}",0.20702124769254074
1581,The Holiday,2006.0,1259.0,6.7,14.043416,"['Comedy', 'Romance']","{'+christmas+': 2.263, '2000_to_2010': 2.0, 'christmas+party': 2.263, 'genreComedy': 2.497, 'genreRomance': 2.497, 'london+england': 2.263, 'multiple+storylines': 2.263, 'runtime_above_110': 1.0}",0.18634552214790434
62838,New Year's Eve,2011.0,744.0,5.7,6.948817999999998,"['Comedy', 'Romance']","{'+intertwine+': 5.47, '+live+': 5.47, 'genreComedy': 2.497, 'genreRomance': 2.497, 'multiple+storylines': 5.47, 'runtime_above_110': 1.0}",0.1785058470093138
18395,Exit to Eden,1994.0,28.0,4.3,4.322726,"['Thriller', 'Comedy', 'Crime', 'Romance']","{'+fall+': 3.647, '+live+': 3.647, '+love+': 3.647, 'female+nudity': 3.647, 'genreComedy': 1.249, 'genreRomance': 1.249, 'runtime_above_110': 1.0}",0.17787948378359159
2613,Prelude to a Kiss,1992.0,31.0,5.4,4.582718,"['Drama', 'Comedy', 'Romance']","{'+fall+': 5.47, '+love+': 5.47, 'genreComedy': 1.665, 'genreDrama': 1.665, 'genreRomance': 1.665, 'love+at+first+sight': 5.47}",0.17542152184316406
457,Sissi,1955.0,109.0,7.3,11.02505,"['Comedy', 'Drama', 'Romance']","{'+fall+': 2.735, '+love+': 2.735, 'genreComedy': 1.665, 'genreDrama': 1.665, 'genreRomance': 1.665, 'love+at+first+sight': 2.735, 'marriage+proposal': 2.735}",0.172201175466873
4254,Kal Ho Naa Ho,2003.0,110.0,7.3,5.584308,"['Comedy', 'Drama']","{'+fall+': 3.282, '+live+': 3.282, '+love+': 3.282, '2000_to_2010': 2.0, 'genreComedy': 2.497, 'genreDrama': 2.497, 'runtime_above_110': 1.0}",0.16859003616183466
634,Bridget Jones's Diary,2001.0,1397.0,6.6,10.780524,"['Comedy', 'Romance', 'Drama']","{'+christmas+': 2.984, '2000_to_2010': 2.0, 'christmas+party': 2.984, 'genreComedy': 1.665, 'genreDrama': 1.665, 'genreRomance': 1.665, 'london+england': 2.984, 'producerEricFellner': 0.618, 'producerTimBevan': 0.618, 'screenplayRichardCurtis': 0.318}",0.16750149907181058
14736,Love & Basketball,2000.0,93.0,7.5,5.7332269999999985,"['Action', 'Comedy', 'Drama', 'Romance']","{'+affect+': 1.641, '+fall+': 1.641, '+live+': 1.641, '+love+': 1.641, '2000_to_2010': 2.0, 'genreComedy': 1.249, 'genreDrama': 1.249, 'genreRomance': 1.249, 'runtime_above_110': 1.0}",0.16647245986031198
20069,Manual of Love 2,2007.0,61.0,5.1,8.663872,"['Comedy', 'Drama']","{'+fall+': 2.984, '+love+': 2.984, '2000_to_2010': 2.0, 'genreComedy': 2.497, 'genreDrama': 2.497, 'multiple+storylines': 2.984, 'runtime_above_110': 1.0}",0.16619625658739168
