movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
603,The Matrix,1999.0,9079.0,7.9,33.366332,"['Action', 'Science Fiction']","{'+cyberpunk+': 1, '+dystopia+': 1, '+earth+': 1, '+fight+': 1, '+gnosticism+': 1, '+group+': 1, '+insurgent+': 1, '+join+': 1, '+messiah+': 1, '+philosophy+': 1, '+power+': 1, '+prophecy+': 1, '+rule+': 1, '+truth+': 1, '+underground+': 1, '+vast+': 1, '1990_to_2000': 1, '22nd+century': 1, 'actorcarrie': 1, 'actorkeanureeves': 1, 'actorlaurencefishburne': 1, 'annemoss': 1, 'artificial+intelligence': 1, 'composerdondavis': 1, 'computer+hacker': 1, 'directorlanawachowski': 1, 'directorlillywachowski': 1, 'genreaction': 1, 'genresciencefiction': 1, 'man+vs+machine': 1, 'martial+arts': 1, 'producerjoelsilver': 1, 'runtime_above_110': 1, 'saving+the+world': 1, 'self+sacrifice': 1, 'virtual+reality': 1, 'woman+director': 1}",0.9999999999999991
605,The Matrix Revolutions,2003.0,3155.0,6.4,15.368205,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+cyberpunk+': 1, '+dystopia+': 1, '+fight+': 1, '+gnosticism+': 1, '+philosophy+': 1, '+truth+': 1, 'actorcarrie': 1, 'actorkeanureeves': 1, 'actorlaurencefishburne': 1, 'annemoss': 1, 'artificial+intelligence': 1, 'composerdondavis': 1, 'directorlanawachowski': 1, 'directorlillywachowski': 1, 'genreaction': 1, 'genresciencefiction': 1, 'man+vs+machine': 1, 'producerjoelsilver': 1, 'runtime_above_110': 1, 'saving+the+world': 1, 'virtual+reality': 1, 'woman+director': 1}",0.47490618095397985
604,The Matrix Reloaded,2003.0,3500.0,6.7,16.229317,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+cyberpunk+': 1, '+dystopia+': 1, '+fight+': 1, '+gnosticism+': 1, '+power+': 1, '+truth+': 1, 'actorcarrie': 1, 'actorkeanureeves': 1, 'actorlaurencefishburne': 1, 'annemoss': 1, 'artificial+intelligence': 1, 'composerdondavis': 1, 'directorlanawachowski': 1, 'directorlillywachowski': 1, 'genreaction': 1, 'genresciencefiction': 1, 'man+vs+machine': 1, 'martial+arts': 1, 'producerjoelsilver': 1, 'runtime_above_110': 1, 'saving+the+world': 1, 'virtual+reality': 1, 'woman+director': 1}",0.4175611142256682
76757,Jupiter Ascending,2015.0,2816.0,5.2,21.463465,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']","{'+power+': 1, 'directorlanawachowski': 1, 'directorlillywachowski': 1, 'genreaction': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'woman+director': 1}",0.21369687880543226
9323,Ghost in the Shell,1995.0,854.0,7.8,10.686166,"['Action', 'Animation', 'Science Fiction']","{'+cyberpunk+': 1, '+dystopia+': 1, '+group+': 1, '1990_to_2000': 1, 'artificial+intelligence': 1, 'genreaction': 1, 'genresciencefiction': 1, 'man+vs+machine': 1}",0.2005648842255601
534,Terminator Salvation,2009.0,2496.0,5.9,16.507496,"['Action', 'Science Fiction', 'Thriller']","{'+dystopia+': 1, '+prophecy+': 1, 'artificial+intelligence': 1, 'genreaction': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'saving+the+world': 1}",0.17972365808708385
7459,Speed Racer,2008.0,359.0,5.7,7.134167999999999,"['Action', 'Family', 'Science Fiction']","{'directorlanawachowski': 1, 'directorlillywachowski': 1, 'genreaction': 1, 'genresciencefiction': 1, 'producerjoelsilver': 1, 'runtime_above_110': 1, 'woman+director': 1}",0.17972365808708385
8202,Æon Flux,2005.0,717.0,5.4,12.201912,"['Action', 'Science Fiction']","{'+cyberpunk+': 1, '+dystopia+': 1, '+rule+': 1, '+underground+': 1, 'genreaction': 1, 'genresciencefiction': 1, 'martial+arts': 1, 'woman+director': 1}",0.17897494805707315
178809,The Colony,2013.0,465.0,5.2,9.726664,"['Action', 'Science Fiction', 'Horror']","{'+dystopia+': 1, '+fight+': 1, '+underground+': 1, 'actorlaurencefishburne': 1, 'genreaction': 1, 'genresciencefiction': 1}",0.1771615786072478
841,Dune,1984.0,576.0,6.5,9.261189,"['Action', 'Science Fiction', 'Adventure']","{'+dystopia+': 1, '+insurgent+': 1, '+messiah+': 1, '+prophecy+': 1, 'genreaction': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.1754942736973651
78,Blade Runner,1982.0,3833.0,7.9,96.272374,"['Science Fiction', 'Drama', 'Thriller']","{'+cyberpunk+': 1, '+dystopia+': 1, '+earth+': 1, 'artificial+intelligence': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",0.17170914210964275
