movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
603,The Matrix,1999.0,9079.0,7.9,33.366332,"['Action', 'Science Fiction']","{'+cyberpunk+': 1, '+dystopia+': 1, '+earth+': 1, '+fight+': 1, '+gnosticism+': 1, '+group+': 1, '+insurgent+': 1, '+join+': 1, '+messiah+': 1, '+philosophy+': 1, '+power+': 1, '+prophecy+': 1, '+rule+': 1, '+truth+': 1, '+underground+': 1, '+vast+': 1, '1990_to_2000': 1, '22nd+century': 1, 'actorcarrie': 1, 'actorkeanureeves': 1, 'actorlaurencefishburne': 1, 'annemoss': 1, 'artificial+intelligence': 1, 'composerdondavis': 1, 'computer+hacker': 1, 'directorlanawachowski': 1, 'directorlillywachowski': 1, 'genreaction': 1, 'genresciencefiction': 1, 'man+vs+machine': 1, 'martial+arts': 1, 'producerjoelsilver': 1, 'runtime_above_110': 1, 'saving+the+world': 1, 'self+sacrifice': 1, 'virtual+reality': 1, 'woman+director': 1}",37.0
604,The Matrix Reloaded,2003.0,3500.0,6.7,16.229317,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+cyberpunk+': 1, '+dystopia+': 1, '+fight+': 1, '+gnosticism+': 1, '+power+': 1, '+truth+': 1, 'actorcarrie': 1, 'actorkeanureeves': 1, 'actorlaurencefishburne': 1, 'annemoss': 1, 'artificial+intelligence': 1, 'composerdondavis': 1, 'directorlanawachowski': 1, 'directorlillywachowski': 1, 'genreaction': 1, 'genresciencefiction': 1, 'man+vs+machine': 1, 'martial+arts': 1, 'producerjoelsilver': 1, 'runtime_above_110': 1, 'saving+the+world': 1, 'virtual+reality': 1, 'woman+director': 1}",23.0
605,The Matrix Revolutions,2003.0,3155.0,6.4,15.368205,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+cyberpunk+': 1, '+dystopia+': 1, '+fight+': 1, '+gnosticism+': 1, '+philosophy+': 1, '+truth+': 1, 'actorcarrie': 1, 'actorkeanureeves': 1, 'actorlaurencefishburne': 1, 'annemoss': 1, 'artificial+intelligence': 1, 'composerdondavis': 1, 'directorlanawachowski': 1, 'directorlillywachowski': 1, 'genreaction': 1, 'genresciencefiction': 1, 'man+vs+machine': 1, 'producerjoelsilver': 1, 'runtime_above_110': 1, 'saving+the+world': 1, 'virtual+reality': 1, 'woman+director': 1}",22.0
8202,Æon Flux,2005.0,717.0,5.4,12.201912,"['Action', 'Science Fiction']","{'+cyberpunk+': 1, '+dystopia+': 1, '+rule+': 1, '+underground+': 1, 'genreaction': 1, 'genresciencefiction': 1, 'martial+arts': 1, 'woman+director': 1}",8.0
9323,Ghost in the Shell,1995.0,854.0,7.8,10.686166,"['Action', 'Animation', 'Science Fiction']","{'+cyberpunk+': 1, '+dystopia+': 1, '+group+': 1, '1990_to_2000': 1, 'artificial+intelligence': 1, 'genreaction': 1, 'genresciencefiction': 1, 'man+vs+machine': 1}",8.0
9739,Demolition Man,1993.0,1018.0,6.4,11.626116,"['Crime', 'Action', 'Science Fiction']","{'+cyberpunk+': 1, '+dystopia+': 1, '1990_to_2000': 1, 'genreaction': 1, 'genresciencefiction': 1, 'martial+arts': 1, 'producerjoelsilver': 1, 'runtime_above_110': 1}",8.0
63,Twelve Monkeys,1995.0,2470.0,7.4,12.297305,"['Science Fiction', 'Thriller', 'Mystery']","{'+dystopia+': 1, '+earth+': 1, '+group+': 1, '+underground+': 1, '1990_to_2000': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",7.0
95,Armageddon,1998.0,2540.0,6.5,13.235112,"['Action', 'Thriller', 'Science Fiction', 'Adventure']","{'+earth+': 1, '1990_to_2000': 1, 'genreaction': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'saving+the+world': 1, 'self+sacrifice': 1}",7.0
149,Akira,1988.0,792.0,7.8,10.888917,"['Science Fiction', 'Animation']","{'+cyberpunk+': 1, '+dystopia+': 1, '+fight+': 1, '+underground+': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'saving+the+world': 1}",7.0
281,Strange Days,1995.0,334.0,6.8,11.223055,"['Crime', 'Drama', 'Science Fiction', 'Thriller']","{'+cyberpunk+': 1, '+dystopia+': 1, '1990_to_2000': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'virtual+reality': 1, 'woman+director': 1}",7.0
534,Terminator Salvation,2009.0,2496.0,5.9,16.507496,"['Action', 'Science Fiction', 'Thriller']","{'+dystopia+': 1, '+prophecy+': 1, 'artificial+intelligence': 1, 'genreaction': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'saving+the+world': 1}",7.0
