movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
603,The Matrix,1999.0,9079.0,7.9,33.366332,"['Action', 'Science Fiction']","{'+cyberpunk+': 2.626, '+dystopia+': 2.626, '+earth+': 2.626, '+fight+': 2.626, '+gnosticism+': 2.626, '+group+': 2.626, '+insurgent+': 2.626, '+join+': 2.626, '+messiah+': 2.626, '+philosophy+': 2.626, '+power+': 2.626, '+prophecy+': 2.626, '+rule+': 2.626, '+truth+': 2.626, '+underground+': 2.626, '+vast+': 2.626, '1990_to_2000': 2.0, '22nd+century': 2.626, 'actorCarrie-AnneMoss': 1.986, 'actorKeanuReeves': 1.986, 'actorLaurenceFishburne': 1.986, 'artificial+intelligence': 2.626, 'composerDonDavis': 1.072, 'computer+hacker': 2.626, 'directorLanaWachowski': 1.095, 'directorLillyWachowski': 1.095, 'genreAction': 2.497, 'genreScienceFiction': 2.497, 'man+vs+machine': 2.626, 'martial+arts': 2.626, 'producerJoelSilver': 1.854, 'runtime_above_110': 1.0, 'saving+the+world': 2.626, 'self+sacrifice': 2.626, 'virtual+reality': 2.626, 'woman+director': 2.626}",0.9999999999999993
605,The Matrix Revolutions,2003.0,3155.0,6.4,15.368205,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+cyberpunk+': 1.563, '+dystopia+': 1.563, '+fight+': 1.563, '+gnosticism+': 1.563, '+philosophy+': 1.563, '+truth+': 1.563, 'actorCarrie-AnneMoss': 1.986, 'actorKeanuReeves': 1.986, 'actorLaurenceFishburne': 1.986, 'artificial+intelligence': 1.563, 'composerDonDavis': 1.072, 'directorLanaWachowski': 1.095, 'directorLillyWachowski': 1.095, 'genreAction': 1.249, 'genreScienceFiction': 1.249, 'man+vs+machine': 1.563, 'producerJoelSilver': 1.854, 'runtime_above_110': 1.0, 'saving+the+world': 1.563, 'virtual+reality': 1.563, 'woman+director': 1.563}",0.4272179496518167
604,The Matrix Reloaded,2003.0,3500.0,6.7,16.229317,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+cyberpunk+': 0.995, '+dystopia+': 0.995, '+fight+': 0.995, '+gnosticism+': 0.995, '+power+': 0.995, '+truth+': 0.995, 'actorCarrie-AnneMoss': 1.986, 'actorKeanuReeves': 1.986, 'actorLaurenceFishburne': 1.986, 'artificial+intelligence': 0.995, 'composerDonDavis': 1.072, 'directorLanaWachowski': 1.095, 'directorLillyWachowski': 1.095, 'genreAction': 1.249, 'genreScienceFiction': 1.249, 'man+vs+machine': 0.995, 'martial+arts': 0.995, 'producerJoelSilver': 1.854, 'runtime_above_110': 1.0, 'saving+the+world': 0.995, 'virtual+reality': 0.995, 'woman+director': 0.995}",0.4059449225825498
53094,World on a Wire,1973.0,33.0,7.2,5.168563,"['Crime', 'Drama', 'Science Fiction', 'Thriller']","{'+cyberpunk+': 32.82, '+dystopia+': 32.82, 'genreScienceFiction': 1.249, 'runtime_above_110': 1.0}",0.26135555336165966
8202,Æon Flux,2005.0,717.0,5.4,12.201912,"['Action', 'Science Fiction']","{'+cyberpunk+': 1.823, '+dystopia+': 1.823, '+rule+': 1.823, '+underground+': 1.823, 'genreAction': 2.497, 'genreScienceFiction': 2.497, 'martial+arts': 1.823, 'woman+director': 1.823}",0.22843106463205343
9323,Ghost in the Shell,1995.0,854.0,7.8,10.686166,"['Action', 'Animation', 'Science Fiction']","{'+cyberpunk+': 2.344, '+dystopia+': 2.344, '+group+': 2.344, '1990_to_2000': 2.0, 'artificial+intelligence': 2.344, 'genreAction': 1.665, 'genreScienceFiction': 1.665, 'man+vs+machine': 2.344}",0.21830264104680686
178809,The Colony,2013.0,465.0,5.2,9.726664,"['Action', 'Science Fiction', 'Horror']","{'+dystopia+': 5.049, '+fight+': 5.049, '+underground+': 5.049, 'actorLaurenceFishburne': 1.986, 'genreAction': 1.665, 'genreScienceFiction': 1.665}",0.1888846533518233
320028,Il nome del figlio,2015.0,89.0,6.4,4.679687,['Comedy'],{'woman+director': 65.641},0.18077198826551755
9823,Mortal Kombat: Annihilation,1997.0,225.0,3.8,6.532498,"['Action', 'Fantasy', 'Science Fiction']","{'+earth+': 2.051, '+fight+': 2.051, '+group+': 2.051, '1990_to_2000': 2.0, 'genreAction': 1.665, 'genreScienceFiction': 1.665, 'martial+arts': 2.051}",0.17997110834976923
534,Terminator Salvation,2009.0,2496.0,5.9,16.507496,"['Action', 'Science Fiction', 'Thriller']","{'+dystopia+': 2.431, '+prophecy+': 2.431, 'artificial+intelligence': 2.431, 'genreAction': 1.665, 'genreScienceFiction': 1.665, 'runtime_above_110': 1.0, 'saving+the+world': 2.431}",0.17431971220311032
78,Blade Runner,1982.0,3833.0,7.9,96.272374,"['Science Fiction', 'Drama', 'Thriller']","{'+cyberpunk+': 3.282, '+dystopia+': 3.282, '+earth+': 3.282, 'artificial+intelligence': 3.282, 'genreScienceFiction': 1.665, 'runtime_above_110': 1.0}",0.1733628287713016
