movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
603,The Matrix,1999.0,9079.0,7.9,33.366332,"['Action', 'Science Fiction']","{'+cyberpunk+': 0.17, '+dystopia+': 0.128, '+earth+': 0.124, '+fight+': 0.105, '+gnosticism+': 0.22, '+group+': 0.106, '+insurgent+': 0.195, '+join+': 0.129, '+messiah+': 0.213, '+philosophy+': 0.181, '+power+': 0.11, '+prophecy+': 0.176, '+rule+': 0.141, '+truth+': 0.132, '+underground+': 0.152, '+vast+': 0.181, '1990_to_2000': 0.074, '22nd+century': 0.22, 'actorcarrie': 0.197, 'actorkeanureeves': 0.173, 'actorlaurencefishburne': 0.183, 'annemoss': 0.197, 'artificial+intelligence': 0.171, 'composerdondavis': 0.2, 'computer+hacker': 0.197, 'directorlanawachowski': 0.213, 'directorlillywachowski': 0.213, 'genreaction': 0.064, 'genresciencefiction': 0.084, 'man+vs+machine': 0.192, 'martial+arts': 0.138, 'producerjoelsilver': 0.161, 'runtime_above_110': 0.055, 'saving+the+world': 0.169, 'self+sacrifice': 0.195, 'virtual+reality': 0.182, 'woman+director': 0.098}",1.0000000000000002
605,The Matrix Revolutions,2003.0,3155.0,6.4,15.368205,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+cyberpunk+': 0.136, '+dystopia+': 0.103, '+fight+': 0.084, '+gnosticism+': 0.177, '+philosophy+': 0.145, '+truth+': 0.106, 'actorcarrie': 0.158, 'actorkeanureeves': 0.138, 'actorlaurencefishburne': 0.146, 'annemoss': 0.158, 'artificial+intelligence': 0.137, 'composerdondavis': 0.161, 'directorlanawachowski': 0.171, 'directorlillywachowski': 0.171, 'genreaction': 0.051, 'genresciencefiction': 0.067, 'man+vs+machine': 0.154, 'producerjoelsilver': 0.129, 'runtime_above_110': 0.044, 'saving+the+world': 0.135, 'virtual+reality': 0.146, 'woman+director': 0.078}",0.4840379261769265
604,The Matrix Reloaded,2003.0,3500.0,6.7,16.229317,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","{'+cyberpunk+': 0.116, '+dystopia+': 0.087, '+fight+': 0.072, '+gnosticism+': 0.15, '+power+': 0.075, '+truth+': 0.09, 'actorcarrie': 0.134, 'actorkeanureeves': 0.118, 'actorlaurencefishburne': 0.125, 'annemoss': 0.134, 'artificial+intelligence': 0.117, 'composerdondavis': 0.137, 'directorlanawachowski': 0.145, 'directorlillywachowski': 0.145, 'genreaction': 0.044, 'genresciencefiction': 0.057, 'man+vs+machine': 0.131, 'martial+arts': 0.094, 'producerjoelsilver': 0.11, 'runtime_above_110': 0.038, 'saving+the+world': 0.115, 'virtual+reality': 0.124, 'woman+director': 0.067}",0.4110880923310719
9303,Bound,1996.0,203.0,6.9,12.449574,"['Crime', 'Drama', 'Romance', 'Thriller']","{'1990_to_2000': 0.077, 'composerdondavis': 0.206, 'directorlanawachowski': 0.219, 'directorlillywachowski': 0.219, 'woman+director': 0.1}",0.15007825055285434
76757,Jupiter Ascending,2015.0,2816.0,5.2,21.463465,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']","{'+power+': 0.125, 'directorlanawachowski': 0.242, 'directorlillywachowski': 0.242, 'genreaction': 0.073, 'genresciencefiction': 0.095, 'runtime_above_110': 0.063, 'woman+director': 0.111}",0.14378949416143197
55931,The Animatrix,2003.0,433.0,6.9,10.934268,"['Animation', 'Science Fiction']","{'+cyberpunk+': 0.127, 'actorcarrie': 0.147, 'actorkeanureeves': 0.129, 'annemoss': 0.147, 'composerdondavis': 0.15, 'genresciencefiction': 0.063}",0.13727235998013593
7459,Speed Racer,2008.0,359.0,5.7,7.134167999999999,"['Action', 'Family', 'Science Fiction']","{'directorlanawachowski': 0.202, 'directorlillywachowski': 0.202, 'genreaction': 0.061, 'genresciencefiction': 0.08, 'producerjoelsilver': 0.153, 'runtime_above_110': 0.052, 'woman+director': 0.093}",0.13326184751336173
841,Dune,1984.0,576.0,6.5,9.261189,"['Action', 'Science Fiction', 'Adventure']","{'+dystopia+': 0.113, '+insurgent+': 0.172, '+messiah+': 0.187, '+prophecy+': 0.155, 'genreaction': 0.056, 'genresciencefiction': 0.074, 'runtime_above_110': 0.049}",0.1278103447928442
876,Frank Herbert's Dune,2000.0,114.0,6.7,14.612842,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","{'+insurgent+': 0.184, '+messiah+': 0.2, '+prophecy+': 0.166, 'genreaction': 0.06, 'genresciencefiction': 0.079, 'runtime_above_110': 0.052}",0.12122764154393681
9323,Ghost in the Shell,1995.0,854.0,7.8,10.686166,"['Action', 'Animation', 'Science Fiction']","{'+cyberpunk+': 0.148, '+dystopia+': 0.111, '+group+': 0.092, '1990_to_2000': 0.065, 'artificial+intelligence': 0.148, 'genreaction': 0.056, 'genresciencefiction': 0.073, 'man+vs+machine': 0.167}",0.12119836486581094
8870,Red Planet,2000.0,271.0,5.4,8.534175999999999,"['Thriller', 'Action', 'Science Fiction']","{'+earth+': 0.14, 'actorcarrie': 0.221, 'annemoss': 0.221, 'genreaction': 0.072, 'genresciencefiction': 0.094}",0.11676523607477055
