movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
615,The Passion of the Christ,2004.0,888.0,6.9,13.194168,['Drama'],"{'+12+': 1, '+actor+': 1, '+apostle+': 1, '+arab+': 1, '+audience+': 1, '+bible+': 1, '+christ+': 1, '+christian+': 1, '+critic+': 1, '+focus+': 1, '+hebrew+': 1, '+hour+': 1, '+jewish+': 1, '+jewry+': 1, '+latin+': 1, '+life+': 1, '+mission+': 1, '+passion+': 1, '+roman+': 1, '+suffer+': 1, '+torture+': 1, '+violence+': 1, '2000_to_2010': 1, 'actorjimcaviezel': 1, 'actormaiamorgenstern': 1, 'actormonicabellucci': 1, 'composerginggershankar': 1, 'composerjohndebney': 1, 'directormelgibson': 1, 'genredrama': 1, 'jesus+christ': 1, 'producerbrucedavey': 1, 'producermelgibson': 1, 'producerstephenmceveety': 1, 'roman+empire': 1, 'runtime_above_110': 1, 'screenplaybenedictfitzgerald': 1, 'screenplaymelgibson': 1}",0.9999999999999997
2428,The Greatest Story Ever Told,1965.0,41.0,6.5,3.961342,"['Drama', 'History']","{'+christ+': 1, '+life+': 1, 'genredrama': 1, 'jesus+christ': 1, 'runtime_above_110': 1}",0.1860807318911967
11051,The Last Temptation of Christ,1988.0,206.0,7.0,11.370288,['Drama'],"{'+christian+': 1, '+life+': 1, '+roman+': 1, '+violence+': 1, 'genredrama': 1, 'jesus+christ': 1, 'runtime_above_110': 1}",0.177343107178349
11362,The Count of Monte Cristo,2002.0,463.0,7.3,10.765924,"['Action', 'Adventure', 'Drama', 'Thriller']","{'+life+': 1, '+torture+': 1, '2000_to_2010': 1, 'actorjimcaviezel': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.1748149640244195
36597,Wuthering Heights,2009.0,37.0,6.9,8.747636,['Drama'],"{'+life+': 1, '2000_to_2010': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.17342199390482402
13560,Max,2002.0,39.0,6.2,5.740474,"['War', 'Drama']","{'+jewish+': 1, '+life+': 1, '+passion+': 1, '2000_to_2010': 1, 'genredrama': 1}",0.1691275228729346
15644,Paparazzi,2004.0,52.0,5.8,12.553403,"['Action', 'Drama', 'Thriller']","{'2000_to_2010': 1, 'genredrama': 1, 'producerbrucedavey': 1, 'producermelgibson': 1, 'producerstephenmceveety': 1}",0.1691275228729346
13689,Peaceful Warrior,2006.0,95.0,7.3,10.398351,"['Drama', 'Romance']","{'+life+': 1, '2000_to_2010': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.1675415633166782
2895,The Apostle,1997.0,39.0,6.1,9.21174,['Drama'],"{'+apostle+': 1, '+christian+': 1, '+life+': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.16222142113076254
18927,Stander,2003.0,27.0,6.1,7.839675,"['Action', 'Crime', 'Drama']","{'+life+': 1, '2000_to_2010': 1, 'genredrama': 1, 'runtime_above_110': 1}",0.16222142113076254
1579,Apocalypto,2006.0,1252.0,7.3,7.735233,"['Action', 'Adventure', 'Drama', 'Thriller']","{'+life+': 1, '2000_to_2010': 1, 'directormelgibson': 1, 'genredrama': 1, 'producerbrucedavey': 1, 'producermelgibson': 1, 'runtime_above_110': 1}",0.16222142113076252
