movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
615,The Passion of the Christ,2004.0,888.0,6.9,13.194168,['Drama'],"{'+12+': 1, '+actor+': 1, '+apostle+': 1, '+arab+': 1, '+audience+': 1, '+bible+': 1, '+christ+': 1, '+christian+': 1, '+critic+': 1, '+focus+': 1, '+hebrew+': 1, '+hour+': 1, '+jewish+': 1, '+jewry+': 1, '+latin+': 1, '+life+': 1, '+mission+': 1, '+passion+': 1, '+roman+': 1, '+suffer+': 1, '+torture+': 1, '+violence+': 1, '2000_to_2010': 1, 'actorjimcaviezel': 1, 'actormaiamorgenstern': 1, 'actormonicabellucci': 1, 'composerginggershankar': 1, 'composerjohndebney': 1, 'directormelgibson': 1, 'genredrama': 1, 'jesus+christ': 1, 'producerbrucedavey': 1, 'producermelgibson': 1, 'producerstephenmceveety': 1, 'roman+empire': 1, 'runtime_above_110': 1, 'screenplaybenedictfitzgerald': 1, 'screenplaymelgibson': 1}",38.0
665,Ben-Hur,1959.0,660.0,7.5,14.319743,"['Action', 'Adventure', 'Drama', 'History']","{'+actor+': 1, '+christ+': 1, '+christian+': 1, '+jewish+': 1, '+roman+': 1, 'genredrama': 1, 'runtime_above_110': 1}",7.0
1579,Apocalypto,2006.0,1252.0,7.3,7.735233,"['Action', 'Adventure', 'Drama', 'Thriller']","{'+life+': 1, '2000_to_2010': 1, 'directormelgibson': 1, 'genredrama': 1, 'producerbrucedavey': 1, 'producermelgibson': 1, 'runtime_above_110': 1}",7.0
11051,The Last Temptation of Christ,1988.0,206.0,7.0,11.370288,['Drama'],"{'+christian+': 1, '+life+': 1, '+roman+': 1, '+violence+': 1, 'genredrama': 1, 'jesus+christ': 1, 'runtime_above_110': 1}",7.0
967,Spartacus,1960.0,472.0,7.3,11.110376,"['Action', 'Drama', 'History']","{'+life+': 1, '+roman+': 1, '+torture+': 1, 'genredrama': 1, 'roman+empire': 1, 'runtime_above_110': 1}",6.0
2024,The Patriot,2000.0,1130.0,6.8,15.960788,"['Drama', 'History', 'War', 'Action']","{'+life+': 1, '+mission+': 1, '+passion+': 1, '2000_to_2010': 1, 'genredrama': 1, 'runtime_above_110': 1}",6.0
11362,The Count of Monte Cristo,2002.0,463.0,7.3,10.765924,"['Action', 'Adventure', 'Drama', 'Thriller']","{'+life+': 1, '+torture+': 1, '2000_to_2010': 1, 'actorjimcaviezel': 1, 'genredrama': 1, 'runtime_above_110': 1}",6.0
15356,The Girl Next Door,2007.0,209.0,6.5,4.763911,"['Thriller', 'Crime', 'Drama', 'Horror']","{'+12+': 1, '+life+': 1, '+suffer+': 1, '+torture+': 1, '2000_to_2010': 1, 'genredrama': 1}",6.0
18976,Attila,2001.0,61.0,6.5,9.563499,"['War', 'Action', 'Adventure', 'Drama', 'History', 'Romance']","{'+passion+': 1, '+roman+': 1, '+violence+': 1, '2000_to_2010': 1, 'genredrama': 1, 'runtime_above_110': 1}",6.0
32528,Spartacus,2004.0,18.0,6.2,9.616734,"['TV Movie', 'Action', 'Drama', 'History']","{'+life+': 1, '+roman+': 1, '2000_to_2010': 1, 'genredrama': 1, 'roman+empire': 1, 'runtime_above_110': 1}",6.0
16,Dancer in the Dark,2000.0,392.0,7.7,10.684806,"['Drama', 'Crime', 'Music']","{'+life+': 1, '+suffer+': 1, '2000_to_2010': 1, 'genredrama': 1, 'runtime_above_110': 1}",5.0
