movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
615,The Passion of the Christ,2004.0,888.0,6.9,13.194168,['Drama'],"{'+12+': 2.735, '+actor+': 2.735, '+apostle+': 2.735, '+arab+': 2.735, '+audience+': 2.735, '+bible+': 2.735, '+christ+': 2.735, '+christian+': 2.735, '+critic+': 2.735, '+focus+': 2.735, '+hebrew+': 2.735, '+hour+': 2.735, '+jewish+': 2.735, '+jewry+': 2.735, '+latin+': 2.735, '+life+': 2.735, '+mission+': 2.735, '+passion+': 2.735, '+roman+': 2.735, '+suffer+': 2.735, '+torture+': 2.735, '+violence+': 2.735, '2000_to_2010': 2.0, 'actorJimCaviezel': 1.986, 'actorMaiaMorgenstern': 1.986, 'actorMonicaBellucci': 1.986, 'composerGinggerShankar': 0.536, 'composerJohnDebney': 0.536, 'directorMelGibson': 2.19, 'genreDrama': 4.994, 'jesus+christ': 2.735, 'producerBruceDavey': 0.618, 'producerMelGibson': 0.618, 'producerStephenMcEveety': 0.618, 'roman+empire': 2.735, 'runtime_above_110': 1.0, 'screenplayBenedictFitzgerald': 0.477, 'screenplayMelGibson': 0.477}",0.9999999999999998
11051,The Last Temptation of Christ,1988.0,206.0,7.0,11.370288,['Drama'],"{'+christian+': 2.117, '+life+': 2.117, '+roman+': 2.117, '+violence+': 2.117, 'genreDrama': 4.994, 'jesus+christ': 2.117, 'runtime_above_110': 1.0}",0.26286870315582
2428,The Greatest Story Ever Told,1965.0,41.0,6.5,3.961342,"['Drama', 'History']","{'+christ+': 10.94, '+life+': 10.94, 'genreDrama': 2.497, 'jesus+christ': 10.94, 'runtime_above_110': 1.0}",0.2485814631142451
23160,Werckmeister Harmonies,2000.0,61.0,7.4,7.970312,['Drama'],"{'+violence+': 0.353, '2000_to_2010': 2.0, 'genreDrama': 4.994, 'runtime_above_110': 1.0}",0.24718266351383245
2895,The Apostle,1997.0,39.0,6.1,9.21174,['Drama'],"{'+apostle+': 3.861, '+christian+': 3.861, '+life+': 3.861, 'genreDrama': 4.994, 'runtime_above_110': 1.0}",0.2197641822211977
36950,You Don't Know Jack,2010.0,104.0,6.9,14.988063,['Drama'],"{'+life+': 2.344, '+passion+': 2.344, '+suffer+': 2.344, 'genreDrama': 4.994, 'runtime_above_110': 1.0}",0.20881605200352676
36561,I Am Dina,2002.0,10.0,5.5,6.9781770000000005,['Drama'],"{'+life+': 1.727, '+passion+': 1.727, '2000_to_2010': 2.0, 'genreDrama': 4.994, 'runtime_above_110': 1.0}",0.2051102990996505
10867,Malena,2000.0,301.0,6.9,9.490512,['Drama'],"{'+12+': 1.397, '2000_to_2010': 2.0, 'actorMonicaBellucci': 1.986, 'genreDrama': 4.994}",0.20263039296928048
31094,Taking Sides,2001.0,12.0,6.1,5.760896,['Drama'],"{'+jewish+': 1.527, '+life+': 1.527, '2000_to_2010': 2.0, 'genreDrama': 4.994}",0.20231519538145706
13560,Max,2002.0,39.0,6.2,5.740474,"['War', 'Drama']","{'+jewish+': 5.049, '+life+': 5.049, '+passion+': 5.049, '2000_to_2010': 2.0, 'genreDrama': 2.497}",0.1991944787277173
8090,Untraceable,2008.0,241.0,5.9,7.85217,['Drama'],"{'+torture+': 1.823, '+violence+': 1.823, '2000_to_2010': 2.0, 'genreDrama': 4.994}",0.1986338294802629
