movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
615,The Passion of the Christ,2004.0,888.0,6.9,13.194168,['Drama'],"{'+12+': 0.144, '+actor+': 0.132, '+apostle+': 0.203, '+arab+': 0.168, '+audience+': 0.158, '+bible+': 0.165, '+christ+': 0.179, '+christian+': 0.141, '+critic+': 0.157, '+focus+': 0.156, '+hebrew+': 0.195, '+hour+': 0.142, '+jewish+': 0.146, '+jewry+': 0.187, '+latin+': 0.183, '+life+': 0.071, '+mission+': 0.111, '+passion+': 0.129, '+roman+': 0.152, '+suffer+': 0.124, '+torture+': 0.128, '+violence+': 0.1, '2000_to_2010': 0.052, 'actorjimcaviezel': 0.176, 'actormaiamorgenstern': 0.224, 'actormonicabellucci': 0.174, 'composerginggershankar': 0.224, 'composerjohndebney': 0.149, 'directormelgibson': 0.199, 'genredrama': 0.04, 'jesus+christ': 0.176, 'producerbrucedavey': 0.167, 'producermelgibson': 0.189, 'producerstephenmceveety': 0.189, 'roman+empire': 0.177, 'runtime_above_110': 0.05, 'screenplaybenedictfitzgerald': 0.224, 'screenplaymelgibson': 0.224}",1.0
15644,Paparazzi,2004.0,52.0,5.8,12.553403,"['Action', 'Drama', 'Thriller']","{'2000_to_2010': 0.078, 'genredrama': 0.061, 'producerbrucedavey': 0.252, 'producermelgibson': 0.285, 'producerstephenmceveety': 0.285}",0.15652720943505696
583,Life of Brian,1979.0,1230.0,7.7,10.714173,['Comedy'],"{'+christian+': 0.12, '+jewry+': 0.158, '+latin+': 0.155, 'jesus+christ': 0.149, 'roman+empire': 0.15}",0.127634877895924
30141,The Singing Detective,2003.0,41.0,5.9,12.650143,"['Comedy', 'Music', 'Mystery', 'Crime']","{'+suffer+': 0.192, '2000_to_2010': 0.08, 'producerbrucedavey': 0.258, 'producermelgibson': 0.291}",0.12620040514172834
1579,Apocalypto,2006.0,1252.0,7.3,7.735233,"['Action', 'Adventure', 'Drama', 'Thriller']","{'+life+': 0.068, '2000_to_2010': 0.05, 'directormelgibson': 0.191, 'genredrama': 0.039, 'producerbrucedavey': 0.161, 'producermelgibson': 0.182, 'runtime_above_110': 0.048}",0.1105948944846837
197,Braveheart,1995.0,3404.0,7.7,20.755149,"['Action', 'Drama', 'History', 'War']","{'directormelgibson': 0.201, 'genredrama': 0.041, 'producerbrucedavey': 0.169, 'producermelgibson': 0.191, 'runtime_above_110': 0.05}",0.10857204471862421
2428,The Greatest Story Ever Told,1965.0,41.0,6.5,3.961342,"['Drama', 'History']","{'+christ+': 0.254, '+life+': 0.1, 'genredrama': 0.057, 'jesus+christ': 0.25, 'runtime_above_110': 0.071}",0.10242313637705751
2895,The Apostle,1997.0,39.0,6.1,9.21174,['Drama'],"{'+apostle+': 0.279, '+christian+': 0.194, '+life+': 0.097, 'genredrama': 0.056, 'runtime_above_110': 0.068}",0.09660370939028314
11051,The Last Temptation of Christ,1988.0,206.0,7.0,11.370288,['Drama'],"{'+christian+': 0.145, '+life+': 0.073, '+roman+': 0.156, '+violence+': 0.103, 'genredrama': 0.042, 'jesus+christ': 0.181, 'runtime_above_110': 0.051}",0.09567266554390472
310119,Last Days in the Desert,2016.0,46.0,4.4,6.641951,"['Adventure', 'Drama', 'History']","{'+christ+': 0.254, 'genredrama': 0.057, 'jesus+christ': 0.249}",0.09149053093471345
335778,Risen,2016.0,300.0,5.7,8.759801,['Action'],"{'+apostle+': 0.199, '+christian+': 0.139, 'jesus+christ': 0.173}",0.09032218523482897
