movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
72190,World War Z,2013.0,5683.0,6.7,26.114917,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","{'+answer+': 1, '+apocalypse+': 1, '+bare+': 1, '+brave+': 1, '+chaos+': 1, '+content+': 1, '+danger+': 1, '+disease+': 1, '+dystopia+': 1, '+fall+': 1, '+family+': 1, '+find+': 1, '+follow+': 1, '+horrific+': 1, '+human+': 1, '+infect+': 1, '+investigate+': 1, '+lane+': 1, '+life+': 1, '+long+': 1, '+mission+': 1, '+odd+': 1, '+peril+': 1, '+persuade+': 1, '+plague+': 1, '+suddenly+': 1, '+trek+': 1, '+turn+': 1, '+zombie+': 1, '2010_till_now': 1, 'actorabigailhargrove': 1, 'actorbradpitt': 1, 'actormireilleenos': 1, 'composermarcobeltrami': 1, 'directormarcforster': 1, 'genreaction': 1, 'genredrama': 1, 'genrehorror': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'multiple+perspectives': 1, 'nuclear+weapons': 1, 'producerbradpitt': 1, 'producerdedegardner': 1, 'producerianbryce': 1, 'producerjeremykleiner': 1, 'runtime_above_110': 1, 'screenplaydamonlindelof': 1, 'screenplaydrewgoddard': 1, 'screenplaymatthewmichaelcarnahan': 1, 'zombie+apocalypse': 1}",1.0000000000000007
336455,Viral,2016.0,101.0,5.5,6.944764,"['Drama', 'Horror', 'Science Fiction']","{'+family+': 1, '+follow+': 1, '+human+': 1, '+infect+': 1, '+life+': 1, '2010_till_now': 1, 'genredrama': 1, 'genrehorror': 1, 'genresciencefiction': 1}",0.22634795467253563
338676,Extinction,2015.0,207.0,5.5,6.171657,"['Drama', 'Horror', 'Science Fiction']","{'+suddenly+': 1, '+zombie+': 1, '2010_till_now': 1, 'genredrama': 1, 'genrehorror': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'zombie+apocalypse': 1}",0.21558722225451815
255343,Escobar: Paradise Lost,2014.0,281.0,6.1,12.543659,"['Thriller', 'Romance']","{'+danger+': 1, '+family+': 1, '+find+': 1, '+life+': 1, '2010_till_now': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.21389631597324932
406990,What Happened to Monday,2017.0,598.0,7.3,60.581223,"['Science Fiction', 'Thriller']","{'+danger+': 1, '+family+': 1, '+investigate+': 1, '+long+': 1, '2010_till_now': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.20452399702596538
119450,Dawn of the Planet of the Apes,2014.0,4511.0,7.3,75.385211,"['Science Fiction', 'Action', 'Drama', 'Thriller']","{'+dystopia+': 1, '+human+': 1, '+plague+': 1, '2010_till_now': 1, 'genreaction': 1, 'genredrama': 1, 'genresciencefiction': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.20443988269091456
70057,Dragon,2011.0,79.0,6.9,3.688285,"['Drama', 'Action', 'Thriller']","{'+life+': 1, '2010_till_now': 1, 'genreaction': 1, 'genredrama': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.20377068324339734
170759,Kokowaah 2,2013.0,77.0,5.9,5.035008,['Comedy'],"{'+chaos+': 1, '+family+': 1, '+life+': 1, '+turn+': 1, '2010_till_now': 1, 'runtime_above_110': 1}",0.20377068324339734
251981,The World of Kanako,2014.0,46.0,6.5,7.883507000000002,"['Mystery', 'Drama', 'Crime', 'Horror']","{'+find+': 1, '+investigate+': 1, '+life+': 1, '2010_till_now': 1, 'genredrama': 1, 'genrehorror': 1, 'runtime_above_110': 1}",0.20008168266626036
328429,Approaching the Unknown,2016.0,89.0,5.1,4.957424,"['Thriller', 'Drama', 'Science Fiction']","{'+brave+': 1, '+life+': 1, '+mission+': 1, '+odd+': 1, '2010_till_now': 1, 'genredrama': 1, 'genresciencefiction': 1, 'genrethriller': 1}",0.1980295085953348
354287,War Machine,2017.0,243.0,5.8,10.282732,"['Comedy', 'Drama', 'War']","{'2010_till_now': 1, 'actorbradpitt': 1, 'genredrama': 1, 'producerbradpitt': 1, 'producerdedegardner': 1, 'producerianbryce': 1, 'producerjeremykleiner': 1, 'runtime_above_110': 1}",0.1980295085953348
