movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
72190,World War Z,2013.0,5683.0,6.7,26.114917,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","{'+answer+': 0.137, '+apocalypse+': 0.149, '+bare+': 0.156, '+brave+': 0.157, '+chaos+': 0.128, '+content+': 0.163, '+danger+': 0.105, '+disease+': 0.143, '+dystopia+': 0.112, '+fall+': 0.091, '+family+': 0.077, '+find+': 0.068, '+follow+': 0.099, '+horrific+': 0.145, '+human+': 0.104, '+infect+': 0.143, '+investigate+': 0.104, '+lane+': 0.169, '+life+': 0.068, '+long+': 0.103, '+mission+': 0.107, '+odd+': 0.134, '+peril+': 0.155, '+persuade+': 0.157, '+plague+': 0.14, '+suddenly+': 0.125, '+trek+': 0.173, '+turn+': 0.088, '+zombie+': 0.125, '2010_till_now': 0.047, 'actorabigailhargrove': 0.217, 'actorbradpitt': 0.15, 'actormireilleenos': 0.201, 'composermarcobeltrami': 0.145, 'directormarcforster': 0.183, 'genreaction': 0.056, 'genredrama': 0.039, 'genrehorror': 0.067, 'genresciencefiction': 0.073, 'genrethriller': 0.052, 'multiple+perspectives': 0.196, 'nuclear+weapons': 0.185, 'producerbradpitt': 0.169, 'producerdedegardner': 0.169, 'producerianbryce': 0.165, 'producerjeremykleiner': 0.18, 'runtime_above_110': 0.048, 'screenplaydamonlindelof': 0.201, 'screenplaydrewgoddard': 0.196, 'screenplaymatthewmichaelcarnahan': 0.196, 'zombie+apocalypse': 0.17}",1.0000000000000004
354287,War Machine,2017.0,243.0,5.8,10.282732,"['Comedy', 'Drama', 'War']","{'2010_till_now': 0.06, 'actorbradpitt': 0.19, 'genredrama': 0.049, 'producerbradpitt': 0.213, 'producerdedegardner': 0.213, 'producerianbryce': 0.209, 'producerjeremykleiner': 0.228, 'runtime_above_110': 0.061}",0.1837902955583371
1576,Resident Evil,2002.0,2100.0,6.4,7.781292999999999,"['Horror', 'Action', 'Science Fiction']","{'+dystopia+': 0.122, '+infect+': 0.156, '+mission+': 0.117, '+turn+': 0.096, '+zombie+': 0.137, 'composermarcobeltrami': 0.158, 'genreaction': 0.061, 'genrehorror': 0.074, 'genresciencefiction': 0.08}",0.11123788616085824
318846,The Big Short,2015.0,2679.0,7.3,13.143061,"['Comedy', 'Drama']","{'2010_till_now': 0.055, 'genredrama': 0.046, 'producerbradpitt': 0.196, 'producerdedegardner': 0.196, 'producerjeremykleiner': 0.21, 'runtime_above_110': 0.056}",0.11116445286037942
8967,The Tree of Life,2011.0,1009.0,6.5,11.204539,"['Drama', 'Fantasy']","{'+answer+': 0.13, '+family+': 0.074, '+life+': 0.065, '2010_till_now': 0.045, 'actorbradpitt': 0.143, 'genredrama': 0.037, 'producerbradpitt': 0.16, 'producerdedegardner': 0.16, 'runtime_above_110': 0.046}",0.10916395550371617
245706,True Story,2015.0,536.0,6.2,7.87202,"['Crime', 'Drama', 'Mystery']","{'2010_till_now': 0.06, 'composermarcobeltrami': 0.183, 'genredrama': 0.05, 'producerdedegardner': 0.214, 'producerjeremykleiner': 0.229}",0.10855475224268711
338676,Extinction,2015.0,207.0,5.5,6.171657,"['Drama', 'Horror', 'Science Fiction']","{'+suddenly+': 0.171, '+zombie+': 0.17, '2010_till_now': 0.064, 'genredrama': 0.053, 'genrehorror': 0.092, 'genresciencefiction': 0.1, 'runtime_above_110': 0.065, 'zombie+apocalypse': 0.231}",0.10370177701896245
64689,Killing Them Softly,2012.0,751.0,5.8,6.777326,"['Crime', 'Thriller']","{'2010_till_now': 0.055, 'actorbradpitt': 0.174, 'genrethriller': 0.06, 'producerbradpitt': 0.195, 'producerdedegardner': 0.195}",0.097741323572148
11683,Land of the Dead,2005.0,395.0,6.0,9.478117,['Horror'],"{'+chaos+': 0.152, '+dystopia+': 0.132, '+find+': 0.08, '+zombie+': 0.148, 'genrehorror': 0.08, 'zombie+apocalypse': 0.201}",0.09768122479990021
106845,Re-Kill,2015.0,35.0,4.8,11.860106,"['Horror', 'Science Fiction']","{'+human+': 0.15, '+zombie+': 0.18, '2010_till_now': 0.068, 'genrehorror': 0.097, 'genresciencefiction': 0.106, 'zombie+apocalypse': 0.245}",0.09725138638129652
158852,Tomorrowland,2015.0,2904.0,6.2,22.296076,"['Adventure', 'Family', 'Mystery', 'Science Fiction']","{'+apocalypse+': 0.15, '+danger+': 0.106, '+mission+': 0.108, '2010_till_now': 0.048, 'genresciencefiction': 0.074, 'runtime_above_110': 0.049, 'screenplaydamonlindelof': 0.203}",0.09578207030201902
