movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
75656,Now You See Me,2013.0,5635.0,7.3,17.852022,"['Thriller', 'Crime']","{'+audience+': 1, '+bank+': 1, '+conspiracy+': 1, '+escape+': 1, '+explosive+': 1, '+fbi+': 1, '+heist+': 1, '+interpol+': 1, '+investigate+': 1, '+magic+': 1, '+magician+': 1, '+money+': 1, '+paris+': 1, '+perform+': 1, '+pull+': 1, '+reward+': 1, '+secret+': 1, '+team+': 1, '+track+': 1, '+vault+': 1, '2010_till_now': 1, 'actorjesseeisenberg': 1, 'actormarkruffalo': 1, 'actorwoodyharrelson': 1, 'bank+heist': 1, 'composerbriantyler': 1, 'directorlouisleterrier': 1, 'fbi+agent': 1, 'genrecrime': 1, 'genrethriller': 1, 'las+vegas': 1, 'new+orleans': 1, 'new+york+city': 1, 'produceralexkurtzman': 1, 'producerbobbycohen': 1, 'producerrobertoorci': 1, 'runtime_above_110': 1, 'screenplayboazyakin': 1, 'screenplayedsolomon': 1, 'screenplayedwardricourt': 1}",40.0
291805,Now You See Me 2,2016.0,3362.0,6.7,39.540653000000006,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']","{'+fbi+': 1, '+heist+': 1, '+magic+': 1, '+magician+': 1, '+pull+': 1, '2010_till_now': 1, 'actorjesseeisenberg': 1, 'actormarkruffalo': 1, 'actorwoodyharrelson': 1, 'genrecrime': 1, 'genrethriller': 1, 'produceralexkurtzman': 1, 'producerbobbycohen': 1, 'producerrobertoorci': 1, 'runtime_above_110': 1, 'screenplayedsolomon': 1}",16.0
51497,Fast Five,2011.0,2491.0,7.1,1.420361,"['Action', 'Thriller', 'Crime']","{'+fbi+': 1, '+heist+': 1, '+money+': 1, '+pull+': 1, '2010_till_now': 1, 'composerbriantyler': 1, 'genrecrime': 1, 'genrethriller': 1, 'runtime_above_110': 1}",9.0
8848,The Bank Job,2008.0,708.0,6.6,8.732700999999999,"['Thriller', 'Crime', 'Drama']","{'+bank+': 1, '+heist+': 1, '+secret+': 1, '+vault+': 1, 'bank+heist': 1, 'genrecrime': 1, 'genrethriller': 1, 'runtime_above_110': 1}",8.0
44977,Dhoom 3,2013.0,86.0,6.0,5.326716,"['Action', 'Crime', 'Thriller']","{'+bank+': 1, '+heist+': 1, '+magic+': 1, '2010_till_now': 1, 'bank+heist': 1, 'genrecrime': 1, 'genrethriller': 1, 'runtime_above_110': 1}",8.0
395834,Wind River,2017.0,181.0,7.4,40.796775,"['Action', 'Crime', 'Mystery', 'Thriller']","{'+fbi+': 1, '+investigate+': 1, '+team+': 1, '2010_till_now': 1, 'fbi+agent': 1, 'genrecrime': 1, 'genrethriller': 1, 'runtime_above_110': 1}",8.0
298,Ocean's Thirteen,2007.0,2040.0,6.5,12.16276,"['Crime', 'Thriller']","{'+bank+': 1, '+heist+': 1, '+team+': 1, 'genrecrime': 1, 'genrethriller': 1, 'las+vegas': 1, 'runtime_above_110': 1}",7.0
1572,Die Hard: With a Vengeance,1995.0,2094.0,6.9,15.138855,"['Action', 'Thriller']","{'+bank+': 1, '+explosive+': 1, '+team+': 1, 'fbi+agent': 1, 'genrethriller': 1, 'new+york+city': 1, 'runtime_above_110': 1}",7.0
4349,The Kingdom,2007.0,517.0,6.5,13.842332999999998,"['Thriller', 'Action', 'Drama']","{'+explosive+': 1, '+fbi+': 1, '+investigate+': 1, '+team+': 1, 'fbi+agent': 1, 'genrethriller': 1, 'runtime_above_110': 1}",7.0
4959,The International,2009.0,373.0,6.0,6.583609,"['Drama', 'Thriller', 'Crime']","{'+bank+': 1, '+conspiracy+': 1, '+interpol+': 1, '+money+': 1, 'genrecrime': 1, 'genrethriller': 1, 'runtime_above_110': 1}",7.0
5503,The Fugitive,1993.0,1240.0,7.2,10.08937,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']","{'+escape+': 1, '+explosive+': 1, '+secret+': 1, '+team+': 1, 'genrecrime': 1, 'genrethriller': 1, 'runtime_above_110': 1}",7.0
