movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
75656,Now You See Me,2013.0,5635.0,7.3,17.852022,"['Thriller', 'Crime']","{'+audience+': 2.626, '+bank+': 2.626, '+conspiracy+': 2.626, '+escape+': 2.626, '+explosive+': 2.626, '+fbi+': 2.626, '+heist+': 2.626, '+interpol+': 2.626, '+investigate+': 2.626, '+magic+': 2.626, '+magician+': 2.626, '+money+': 2.626, '+paris+': 2.626, '+perform+': 2.626, '+pull+': 2.626, '+reward+': 2.626, '+secret+': 2.626, '+team+': 2.626, '+track+': 2.626, '+vault+': 2.626, '2010_till_now': 2.0, 'actorJesseEisenberg': 1.986, 'actorMarkRuffalo': 1.986, 'actorWoodyHarrelson': 1.986, 'bank+heist': 2.626, 'composerBrianTyler': 1.072, 'directorLouisLeterrier': 2.19, 'fbi+agent': 2.626, 'genreCrime': 2.497, 'genreThriller': 2.497, 'las+vegas': 2.626, 'new+orleans': 2.626, 'new+york+city': 2.626, 'producerAlexKurtzman': 0.618, 'producerBobbyCohen': 0.618, 'producerRobertoOrci': 0.618, 'runtime_above_110': 1.0, 'screenplayBoazYakin': 0.318, 'screenplayEdSolomon': 0.318, 'screenplayEdwardRicourt': 0.318}",0.9999999999999994
291805,Now You See Me 2,2016.0,3362.0,6.7,39.540653000000006,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']","{'+fbi+': 2.854, '+heist+': 2.854, '+magic+': 2.854, '+magician+': 2.854, '+pull+': 2.854, '2010_till_now': 2.0, 'actorJesseEisenberg': 1.986, 'actorMarkRuffalo': 1.986, 'actorWoodyHarrelson': 1.986, 'genreCrime': 0.832, 'genreThriller': 0.832, 'producerAlexKurtzman': 0.618, 'producerBobbyCohen': 0.618, 'producerRobertoOrci': 0.618, 'runtime_above_110': 1.0, 'screenplayEdSolomon': 0.477}",0.2812879216272585
301608,The Trust,2016.0,159.0,4.8,7.55939,"['Crime', 'Thriller']","{'+bank+': 6.564, '+heist+': 6.564, '+vault+': 6.564, '2010_till_now': 2.0, 'genreCrime': 2.497, 'genreThriller': 2.497, 'las+vegas': 6.564}",0.27398214590624786
4349,The Kingdom,2007.0,517.0,6.5,13.842332999999998,"['Thriller', 'Action', 'Drama']","{'+explosive+': 3.455, '+fbi+': 3.455, '+investigate+': 3.455, '+team+': 3.455, 'fbi+agent': 3.455, 'genreThriller': 1.665, 'runtime_above_110': 1.0}",0.21688542984080922
64605,Seven Thieves,1960.0,9.0,6.4,4.518656,"['Action', 'Crime', 'Thriller']","{'+heist+': 4.689, '+pull+': 4.689, '+team+': 4.689, '+vault+': 4.689, 'genreCrime': 1.665, 'genreThriller': 1.665}",0.2148780873861378
7551,Déjà Vu,2006.0,1519.0,6.6,14.922904,"['Action', 'Thriller', 'Science Fiction']","{'+investigate+': 3.282, '+pull+': 3.282, '+secret+': 3.282, 'fbi+agent': 3.282, 'genreThriller': 1.665, 'new+orleans': 3.282, 'runtime_above_110': 1.0}",0.2108558799537972
44977,Dhoom 3,2013.0,86.0,6.0,5.326716,"['Action', 'Crime', 'Thriller']","{'+bank+': 3.126, '+heist+': 3.126, '+magic+': 3.126, '2010_till_now': 2.0, 'bank+heist': 3.126, 'genreCrime': 1.665, 'genreThriller': 1.665, 'runtime_above_110': 1.0}",0.20612704925804598
298,Ocean's Thirteen,2007.0,2040.0,6.5,12.16276,"['Crime', 'Thriller']","{'+bank+': 2.984, '+heist+': 2.984, '+team+': 2.984, 'genreCrime': 2.497, 'genreThriller': 2.497, 'las+vegas': 2.984, 'runtime_above_110': 1.0}",0.20215933401089242
395834,Wind River,2017.0,181.0,7.4,40.796775,"['Action', 'Crime', 'Mystery', 'Thriller']","{'+fbi+': 3.126, '+investigate+': 3.126, '+team+': 3.126, '2010_till_now': 2.0, 'fbi+agent': 3.126, 'genreCrime': 1.249, 'genreThriller': 1.249, 'runtime_above_110': 1.0}",0.199098693719411
51497,Fast Five,2011.0,2491.0,7.1,1.420361,"['Action', 'Thriller', 'Crime']","{'+fbi+': 1.989, '+heist+': 1.989, '+money+': 1.989, '+pull+': 1.989, '2010_till_now': 2.0, 'composerBrianTyler': 1.072, 'genreCrime': 1.665, 'genreThriller': 1.665, 'runtime_above_110': 1.0}",0.19109777797923247
146216,RED 2,2013.0,1548.0,6.4,11.04233,"['Action', 'Comedy', 'Crime', 'Thriller']","{'+paris+': 5.47, '+team+': 5.47, '+track+': 5.47, '2010_till_now': 2.0, 'genreCrime': 1.249, 'genreThriller': 1.249, 'runtime_above_110': 1.0}",0.19018976339470034
