movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
75656,Now You See Me,2013.0,5635.0,7.3,17.852022,"['Thriller', 'Crime']","{'+audience+': 0.169, '+bank+': 0.136, '+conspiracy+': 0.138, '+escape+': 0.108, '+explosive+': 0.135, '+fbi+': 0.139, '+heist+': 0.143, '+interpol+': 0.2, '+investigate+': 0.115, '+magic+': 0.123, '+magician+': 0.173, '+money+': 0.114, '+paris+': 0.121, '+perform+': 0.138, '+pull+': 0.144, '+reward+': 0.185, '+secret+': 0.104, '+team+': 0.108, '+track+': 0.131, '+vault+': 0.188, '2010_till_now': 0.052, 'actorjesseeisenberg': 0.185, 'actormarkruffalo': 0.179, 'actorwoodyharrelson': 0.166, 'bank+heist': 0.195, 'composerbriantyler': 0.169, 'directorlouisleterrier': 0.205, 'fbi+agent': 0.154, 'genrecrime': 0.073, 'genrethriller': 0.057, 'las+vegas': 0.158, 'new+orleans': 0.181, 'new+york+city': 0.144, 'produceralexkurtzman': 0.205, 'producerbobbycohen': 0.205, 'producerrobertoorci': 0.202, 'runtime_above_110': 0.053, 'screenplayboazyakin': 0.213, 'screenplayedsolomon': 0.202, 'screenplayedwardricourt': 0.24}",0.9999999999999998
291805,Now You See Me 2,2016.0,3362.0,6.7,39.540653000000006,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']","{'+fbi+': 0.147, '+heist+': 0.151, '+magic+': 0.131, '+magician+': 0.184, '+pull+': 0.153, '2010_till_now': 0.055, 'actorjesseeisenberg': 0.197, 'actormarkruffalo': 0.19, 'actorwoodyharrelson': 0.176, 'genrecrime': 0.078, 'genrethriller': 0.061, 'produceralexkurtzman': 0.218, 'producerbobbycohen': 0.218, 'producerrobertoorci': 0.215, 'runtime_above_110': 0.056, 'screenplayedsolomon': 0.215}",0.40338539277999297
13027,Eagle Eye,2008.0,1038.0,6.3,14.324875,"['Mystery', 'Thriller', 'Action']","{'+fbi+': 0.133, 'composerbriantyler': 0.162, 'fbi+agent': 0.147, 'genrethriller': 0.055, 'produceralexkurtzman': 0.197, 'producerrobertoorci': 0.194, 'runtime_above_110': 0.051}",0.15409623274852227
301608,The Trust,2016.0,159.0,4.8,7.55939,"['Crime', 'Thriller']","{'+bank+': 0.174, '+heist+': 0.183, '+vault+': 0.241, '2010_till_now': 0.067, 'genrecrime': 0.094, 'genrethriller': 0.073, 'las+vegas': 0.203}",0.1418473633437389
44977,Dhoom 3,2013.0,86.0,6.0,5.326716,"['Action', 'Crime', 'Thriller']","{'+bank+': 0.157, '+heist+': 0.165, '+magic+': 0.142, '2010_till_now': 0.06, 'bank+heist': 0.226, 'genrecrime': 0.085, 'genrethriller': 0.066, 'runtime_above_110': 0.062}",0.12297280511814643
282035,The Mummy,2017.0,2122.0,5.4,33.704935,"['Thriller', 'Action', 'Adventure']","{'2010_till_now': 0.053, 'composerbriantyler': 0.171, 'genrethriller': 0.058, 'produceralexkurtzman': 0.207, 'producerrobertoorci': 0.204, 'runtime_above_110': 0.054}",0.1217193470624715
7551,Déjà Vu,2006.0,1519.0,6.6,14.922904,"['Action', 'Thriller', 'Science Fiction']","{'+investigate+': 0.129, '+pull+': 0.163, '+secret+': 0.117, 'fbi+agent': 0.173, 'genrethriller': 0.064, 'new+orleans': 0.204, 'runtime_above_110': 0.06}",0.1210255984869036
64605,Seven Thieves,1960.0,9.0,6.4,4.518656,"['Action', 'Crime', 'Thriller']","{'+heist+': 0.174, '+pull+': 0.176, '+team+': 0.131, '+vault+': 0.229, 'genrecrime': 0.089, 'genrethriller': 0.07}",0.11785303023559601
4959,The International,2009.0,373.0,6.0,6.583609,"['Drama', 'Thriller', 'Crime']","{'+bank+': 0.153, '+conspiracy+': 0.156, '+interpol+': 0.225, '+money+': 0.129, 'genrecrime': 0.082, 'genrethriller': 0.064, 'runtime_above_110': 0.06}",0.11503689649473652
51497,Fast Five,2011.0,2491.0,7.1,1.420361,"['Action', 'Thriller', 'Crime']","{'+fbi+': 0.127, '+heist+': 0.13, '+money+': 0.104, '+pull+': 0.132, '2010_till_now': 0.048, 'composerbriantyler': 0.155, 'genrecrime': 0.067, 'genrethriller': 0.052, 'runtime_above_110': 0.049}",0.10649605204110978
213681,Masterminds,2016.0,600.0,5.6,9.434588,"['Action', 'Comedy', 'Crime']","{'+bank+': 0.159, '+heist+': 0.166, '2010_till_now': 0.061, 'bank+heist': 0.228, 'genrecrime': 0.085}",0.09934029511704569
