movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
807,Se7en,1995.0,5915.0,8.1,18.45743,"['Crime', 'Mystery', 'Thriller']","{'+base+': 1, '+case+': 1, '+crime+': 1, '+dark+': 1, '+deadly+': 1, '+desperate+': 1, '+det+': 1, '+detected+': 1, '+disembowelment+': 1, '+effort+': 1, '+haunt+': 1, '+hunt+': 1, '+inside+': 1, '+insomnia+': 1, '+investigate+': 1, '+killer+': 1, '+lust+': 1, '+mill+': 1, '+mind+': 1, '+mockery+': 1, '+novice+': 1, '+partner+': 1, '+pension+': 1, '+police+': 1, '+pride+': 1, '+remain+': 1, '+research+': 1, '+season+': 1, '+sin+': 1, '+takes+': 1, '+unravel+': 1, '+vanity+': 1, '+victim+': 1, '+viewer+': 1, '1990_to_2000': 1, 'actorbradpitt': 1, 'actorgwynethpaltrow': 1, 'actormorganfreeman': 1, 'composerhowardshore': 1, 'directordavidfincher': 1, 'drug+deal': 1, 'fulfilling+prophecy': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'homicide+detective': 1, 'producerarnoldkopelson': 1, 'producerphylliscarlyle': 1, 'rage+and+hate': 1, 'runtime_above_110': 1, 'screenplayandrewkevinwalker': 1, 'self': 1, 'serial+killer': 1}",0.9999999999999999
1949,Zodiac,2007.0,2080.0,7.3,19.083823,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'+case+': 1, '+investigate+': 1, '+killer+': 1, '+police+': 1, '+victim+': 1, 'directordavidfincher': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",0.2203970724177368
11707,Tightrope,1984.0,85.0,6.1,8.991304,"['Mystery', 'Thriller', 'Crime', 'Drama']","{'+case+': 1, '+detected+': 1, '+killer+': 1, '+victim+': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",0.21520264493646474
11074,Striking Distance,1993.0,223.0,5.4,13.390917000000002,"['Crime', 'Action', 'Mystery', 'Thriller']","{'+killer+': 1, '+partner+': 1, '+police+': 1, '+victim+': 1, '1990_to_2000': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'homicide+detective': 1, 'serial+killer': 1}",0.21195195169964873
9437,Kiss the Girls,1997.0,353.0,6.2,12.235391,"['Drama', 'Mystery', 'Thriller', 'Crime']","{'+hunt+': 1, '+investigate+': 1, '1990_to_2000': 1, 'actormorganfreeman': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",0.20604084592303354
9631,The Negotiator,1998.0,593.0,6.8,7.655019999999999,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']","{'+investigate+': 1, '+partner+': 1, '+pension+': 1, '+police+': 1, '+takes+': 1, '1990_to_2000': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.2047650389446504
9455,The Corruptor,1999.0,60.0,6.1,9.208831,"['Action', 'Crime', 'Mystery', 'Thriller']","{'+partner+': 1, '+police+': 1, '+season+': 1, '1990_to_2000': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.2006279450302077
9573,Blood Work,2002.0,210.0,6.1,5.852263,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'+investigate+': 1, '+police+': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",0.19627025393221556
11423,Memories of Murder,2003.0,427.0,7.9,8.511453,"['Crime', 'Drama', 'Thriller']","{'+case+': 1, '+crime+': 1, '+dark+': 1, '+detected+': 1, '+investigate+': 1, '+killer+': 1, '+police+': 1, '+victim+': 1, 'genrecrime': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.1918928997293143
9481,The Bone Collector,1999.0,843.0,6.5,8.884406,"['Drama', 'Mystery', 'Thriller', 'Crime']","{'+crime+': 1, '+investigate+': 1, '+remain+': 1, '1990_to_2000': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",0.1912912399435242
11081,Taking Lives,2004.0,356.0,6.0,7.85646,"['Action', 'Crime', 'Mystery', 'Thriller']","{'+investigate+': 1, '+killer+': 1, '+police+': 1, '+victim+': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'serial+killer': 1}",0.18314741859825204
