movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
807,Se7en,1995.0,5915.0,8.1,18.45743,"['Crime', 'Mystery', 'Thriller']","{'+base+': 1, '+case+': 1, '+crime+': 1, '+dark+': 1, '+deadly+': 1, '+desperate+': 1, '+det+': 1, '+detected+': 1, '+disembowelment+': 1, '+effort+': 1, '+haunt+': 1, '+hunt+': 1, '+inside+': 1, '+insomnia+': 1, '+investigate+': 1, '+killer+': 1, '+lust+': 1, '+mill+': 1, '+mind+': 1, '+mockery+': 1, '+novice+': 1, '+partner+': 1, '+pension+': 1, '+police+': 1, '+pride+': 1, '+remain+': 1, '+research+': 1, '+season+': 1, '+sin+': 1, '+takes+': 1, '+unravel+': 1, '+vanity+': 1, '+victim+': 1, '+viewer+': 1, '1990_to_2000': 1, 'actorbradpitt': 1, 'actorgwynethpaltrow': 1, 'actormorganfreeman': 1, 'composerhowardshore': 1, 'directordavidfincher': 1, 'drug+deal': 1, 'fulfilling+prophecy': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'homicide+detective': 1, 'producerarnoldkopelson': 1, 'producerphylliscarlyle': 1, 'rage+and+hate': 1, 'runtime_above_110': 1, 'screenplayandrewkevinwalker': 1, 'self': 1, 'serial+killer': 1}",53.0
1949,Zodiac,2007.0,2080.0,7.3,19.083823,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'+case+': 1, '+investigate+': 1, '+killer+': 1, '+police+': 1, '+victim+': 1, 'directordavidfincher': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",11.0
11423,Memories of Murder,2003.0,427.0,7.9,8.511453,"['Crime', 'Drama', 'Thriller']","{'+case+': 1, '+crime+': 1, '+dark+': 1, '+detected+': 1, '+investigate+': 1, '+killer+': 1, '+police+': 1, '+victim+': 1, 'genrecrime': 1, 'genrethriller': 1, 'runtime_above_110': 1}",11.0
16825,The Case of the Scorpion's Tail,1971.0,14.0,7.0,5.913654,"['Horror', 'Mystery', 'Thriller']","{'+case+': 1, '+dark+': 1, '+desperate+': 1, '+detected+': 1, '+investigate+': 1, '+killer+': 1, '+police+': 1, 'genremystery': 1, 'genrethriller': 1, 'rage+and+hate': 1, 'serial+killer': 1}",11.0
9631,The Negotiator,1998.0,593.0,6.8,7.655019999999999,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']","{'+investigate+': 1, '+partner+': 1, '+pension+': 1, '+police+': 1, '+takes+': 1, '1990_to_2000': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",10.0
11074,Striking Distance,1993.0,223.0,5.4,13.390917000000002,"['Crime', 'Action', 'Mystery', 'Thriller']","{'+killer+': 1, '+partner+': 1, '+police+': 1, '+victim+': 1, '1990_to_2000': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'homicide+detective': 1, 'serial+killer': 1}",10.0
984,Dirty Harry,1971.0,630.0,7.4,10.255315,"['Action', 'Crime', 'Thriller']","{'+detected+': 1, '+hunt+': 1, '+investigate+': 1, '+partner+': 1, '+police+': 1, '+victim+': 1, 'genrecrime': 1, 'genrethriller': 1, 'serial+killer': 1}",9.0
9437,Kiss the Girls,1997.0,353.0,6.2,12.235391,"['Drama', 'Mystery', 'Thriller', 'Crime']","{'+hunt+': 1, '+investigate+': 1, '1990_to_2000': 1, 'actormorganfreeman': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",9.0
11707,Tightrope,1984.0,85.0,6.1,8.991304,"['Mystery', 'Thriller', 'Crime', 'Drama']","{'+case+': 1, '+detected+': 1, '+killer+': 1, '+victim+': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1, 'serial+killer': 1}",9.0
1592,Primal Fear,1996.0,644.0,7.4,10.326213,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'+case+': 1, '+crime+': 1, '+takes+': 1, '1990_to_2000': 1, 'genrecrime': 1, 'genremystery': 1, 'genrethriller': 1, 'runtime_above_110': 1}",8.0
1813,The Devil's Advocate,1997.0,1414.0,7.2,10.920124,"['Drama', 'Horror', 'Mystery', 'Thriller']","{'+deadly+': 1, '+lust+': 1, '+sin+': 1, '1990_to_2000': 1, 'genremystery': 1, 'genrethriller': 1, 'producerarnoldkopelson': 1, 'runtime_above_110': 1}",8.0
