movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
807,Se7en,1995.0,5915.0,8.1,18.45743,"['Crime', 'Mystery', 'Thriller']","{'+base+': 1.683, '+case+': 1.683, '+crime+': 1.683, '+dark+': 1.683, '+deadly+': 1.683, '+desperate+': 1.683, '+det+': 1.683, '+detected+': 1.683, '+disembowelment+': 1.683, '+effort+': 1.683, '+haunt+': 1.683, '+hunt+': 1.683, '+inside+': 1.683, '+insomnia+': 1.683, '+investigate+': 1.683, '+killer+': 1.683, '+lust+': 1.683, '+mill+': 1.683, '+mind+': 1.683, '+mockery+': 1.683, '+novice+': 1.683, '+partner+': 1.683, '+pension+': 1.683, '+police+': 1.683, '+pride+': 1.683, '+remain+': 1.683, '+research+': 1.683, '+season+': 1.683, '+sin+': 1.683, '+takes+': 1.683, '+unravel+': 1.683, '+vanity+': 1.683, '+victim+': 1.683, '+viewer+': 1.683, '1990_to_2000': 2.0, 'actorBradPitt': 1.986, 'actorGwynethPaltrow': 1.986, 'actorMorganFreeman': 1.986, 'composerHowardShore': 1.072, 'directorDavidFincher': 2.19, 'drug+deal': 1.683, 'genreCrime': 1.665, 'genreMystery': 1.665, 'genreThriller': 1.665, 'homicide+detective': 1.683, 'producerArnoldKopelson': 0.927, 'producerPhyllisCarlyle': 0.927, 'rage+and+hate': 1.683, 'runtime_above_110': 1.0, 'screenplayAndrewKevinWalker': 0.955, 'self-fulfilling+prophecy': 1.683, 'serial+killer': 1.683}",0.9999999999999994
1949,Zodiac,2007.0,2080.0,7.3,19.083823,"['Crime', 'Drama', 'Mystery', 'Thriller']","{'+case+': 2.188, '+investigate+': 2.188, '+killer+': 2.188, '+police+': 2.188, '+victim+': 2.188, 'directorDavidFincher': 2.19, 'genreCrime': 1.249, 'genreMystery': 1.249, 'genreThriller': 1.249, 'runtime_above_110': 1.0, 'serial+killer': 2.188}",0.21530791892545215
11074,Striking Distance,1993.0,223.0,5.4,13.390917000000002,"['Crime', 'Action', 'Mystery', 'Thriller']","{'+killer+': 2.431, '+partner+': 2.431, '+police+': 2.431, '+victim+': 2.431, '1990_to_2000': 2.0, 'genreCrime': 1.249, 'genreMystery': 1.249, 'genreThriller': 1.249, 'homicide+detective': 2.431, 'serial+killer': 2.431}",0.20973364558907548
11423,Memories of Murder,2003.0,427.0,7.9,8.511453,"['Crime', 'Drama', 'Thriller']","{'+case+': 1.727, '+crime+': 1.727, '+dark+': 1.727, '+detected+': 1.727, '+investigate+': 1.727, '+killer+': 1.727, '+police+': 1.727, '+victim+': 1.727, 'genreCrime': 1.665, 'genreThriller': 1.665, 'runtime_above_110': 1.0}",0.20533076951742618
11707,Tightrope,1984.0,85.0,6.1,8.991304,"['Mystery', 'Thriller', 'Crime', 'Drama']","{'+case+': 3.455, '+detected+': 3.455, '+killer+': 3.455, '+victim+': 3.455, 'genreCrime': 1.249, 'genreMystery': 1.249, 'genreThriller': 1.249, 'runtime_above_110': 1.0, 'serial+killer': 3.455}",0.18809009249087877
240916,Reasonable Doubt,2014.0,236.0,5.6,11.072355,"['Crime', 'Thriller']","{'+case+': 2.984, '+crime+': 2.984, '+hunt+': 2.984, '+killer+': 2.984, '+victim+': 2.984, 'genreCrime': 2.497, 'genreThriller': 2.497}",0.1828152013327876
26172,Messenger of Death,1988.0,11.0,5.6,8.755119,"['Action', 'Crime', 'Thriller']","{'+case+': 3.647, '+crime+': 3.647, '+investigate+': 3.647, '+police+': 3.647, '+victim+': 3.647, 'genreCrime': 1.665, 'genreThriller': 1.665}",0.18200305211118545
236735,Marshland,2014.0,255.0,7.1,11.127717,"['Mystery', 'Thriller']","{'+case+': 1.931, '+detected+': 1.931, '+hunt+': 1.931, '+investigate+': 1.931, '+killer+': 1.931, 'genreMystery': 2.497, 'genreThriller': 2.497, 'serial+killer': 1.931}",0.1817262622016074
430598,Grey Lady,2017.0,1.0,5.0,5.719089,['Thriller'],"{'+investigate+': 9.377, '+partner+': 9.377, '+police+': 9.377, 'genreThriller': 4.994}",0.17970635610429855
9631,The Negotiator,1998.0,593.0,6.8,7.655019999999999,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']","{'+investigate+': 2.344, '+partner+': 2.344, '+pension+': 2.344, '+police+': 2.344, '+takes+': 2.344, '1990_to_2000': 2.0, 'genreCrime': 0.832, 'genreMystery': 0.832, 'genreThriller': 0.832, 'runtime_above_110': 1.0}",0.17781819272675475
11081,Taking Lives,2004.0,356.0,6.0,7.85646,"['Action', 'Crime', 'Mystery', 'Thriller']","{'+investigate+': 2.984, '+killer+': 2.984, '+police+': 2.984, '+victim+': 2.984, 'genreCrime': 1.249, 'genreMystery': 1.249, 'genreThriller': 1.249, 'serial+killer': 2.984}",0.17305646049407253
