movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
8363,Superbad,2007.0,2152.0,7.0,16.205105,['Comedy'],"{'+alcohol+': 1, '+anxiety+': 1, '+attempt+': 1, '+buddy+': 1, '+chaotic+': 1, '+college+': 1, '+evening+': 1, '+face+': 1, '+fake+': 1, '+friend+': 1, '+guy+': 1, '+party+': 1, '+prepare+': 1, '+score+': 1, '+takes+': 1, '+territory+': 1, '+turn+': 1, '2000_to_2010': 1, 'actorchristophermintz': 1, 'actorjonahhill': 1, 'actormichaelcera': 1, 'becoming+an+adult': 1, 'composerlyleworkman': 1, 'directorgregmottola': 1, 'genrecomedy': 1, 'high+school': 1, 'one+night': 1, 'plasse': 1, 'producerjuddapatow': 1, 'producershaunarobertson': 1, 'runtime_above_110': 1, 'young+people': 1}",0.9999999999999999
53729,Wild Cherry,2009.0,16.0,4.7,5.689825,['Comedy'],"{'+friend+': 1, '+turn+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'high+school': 1, 'runtime_above_110': 1}",0.22116293423234573
17899,"Sex, Party and Lies",2009.0,35.0,4.0,7.156341,"['Comedy', 'Drama']","{'+alcohol+': 1, '+college+': 1, '+evening+': 1, '+party+': 1, '+prepare+': 1, '2000_to_2010': 1, 'genrecomedy': 1}",0.21874999999999997
9870,Forgetting Sarah Marshall,2008.0,1194.0,6.4,15.106676,"['Comedy', 'Romance', 'Drama']","{'+friend+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'producerjuddapatow': 1, 'producershaunarobertson': 1, 'runtime_above_110': 1}",0.19695964928958382
271718,Trainwreck,2015.0,1193.0,5.9,17.310647,['Comedy'],"{'+alcohol+': 1, '+face+': 1, 'genrecomedy': 1, 'producerjuddapatow': 1, 'runtime_above_110': 1}",0.1928791874526149
4964,Knocked Up,2007.0,1255.0,6.2,9.058516,"['Comedy', 'Romance', 'Drama']","{'+alcohol+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'producerjuddapatow': 1, 'producershaunarobertson': 1, 'runtime_above_110': 1}",0.1846372364689991
6957,The 40 Year Old Virgin,2005.0,2020.0,6.2,11.519662,"['Comedy', 'Romance']","{'+guy+': 1, '2000_to_2010': 1, 'composerlyleworkman': 1, 'genrecomedy': 1, 'producerjuddapatow': 1, 'runtime_above_110': 1}",0.1846372364689991
11354,The Upside of Anger,2005.0,74.0,6.4,4.307106,"['Comedy', 'Drama']","{'+alcohol+': 1, '+buddy+': 1, '+college+': 1, '+friend+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'runtime_above_110': 1}",0.18446619684315546
20912,She Hate Me,2004.0,29.0,5.1,5.126696,"['Comedy', 'Drama']","{'+turn+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'runtime_above_110': 1}",0.17677669529663687
14752,Dil Chahta Hai,2001.0,71.0,7.1,4.558793,"['Drama', 'Romance']","{'+college+': 1, '+friend+': 1, '2000_to_2010': 1, 'runtime_above_110': 1}",0.16666666666666666
9779,The Sisterhood of the Traveling Pants,2005.0,396.0,6.3,9.263965,"['Drama', 'Comedy']","{'+face+': 1, '+friend+': 1, '+turn+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'runtime_above_110': 1}",0.1656472891122698
