movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
8363,Superbad,2007.0,2152.0,7.0,16.205105,['Comedy'],"{'+alcohol+': 1, '+anxiety+': 1, '+attempt+': 1, '+buddy+': 1, '+chaotic+': 1, '+college+': 1, '+evening+': 1, '+face+': 1, '+fake+': 1, '+friend+': 1, '+guy+': 1, '+party+': 1, '+prepare+': 1, '+score+': 1, '+takes+': 1, '+territory+': 1, '+turn+': 1, '2000_to_2010': 1, 'actorchristophermintz': 1, 'actorjonahhill': 1, 'actormichaelcera': 1, 'becoming+an+adult': 1, 'composerlyleworkman': 1, 'directorgregmottola': 1, 'genrecomedy': 1, 'high+school': 1, 'one+night': 1, 'plasse': 1, 'producerjuddapatow': 1, 'producershaunarobertson': 1, 'runtime_above_110': 1, 'young+people': 1}",32.0
11354,The Upside of Anger,2005.0,74.0,6.4,4.307106,"['Comedy', 'Drama']","{'+alcohol+': 1, '+buddy+': 1, '+college+': 1, '+friend+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'runtime_above_110': 1}",7.0
17899,"Sex, Party and Lies",2009.0,35.0,4.0,7.156341,"['Comedy', 'Drama']","{'+alcohol+': 1, '+college+': 1, '+evening+': 1, '+party+': 1, '+prepare+': 1, '2000_to_2010': 1, 'genrecomedy': 1}",7.0
4964,Knocked Up,2007.0,1255.0,6.2,9.058516,"['Comedy', 'Romance', 'Drama']","{'+alcohol+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'producerjuddapatow': 1, 'producershaunarobertson': 1, 'runtime_above_110': 1}",6.0
6957,The 40 Year Old Virgin,2005.0,2020.0,6.2,11.519662,"['Comedy', 'Romance']","{'+guy+': 1, '2000_to_2010': 1, 'composerlyleworkman': 1, 'genrecomedy': 1, 'producerjuddapatow': 1, 'runtime_above_110': 1}",6.0
9779,The Sisterhood of the Traveling Pants,2005.0,396.0,6.3,9.263965,"['Drama', 'Comedy']","{'+face+': 1, '+friend+': 1, '+turn+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'runtime_above_110': 1}",6.0
9870,Forgetting Sarah Marshall,2008.0,1194.0,6.4,15.106676,"['Comedy', 'Romance', 'Drama']","{'+friend+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'producerjuddapatow': 1, 'producershaunarobertson': 1, 'runtime_above_110': 1}",6.0
11282,Harold & Kumar Go to White Castle,2004.0,709.0,6.6,8.344105,"['Comedy', 'Adventure']","{'+buddy+': 1, '+guy+': 1, '+takes+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'one+night': 1}",6.0
11376,Swimming Pool,2001.0,17.0,4.6,10.437479,"['Thriller', 'Horror']","{'+alcohol+': 1, '+friend+': 1, '+party+': 1, '+turn+': 1, '2000_to_2010': 1, 'high+school': 1}",6.0
11931,In Her Shoes,2005.0,446.0,6.0,8.63229,"['Comedy', 'Drama', 'Romance']","{'+face+': 1, '+party+': 1, '+turn+': 1, '2000_to_2010': 1, 'genrecomedy': 1, 'runtime_above_110': 1}",6.0
15037,Can't Hardly Wait,1998.0,122.0,6.1,6.4269370000000015,"['Comedy', 'Drama', 'Romance']","{'+alcohol+': 1, '+college+': 1, '+friend+': 1, '+party+': 1, 'genrecomedy': 1, 'high+school': 1}",6.0
