movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
8363,Superbad,2007.0,2152.0,7.0,16.205105,['Comedy'],"{'+alcohol+': 0.143, '+anxiety+': 0.22, '+attempt+': 0.125, '+buddy+': 0.176, '+chaotic+': 0.199, '+college+': 0.138, '+evening+': 0.184, '+face+': 0.12, '+fake+': 0.18, '+friend+': 0.096, '+guy+': 0.149, '+party+': 0.134, '+prepare+': 0.162, '+score+': 0.179, '+takes+': 0.123, '+territory+': 0.197, '+turn+': 0.108, '2000_to_2010': 0.062, 'actorchristophermintz': 0.248, 'actorjonahhill': 0.206, 'actormichaelcera': 0.22, 'becoming+an+adult': 0.193, 'composerlyleworkman': 0.232, 'directorgregmottola': 0.232, 'genrecomedy': 0.057, 'high+school': 0.138, 'one+night': 0.209, 'plasse': 0.248, 'producerjuddapatow': 0.202, 'producershaunarobertson': 0.237, 'runtime_above_110': 0.059, 'young+people': 0.209}",0.9999999999999998
32823,Get Him to the Greek,2010.0,626.0,5.9,7.33335,['Comedy'],"{'+face+': 0.117, 'actorjonahhill': 0.201, 'composerlyleworkman': 0.226, 'genrecomedy': 0.055, 'producerjuddapatow': 0.197}",0.15096520052789095
17899,"Sex, Party and Lies",2009.0,35.0,4.0,7.156341,"['Comedy', 'Drama']","{'+alcohol+': 0.151, '+college+': 0.145, '+evening+': 0.194, '+party+': 0.141, '+prepare+': 0.171, '2000_to_2010': 0.065, 'genrecomedy': 0.06}",0.1311968440484593
9870,Forgetting Sarah Marshall,2008.0,1194.0,6.4,15.106676,"['Comedy', 'Romance', 'Drama']","{'+friend+': 0.107, '2000_to_2010': 0.069, 'genrecomedy': 0.063, 'producerjuddapatow': 0.225, 'producershaunarobertson': 0.264, 'runtime_above_110': 0.066}",0.12984699568460473
6957,The 40 Year Old Virgin,2005.0,2020.0,6.2,11.519662,"['Comedy', 'Romance']","{'+guy+': 0.147, '2000_to_2010': 0.061, 'composerlyleworkman': 0.229, 'genrecomedy': 0.056, 'producerjuddapatow': 0.199, 'runtime_above_110': 0.058}",0.1255851646395465
4964,Knocked Up,2007.0,1255.0,6.2,9.058516,"['Comedy', 'Romance', 'Drama']","{'+alcohol+': 0.133, '2000_to_2010': 0.058, 'genrecomedy': 0.053, 'producerjuddapatow': 0.189, 'producershaunarobertson': 0.221, 'runtime_above_110': 0.055}",0.11933459390731489
10189,Pineapple Express,2008.0,1169.0,6.6,8.461369,"['Action', 'Comedy']","{'2000_to_2010': 0.065, 'genrecomedy': 0.06, 'producerjuddapatow': 0.213, 'producershaunarobertson': 0.25, 'runtime_above_110': 0.062}",0.11317866776972052
23483,Kick-Ass,2010.0,4747.0,7.1,17.26045,"['Action', 'Crime']","{'actorchristophermintz': 0.205, 'plasse': 0.205, 'runtime_above_110': 0.049}",0.10436526929268022
271718,Trainwreck,2015.0,1193.0,5.9,17.310647,['Comedy'],"{'+alcohol+': 0.177, '+face+': 0.149, 'genrecomedy': 0.071, 'producerjuddapatow': 0.251, 'runtime_above_110': 0.074}",0.10227308573531874
20107,Bart Got a Room,2008.0,21.0,5.9,11.561666,"['Comedy', 'Drama', 'Romance']","{'+anxiety+': 0.232, '+guy+': 0.157, '2000_to_2010': 0.065, 'genrecomedy': 0.06, 'high+school': 0.146}",0.10212825028404539
16614,Adventureland,2009.0,748.0,6.4,6.77887,['Comedy'],"{'+college+': 0.11, '+prepare+': 0.129, '+takes+': 0.098, '2000_to_2010': 0.049, 'directorgregmottola': 0.185, 'genrecomedy': 0.045}",0.09642248622006128
